time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21026,0.0078,0.0351,0.9048,21.026,500000,-0.0078,0.007799999999999998,-0.0038999999999999035,0.011699999999999966,tap2,fast,light,20260810_133647,True
21469,0.0078,0.0351,0.9048,21.469,500000,-0.0078,0.007799999999999998,-0.0038999999999999035,0.011699999999999966,tap2,fast,light,20260810_133647,True
21877,0.0078,0.0351,0.9048,21.877,500000,-0.0078,0.007799999999999998,-0.0038999999999999035,0.011699999999999966,tap2,fast,light,20260810_133647,True
22272,0.0078,0.0351,0.9048,22.272,500000,-0.0078,0.007799999999999998,-0.0038999999999999035,0.011699999999999966,tap2,fast,light,20260810_133647,True
22682,0.0195,0.0273,0.9087,22.682,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
23082,0.0195,0.0273,0.9087,23.082,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
23483,0.0195,0.0273,0.9087,23.483,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
23892,0.0195,0.0273,0.9087,23.892,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
24294,0.0195,0.0273,0.9087,24.294,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
24698,0.0195,0.0273,0.9087,24.698,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
25094,0.0234,0.0312,0.9087,25.094,500000,0.007800000000000001,0.0038999999999999972,0.0,0.00872066511224918,tap2,fast,light,20260810_133647,True
27524,0.0234,0.0312,0.9087,27.524,500000,0.007800000000000001,0.0038999999999999972,0.0,0.00872066511224918,tap2,fast,light,20260810_133647,True
30012,0.0195,0.0312,0.9126,30.012,500000,0.0039000000000000007,0.0038999999999999972,0.0039000000000000146,0.006754998149518628,tap2,fast,light,20260810_133647,True
32514,0.0156,0.0234,0.9087,32.514,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
35004,0.0156,0.0351,0.9087,35.004,500000,0.0,0.007799999999999998,0.0,0.007799999999999998,tap2,fast,light,20260810_133647,True
37504,0.0117,0.0195,0.9048,37.504,500000,-0.003899999999999999,-0.007800000000000001,-0.0038999999999999035,0.009553009996854355,tap2,fast,light,20260810_133647,True
40027,0.0117,0.0312,0.9204,40.027,500000,-0.003899999999999999,0.0038999999999999972,0.011700000000000044,0.012934836682386097,tap2,fast,light,20260810_133647,True
42524,0.0156,0.0273,0.9282,42.524,500000,0.0,0.0,0.019500000000000073,0.019500000000000073,tap2,fast,light,20260810_133647,True
45026,0.0156,0.0195,0.9204,45.026,500000,0.0,-0.007800000000000001,0.011700000000000044,0.014061649974309596,tap2,fast,light,20260810_133647,True
47515,0.0273,0.0195,0.9126,47.515,500000,0.011700000000000002,-0.007800000000000001,0.0039000000000000146,0.014592463808418377,tap2,fast,light,20260810_133647,True
50002,0.0195,0.0234,0.9087,50.002,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap2,fast,light,20260810_133647,True
52528,0.0156,0.0195,0.9126,52.528,500000,0.0,-0.007800000000000001,0.0039000000000000146,0.008720665112249188,tap2,fast,light,20260810_133647,True
55029,0.0078,0.0312,0.9126,55.029,500000,-0.0078,0.0038999999999999972,0.0039000000000000146,0.0095530099968544,tap2,fast,light,20260810_133647,True
57513,0.0195,0.0273,0.9087,57.513,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap2,fast,light,20260810_133647,True
60018,0.0195,0.0234,0.9126,60.018,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap2,fast,light,20260810_133647,True
62522,0.0117,0.0312,0.9087,62.522,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap2,fast,light,20260810_133647,True
65026,0.0117,0.0234,0.9087,65.026,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap2,fast,light,20260810_133647,True
67514,0.0156,0.0234,0.9126,67.514,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap2,fast,light,20260810_133647,True
70005,0.0156,0.0234,0.9048,70.005,500000,0.0,-0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap2,fast,light,20260810_133647,True
72518,0.0117,0.0234,0.9048,72.518,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap2,fast,light,20260810_133647,True
75018,0.0117,0.0312,0.9126,75.018,500000,-0.003899999999999999,0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap2,fast,light,20260810_133647,True
77509,0.0117,0.0312,0.9126,77.509,500000,-0.003899999999999999,0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap2,fast,light,20260810_133647,True
