time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20752,0.0351,0.0117,0.9165,20.752,500000,0.0039000000000000007,-0.0078,0.0039000000000000146,0.0095530099968544,tap2,slow,light,20260810_133647,True
21194,0.0351,0.0117,0.9165,21.194,500000,0.0039000000000000007,-0.0078,0.0039000000000000146,0.0095530099968544,tap2,slow,light,20260810_133647,True
21595,0.0351,0.0117,0.9165,21.595,500000,0.0039000000000000007,-0.0078,0.0039000000000000146,0.0095530099968544,tap2,slow,light,20260810_133647,True
22006,0.0351,0.0117,0.9165,22.006,500000,0.0039000000000000007,-0.0078,0.0039000000000000146,0.0095530099968544,tap2,slow,light,20260810_133647,True
22401,0.0351,0.0117,0.9165,22.401,500000,0.0039000000000000007,-0.0078,0.0039000000000000146,0.0095530099968544,tap2,slow,light,20260810_133647,True
22805,0.0351,0.0273,0.9165,22.805,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap2,slow,light,20260810_133647,True
23220,0.0351,0.0273,0.9165,23.22,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap2,slow,light,20260810_133647,True
23630,0.0351,0.0273,0.9165,23.63,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap2,slow,light,20260810_133647,True
24033,0.0351,0.0273,0.9165,24.033,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap2,slow,light,20260810_133647,True
24432,0.0351,0.0273,0.9165,24.432,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap2,slow,light,20260810_133647,True
25401,0.0312,0.0273,0.9165,25.401,500000,0.0,0.007800000000000001,0.0039000000000000146,0.008720665112249188,tap2,slow,light,20260810_133647,True
27506,0.0312,0.0273,0.9165,27.506,500000,0.0,0.007800000000000001,0.0039000000000000146,0.008720665112249188,tap2,slow,light,20260810_133647,True
30025,0.0234,0.0273,0.9165,30.025,500000,-0.007799999999999998,0.007800000000000001,0.0039000000000000146,0.011700000000000004,tap2,slow,light,20260810_133647,True
32512,0.0351,0.0195,0.9087,32.512,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap2,slow,light,20260810_133647,True
35016,0.0351,0.0195,0.9087,35.016,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap2,slow,light,20260810_133647,True
37513,0.0234,0.0312,0.9087,37.513,500000,-0.007799999999999998,0.011699999999999999,-0.0039000000000000146,0.014592463808418374,tap2,slow,light,20260810_133647,True
40007,0.0234,0.0312,0.9165,40.007,500000,-0.007799999999999998,0.011699999999999999,0.0039000000000000146,0.014592463808418374,tap2,slow,light,20260810_133647,True
42525,0.0273,0.0234,0.9087,42.525,500000,-0.0038999999999999972,0.0039000000000000007,-0.0039000000000000146,0.006754998149518628,tap2,slow,light,20260810_133647,True
45002,0.0351,0.0156,0.9204,45.002,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap2,slow,light,20260810_133647,True
