time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20855,0.0156,0.0312,0.9009,20.855,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,natural,normal,20260810_133647,True
21295,0.0156,0.0312,0.9009,21.295,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,natural,normal,20260810_133647,True
21836,0.0156,0.0312,0.9009,21.836,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,natural,normal,20260810_133647,True
22244,0.0156,0.0312,0.9009,22.244,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,natural,normal,20260810_133647,True
22657,0.0234,0.0273,0.9165,22.657,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
23052,0.0234,0.0273,0.9165,23.052,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
23452,0.0234,0.0273,0.9165,23.452,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
23866,0.0234,0.0273,0.9165,23.866,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
24272,0.0234,0.0273,0.9165,24.272,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
24680,0.0234,0.0273,0.9165,24.68,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
25086,0.0234,0.0273,0.9165,25.086,500000,0.007800000000000001,0.0,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
27500,0.0234,0.0351,0.9087,27.5,500000,0.007800000000000001,0.007799999999999998,0.0,0.01103086578651014,tap3,natural,normal,20260810_133647,True
30008,0.0117,0.0195,0.9126,30.008,500000,-0.003899999999999999,-0.007800000000000001,0.0039000000000000146,0.0095530099968544,tap3,natural,normal,20260810_133647,True
32505,0.0156,0.0273,0.9126,32.505,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,natural,normal,20260810_133647,True
35024,0.0234,0.0117,0.9126,35.024,500000,0.007800000000000001,-0.015600000000000001,0.0039000000000000146,0.01787204521032778,tap3,natural,normal,20260810_133647,True
37521,0.0156,0.0312,0.9087,37.521,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,natural,normal,20260810_133647,True
40006,0.0234,0.0195,0.9165,40.006,500000,0.007800000000000001,-0.007800000000000001,0.007800000000000029,0.013509996299037262,tap3,natural,normal,20260810_133647,True
42516,0.0195,0.0234,0.9048,42.516,500000,0.0039000000000000007,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,natural,normal,20260810_133647,True
45006,0.0156,0.0312,0.897,45.006,500000,0.0,0.0038999999999999972,-0.011699999999999933,0.012332882874656614,tap3,natural,normal,20260810_133647,True
47524,0.0156,0.0195,0.9165,47.524,500000,0.0,-0.007800000000000001,0.007800000000000029,0.011030865786510163,tap3,natural,normal,20260810_133647,True
50003,0.0156,0.0234,0.9126,50.003,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
52528,0.0117,0.0234,0.9048,52.528,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,natural,normal,20260810_133647,True
55029,0.0156,0.0312,0.9009,55.029,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,natural,normal,20260810_133647,True
57502,0.0195,0.0273,0.9126,57.502,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
60004,0.0195,0.0234,0.9165,60.004,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,natural,normal,20260810_133647,True
62516,0.0117,0.0195,0.9048,62.516,500000,-0.003899999999999999,-0.007800000000000001,-0.0038999999999999035,0.009553009996854355,tap3,natural,normal,20260810_133647,True
65004,0.0156,0.0312,0.9126,65.004,500000,0.0,0.0038999999999999972,0.0039000000000000146,0.005515432893255079,tap3,natural,normal,20260810_133647,True
67515,0.0117,0.0312,0.9087,67.515,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap3,natural,normal,20260810_133647,True
70009,0.0117,0.0234,0.9165,70.009,500000,-0.003899999999999999,-0.0039000000000000007,0.007800000000000029,0.009553009996854418,tap3,natural,normal,20260810_133647,True
72521,0.0117,0.0273,0.9087,72.521,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,natural,normal,20260810_133647,True
75018,0.0156,0.0273,0.9204,75.018,500000,0.0,0.0,0.011700000000000044,0.011700000000000044,tap3,natural,normal,20260810_133647,True
77519,0.0156,0.0312,0.9126,77.519,500000,0.0,0.0038999999999999972,0.0039000000000000146,0.005515432893255079,tap3,natural,normal,20260810_133647,True
80020,0.0195,0.0234,0.9126,80.02,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,natural,normal,20260810_133647,True
82529,0.0156,0.0312,0.9087,82.529,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,natural,normal,20260810_133647,True
85028,0.0195,0.0273,0.9126,85.028,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
87508,0.0078,0.0312,0.9126,87.508,500000,-0.0078,0.0038999999999999972,0.0039000000000000146,0.0095530099968544,tap3,natural,normal,20260810_133647,True
90011,0.0156,0.0351,0.9087,90.011,500000,0.0,0.007799999999999998,0.0,0.007799999999999998,tap3,natural,normal,20260810_133647,True
92529,0.0156,0.0273,0.9087,92.529,500000,0.0,0.0,0.0,0.0,tap3,natural,normal,20260810_133647,True
95028,0.0195,0.0273,0.9126,95.028,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
97529,0.0156,0.0234,0.9087,97.529,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,natural,normal,20260810_133647,True
100003,0.0039,0.039,0.9048,100.003,500000,-0.011699999999999999,0.011699999999999999,-0.0038999999999999035,0.0169997058798086,tap3,natural,normal,20260810_133647,True
102518,0.0117,0.0312,0.9087,102.518,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap3,natural,normal,20260810_133647,True
105007,0.0156,0.0273,0.9048,105.007,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,natural,normal,20260810_133647,True
107505,0.0117,0.0312,0.9126,107.505,500000,-0.003899999999999999,0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,natural,normal,20260810_133647,True
110008,0.0156,0.0195,0.9126,110.008,500000,0.0,-0.007800000000000001,0.0039000000000000146,0.008720665112249188,tap3,natural,normal,20260810_133647,True
112513,0.0117,0.0273,0.897,112.513,500000,-0.003899999999999999,0.0,-0.011699999999999933,0.012332882874656614,tap3,natural,normal,20260810_133647,True
115003,0.0156,0.0273,0.9087,115.003,500000,0.0,0.0,0.0,0.0,tap3,natural,normal,20260810_133647,True
117503,0.0156,0.0195,0.897,117.503,500000,0.0,-0.007800000000000001,-0.011699999999999933,0.014061649974309504,tap3,natural,normal,20260810_133647,True
120006,0.0156,0.0273,0.9087,120.006,500000,0.0,0.0,0.0,0.0,tap3,natural,normal,20260810_133647,True
122526,0.0117,0.0273,0.9048,122.526,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,natural,normal,20260810_133647,True
125026,0.0156,0.0273,0.9126,125.026,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,natural,normal,20260810_133647,True
127529,0.0156,0.0273,0.9126,127.529,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,natural,normal,20260810_133647,True
130000,0.0195,0.0273,0.9165,130.0,500000,0.0039000000000000007,0.0,0.007800000000000029,0.008720665112249207,tap3,natural,normal,20260810_133647,True
132512,0.0117,0.0351,0.9126,132.512,500000,-0.003899999999999999,0.007799999999999998,0.0039000000000000146,0.009553009996854399,tap3,natural,normal,20260810_133647,True
135002,0.0156,0.0195,0.9087,135.002,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,natural,normal,20260810_133647,True
137502,0.0117,0.0234,0.9048,137.502,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,natural,normal,20260810_133647,True
140007,0.0117,0.0273,0.9087,140.007,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,natural,normal,20260810_133647,True
142509,0.0156,0.0234,0.9087,142.509,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,natural,normal,20260810_133647,True
145000,0.0156,0.0312,0.9165,145.0,500000,0.0,0.0038999999999999972,0.007800000000000029,0.008720665112249205,tap3,natural,normal,20260810_133647,True
147529,0.0117,0.0273,0.9204,147.529,500000,-0.003899999999999999,0.0,0.011700000000000044,0.01233288287465672,tap3,natural,normal,20260810_133647,True
150001,0.0156,0.0312,0.9048,150.001,500000,0.0,0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap3,natural,normal,20260810_133647,True
152513,0.0117,0.0312,0.9087,152.513,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap3,natural,normal,20260810_133647,True
155000,0.0195,0.0234,0.9165,155.0,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,natural,normal,20260810_133647,True
157529,0.0156,0.0273,0.9126,157.529,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,natural,normal,20260810_133647,True
160024,0.0117,0.0351,0.9165,160.024,500000,-0.003899999999999999,0.007799999999999998,0.007800000000000029,0.011700000000000018,tap3,natural,normal,20260810_133647,True
162518,0.0195,0.0312,0.9165,162.518,500000,0.0039000000000000007,0.0038999999999999972,0.007800000000000029,0.009553009996854418,tap3,natural,normal,20260810_133647,True
165008,0.0195,0.0234,0.9087,165.008,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,natural,normal,20260810_133647,True
167505,0.0156,0.0195,0.9048,167.505,500000,0.0,-0.007800000000000001,-0.0038999999999999035,0.008720665112249138,tap3,natural,normal,20260810_133647,True
170011,0.0234,0.0234,0.9126,170.011,500000,0.007800000000000001,-0.0039000000000000007,0.0039000000000000146,0.009553009996854402,tap3,natural,normal,20260810_133647,True
172526,0.0156,0.0195,0.9087,172.526,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,natural,normal,20260810_133647,True
175024,0.0156,0.0234,0.9087,175.024,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,natural,normal,20260810_133647,True
177512,0.0195,0.0273,0.9087,177.512,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,natural,normal,20260810_133647,True
180010,0.0156,0.0273,0.9048,180.01,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,natural,normal,20260810_133647,True
182519,0.0156,0.0273,0.9087,182.519,500000,0.0,0.0,0.0,0.0,tap3,natural,normal,20260810_133647,True
185008,0.0234,0.0312,0.9126,185.008,500000,0.007800000000000001,0.0038999999999999972,0.0039000000000000146,0.0095530099968544,tap3,natural,normal,20260810_133647,True
187516,0.0078,0.0273,0.9087,187.516,500000,-0.0078,0.0,0.0,0.0078,tap3,natural,normal,20260810_133647,True
190020,0.0234,0.0234,0.9126,190.02,500000,0.007800000000000001,-0.0039000000000000007,0.0039000000000000146,0.009553009996854402,tap3,natural,normal,20260810_133647,True
192513,0.0156,0.0234,0.9009,192.513,500000,0.0,-0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,natural,normal,20260810_133647,True
195004,0.0117,0.0273,0.9087,195.004,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,natural,normal,20260810_133647,True
197508,0.0195,0.0234,0.9087,197.508,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,natural,normal,20260810_133647,True
200012,0.0117,0.0312,0.9204,200.012,500000,-0.003899999999999999,0.0038999999999999972,0.011700000000000044,0.012934836682386097,tap3,natural,normal,20260810_133647,True
202525,0.0195,0.0273,0.9126,202.525,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
205024,0.0195,0.0273,0.9165,205.024,500000,0.0039000000000000007,0.0,0.007800000000000029,0.008720665112249207,tap3,natural,normal,20260810_133647,True
207520,0.0156,0.0273,0.9087,207.52,500000,0.0,0.0,0.0,0.0,tap3,natural,normal,20260810_133647,True
210021,0.0117,0.0312,0.9165,210.021,500000,-0.003899999999999999,0.0038999999999999972,0.007800000000000029,0.009553009996854416,tap3,natural,normal,20260810_133647,True
212504,0.0156,0.0234,0.9126,212.504,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,natural,normal,20260810_133647,True
215022,0.0234,0.0234,0.9087,215.022,500000,0.007800000000000001,-0.0039000000000000007,0.0,0.008720665112249181,tap3,natural,normal,20260810_133647,True
217522,0.0156,0.0234,0.9165,217.522,500000,0.0,-0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,natural,normal,20260810_133647,True
220029,0.0117,0.0312,0.9087,220.029,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap3,natural,normal,20260810_133647,True
222513,0.0156,0.0273,0.9048,222.513,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,natural,normal,20260810_133647,True
225029,0.0117,0.0312,0.9165,225.029,500000,-0.003899999999999999,0.0038999999999999972,0.007800000000000029,0.009553009996854416,tap3,natural,normal,20260810_133647,True
227518,0.0117,0.0312,0.9048,227.518,500000,-0.003899999999999999,0.0038999999999999972,-0.0038999999999999035,0.006754998149518563,tap3,natural,normal,20260810_133647,True
230024,0.0156,0.0312,0.9126,230.024,500000,0.0,0.0038999999999999972,0.0039000000000000146,0.005515432893255079,tap3,natural,normal,20260810_133647,True
232529,0.0117,0.0312,0.9087,232.529,500000,-0.003899999999999999,0.0038999999999999972,0.0,0.005515432893255068,tap3,natural,normal,20260810_133647,True
