time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21622,0.0117,0.0234,0.9087,21.622,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,light,20260810_133647,False
22079,0.0117,0.0234,0.9087,22.079,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,light,20260810_133647,False
22480,0.0117,0.0234,0.9087,22.48,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,light,20260810_133647,False
22889,0.0117,0.0273,0.9048,22.889,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
23286,0.0117,0.0273,0.9048,23.286,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
23695,0.0117,0.0273,0.9048,23.695,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
24091,0.0117,0.0273,0.9048,24.091,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
24491,0.0117,0.0273,0.9048,24.491,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
24895,0.0117,0.0273,0.9048,24.895,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
25296,0.0078,0.0234,0.9204,25.296,500000,-0.0078,-0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,light,20260810_133647,False
25710,0.0078,0.0234,0.9204,25.71,500000,-0.0078,-0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,light,20260810_133647,False
27529,0.0078,0.0234,0.9204,27.529,500000,-0.0078,-0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,light,20260810_133647,False
30015,0.0117,0.0312,0.9165,30.015,500000,-0.003899999999999999,0.0038999999999999972,0.007800000000000029,0.009553009996854416,tap3,fast,light,20260810_133647,False
32524,0.0156,0.0273,0.9165,32.524,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,light,20260810_133647,False
35018,0.0195,0.0273,0.9204,35.018,500000,0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap3,fast,light,20260810_133647,False
37513,0.0195,0.0234,0.9087,37.513,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_133647,False
40002,0.0156,0.039,0.9009,40.002,500000,0.0,0.011699999999999999,-0.007799999999999918,0.014061649974309512,tap3,fast,light,20260810_133647,False
42528,0.0117,0.0351,0.9126,42.528,500000,-0.003899999999999999,0.007799999999999998,0.0039000000000000146,0.009553009996854399,tap3,fast,light,20260810_133647,False
45028,0.0195,0.0273,0.9087,45.028,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,light,20260810_133647,False
47504,0.0117,0.0351,0.9087,47.504,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,light,20260810_133647,False
50025,0.0156,0.0273,0.9126,50.025,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,light,20260810_133647,False
52518,0.0195,0.0273,0.9087,52.518,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,light,20260810_133647,False
55018,0.0117,0.0312,0.9126,55.018,500000,-0.003899999999999999,0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,fast,light,20260810_133647,False
57502,0.0156,0.0273,0.9087,57.502,500000,0.0,0.0,0.0,0.0,tap3,fast,light,20260810_133647,False
60022,0.0117,0.0273,0.9126,60.022,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,light,20260810_133647,False
62520,0.0156,0.0351,0.897,62.52,500000,0.0,0.007799999999999998,-0.011699999999999933,0.014061649974309502,tap3,fast,light,20260810_133647,False
65027,0.0156,0.0273,0.9204,65.027,500000,0.0,0.0,0.011700000000000044,0.011700000000000044,tap3,fast,light,20260810_133647,False
67512,0.0117,0.0273,0.9165,67.512,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,light,20260810_133647,False
70029,0.0195,0.0312,0.9126,70.029,500000,0.0039000000000000007,0.0038999999999999972,0.0039000000000000146,0.006754998149518628,tap3,fast,light,20260810_133647,False
72503,0.0117,0.0273,0.9048,72.503,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,fast,light,20260810_133647,False
75005,0.0156,0.0312,0.9087,75.005,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,light,20260810_133647,False
77522,0.0195,0.0234,0.9048,77.522,500000,0.0039000000000000007,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_133647,False
80018,0.0195,0.0234,0.9126,80.018,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,light,20260810_133647,False
82521,0.0156,0.0273,0.9087,82.521,500000,0.0,0.0,0.0,0.0,tap3,fast,light,20260810_133647,False
85028,0.0195,0.0312,0.9048,85.028,500000,0.0039000000000000007,0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,fast,light,20260810_133647,False
87512,0.0078,0.0273,0.9126,87.512,500000,-0.0078,0.0,0.0039000000000000146,0.008720665112249186,tap3,fast,light,20260810_133647,False
90006,0.0117,0.0234,0.9126,90.006,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,light,20260810_133647,False
92513,0.0078,0.0234,0.9165,92.513,500000,-0.0078,-0.0039000000000000007,0.007800000000000029,0.01170000000000002,tap3,fast,light,20260810_133647,False
95001,0.0195,0.0234,0.9126,95.001,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,light,20260810_133647,False
97509,0.0195,0.0234,0.9204,97.509,500000,0.0039000000000000007,-0.0039000000000000007,0.011700000000000044,0.012934836682386099,tap3,fast,light,20260810_133647,False
100025,0.0156,0.0234,0.9165,100.025,500000,0.0,-0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,light,20260810_133647,False
102523,0.0156,0.0234,0.9009,102.523,500000,0.0,-0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,light,20260810_133647,False
105026,0.0195,0.0234,0.9009,105.026,500000,0.0039000000000000007,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,light,20260810_133647,False
107520,0.0078,0.0312,0.9087,107.52,500000,-0.0078,0.0038999999999999972,0.0,0.00872066511224918,tap3,fast,light,20260810_133647,False
110010,0.0234,0.0195,0.9126,110.01,500000,0.007800000000000001,-0.007800000000000001,0.0039000000000000146,0.011700000000000007,tap3,fast,light,20260810_133647,False
112503,0.0195,0.0234,0.9165,112.503,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,light,20260810_133647,False
115002,0.0156,0.0273,0.9087,115.002,500000,0.0,0.0,0.0,0.0,tap3,fast,light,20260810_133647,False
117509,0.0156,0.0195,0.9087,117.509,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,light,20260810_133647,False
120027,0.0117,0.0273,0.9087,120.027,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,light,20260810_133647,False
122525,0.0156,0.0234,0.9048,122.525,500000,0.0,-0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_133647,False
125029,0.0117,0.0351,0.9087,125.029,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,light,20260810_133647,False
127507,0.0117,0.0351,0.9087,127.507,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,light,20260810_133647,False
130028,0.0117,0.0273,0.9126,130.028,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,light,20260810_133647,False
132510,0.0195,0.0234,0.9087,132.51,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_133647,False
135025,0.0195,0.0351,0.9204,135.025,500000,0.0039000000000000007,0.007799999999999998,0.011700000000000044,0.014592463808418405,tap3,fast,light,20260810_133647,False
137512,0.0156,0.0312,0.9048,137.512,500000,0.0,0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap3,fast,light,20260810_133647,False
140002,0.0195,0.0351,0.9126,140.002,500000,0.0039000000000000007,0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,fast,light,20260810_133647,False
142500,0.0078,0.0312,0.9009,142.5,500000,-0.0078,0.0038999999999999972,-0.007799999999999918,0.011699999999999945,tap3,fast,light,20260810_133647,False
145000,0.0195,0.0195,0.9048,145.0,500000,0.0039000000000000007,-0.007800000000000001,-0.0038999999999999035,0.009553009996854357,tap3,fast,light,20260810_133647,False
147507,0.0078,0.0273,0.9048,147.507,500000,-0.0078,0.0,-0.0038999999999999035,0.008720665112249136,tap3,fast,light,20260810_133647,False
150027,0.0117,0.0273,0.9165,150.027,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,light,20260810_133647,False
152523,0.0078,0.039,0.9048,152.523,500000,-0.0078,0.011699999999999999,-0.0038999999999999035,0.014592463808418344,tap3,fast,light,20260810_133647,False
155024,0.0195,0.0234,0.8931,155.024,500000,0.0039000000000000007,-0.0039000000000000007,-0.015599999999999947,0.016546298679765162,tap3,fast,light,20260810_133647,False
157507,0.0117,0.0234,0.9048,157.507,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,fast,light,20260810_133647,False
160028,0.0117,0.0312,0.9048,160.028,500000,-0.003899999999999999,0.0038999999999999972,-0.0038999999999999035,0.006754998149518563,tap3,fast,light,20260810_133647,False
162511,0.0117,0.039,0.9165,162.511,500000,-0.003899999999999999,0.011699999999999999,0.007800000000000029,0.014592463808418386,tap3,fast,light,20260810_133647,False
165018,0.0156,0.0273,0.9009,165.018,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,light,20260810_133647,False
167501,0.0195,0.0234,0.9126,167.501,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,light,20260810_133647,False
170012,0.0078,0.0234,0.9126,170.012,500000,-0.0078,-0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,fast,light,20260810_133647,False
172524,0.0195,0.0195,0.9126,172.524,500000,0.0039000000000000007,-0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,fast,light,20260810_133647,False
175027,0.0156,0.0273,0.9165,175.027,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,light,20260810_133647,False
177519,0.0156,0.0234,0.9087,177.519,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,light,20260810_133647,False
180012,0.0195,0.0273,0.9204,180.012,500000,0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap3,fast,light,20260810_133647,False
182512,0.0195,0.0234,0.9009,182.512,500000,0.0039000000000000007,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,light,20260810_133647,False
185015,0.0195,0.0234,0.9126,185.015,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,light,20260810_133647,False
187527,0.0117,0.0273,0.9126,187.527,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,light,20260810_133647,False
190022,0.0117,0.0195,0.9165,190.022,500000,-0.003899999999999999,-0.007800000000000001,0.007800000000000029,0.01170000000000002,tap3,fast,light,20260810_133647,False
192503,0.0117,0.0273,0.9087,192.503,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,light,20260810_133647,False
195019,0.0117,0.0234,0.9048,195.019,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,fast,light,20260810_133647,False
197503,0.0117,0.0195,0.9126,197.503,500000,-0.003899999999999999,-0.007800000000000001,0.0039000000000000146,0.0095530099968544,tap3,fast,light,20260810_133647,False
200018,0.0078,0.0273,0.9048,200.018,500000,-0.0078,0.0,-0.0038999999999999035,0.008720665112249136,tap3,fast,light,20260810_133647,False
202517,0.0195,0.0234,0.9048,202.517,500000,0.0039000000000000007,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_133647,False
205018,0.0078,0.0312,0.9009,205.018,500000,-0.0078,0.0038999999999999972,-0.007799999999999918,0.011699999999999945,tap3,fast,light,20260810_133647,False
