time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21079,0.0273,0.0273,0.9009,21.079,500000,0.011700000000000002,0.0,-0.011699999999999933,0.016546298679765165,tap3,fast,normal,20260810_133647,False
21520,0.0273,0.0273,0.9009,21.52,500000,0.011700000000000002,0.0,-0.011699999999999933,0.016546298679765165,tap3,fast,normal,20260810_133647,False
21926,0.0273,0.0273,0.9009,21.926,500000,0.011700000000000002,0.0,-0.011699999999999933,0.016546298679765165,tap3,fast,normal,20260810_133647,False
22325,0.0273,0.0273,0.9009,22.325,500000,0.011700000000000002,0.0,-0.011699999999999933,0.016546298679765165,tap3,fast,normal,20260810_133647,False
22736,0.0156,0.0273,0.9009,22.736,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
23130,0.0156,0.0273,0.9009,23.13,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
23531,0.0156,0.0273,0.9009,23.531,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
23993,0.0156,0.0273,0.9009,23.993,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
24404,0.0156,0.0273,0.9009,24.404,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
25029,0.0156,0.0273,0.9009,25.029,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_133647,False
25449,0.0156,0.0234,0.9204,25.449,500000,0.0,-0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,normal,20260810_133647,False
27529,0.0156,0.0234,0.9204,27.529,500000,0.0,-0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,normal,20260810_133647,False
30004,0.0195,0.0273,0.9048,30.004,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_133647,False
32505,0.0156,0.0273,0.9048,32.505,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,normal,20260810_133647,False
35002,0.0156,0.0234,0.9126,35.002,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_133647,False
37522,0.0195,0.0273,0.9243,37.522,500000,0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap3,fast,normal,20260810_133647,False
40025,0.0156,0.0156,0.9204,40.025,500000,0.0,-0.011700000000000002,0.007800000000000029,0.014061649974309576,tap3,fast,normal,20260810_133647,False
42522,0.0156,0.0273,0.897,42.522,500000,0.0,0.0,-0.015599999999999947,0.015599999999999947,tap3,fast,normal,20260810_133647,False
45010,0.0195,0.0234,0.9126,45.01,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,normal,20260810_133647,False
47526,0.0078,0.0312,0.9126,47.526,500000,-0.0078,0.0038999999999999972,0.0,0.00872066511224918,tap3,fast,normal,20260810_133647,False
50001,0.0117,0.0234,0.9126,50.001,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_133647,False
52512,0.0234,0.0273,0.9165,52.512,500000,0.007800000000000001,0.0,0.0039000000000000146,0.008720665112249188,tap3,fast,normal,20260810_133647,False
55004,0.0195,0.0273,0.9165,55.004,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_133647,False
57518,0.0195,0.0234,0.9087,57.518,500000,0.0039000000000000007,-0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_133647,False
60023,0.0156,0.0312,0.9126,60.023,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,normal,20260810_133647,False
62526,0.0156,0.0156,0.9204,62.526,500000,0.0,-0.011700000000000002,0.007800000000000029,0.014061649974309576,tap3,fast,normal,20260810_133647,False
65233,0.0195,0.0273,0.9243,65.233,500000,0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap3,fast,normal,20260810_133647,False
67503,0.0195,0.0195,0.9048,67.503,500000,0.0039000000000000007,-0.007800000000000001,-0.007799999999999918,0.011699999999999947,tap3,fast,normal,20260810_133647,False
70006,0.0078,0.0273,0.9087,70.006,500000,-0.0078,0.0,-0.0039000000000000146,0.008720665112249186,tap3,fast,normal,20260810_133647,False
72503,0.0234,0.0351,0.9087,72.503,500000,0.007800000000000001,0.007799999999999998,-0.0039000000000000146,0.011700000000000004,tap3,fast,normal,20260810_133647,False
75024,0.0117,0.0234,0.9048,75.024,500000,-0.003899999999999999,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,normal,20260810_133647,False
77509,0.0156,0.0234,0.9048,77.509,500000,0.0,-0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_133647,False
80013,0.0195,0.0312,0.9126,80.013,500000,0.0039000000000000007,0.0038999999999999972,0.0,0.0055154328932550695,tap3,fast,normal,20260810_133647,False
82517,0.0156,0.0312,0.9087,82.517,500000,0.0,0.0038999999999999972,-0.0039000000000000146,0.005515432893255079,tap3,fast,normal,20260810_133647,False
85002,0.0195,0.0273,0.9048,85.002,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_133647,False
87520,0.0195,0.0351,0.9126,87.52,500000,0.0039000000000000007,0.007799999999999998,0.0,0.00872066511224918,tap3,fast,normal,20260810_133647,False
90009,0.0156,0.0234,0.9165,90.009,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_133647,False
92516,0.0117,0.0234,0.9087,92.516,500000,-0.003899999999999999,-0.0039000000000000007,-0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_133647,False
95010,0.0156,0.0312,0.9126,95.01,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,normal,20260810_133647,False
97501,0.0117,0.0312,0.9165,97.501,500000,-0.003899999999999999,0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,fast,normal,20260810_133647,False
100010,0.0156,0.0234,0.9165,100.01,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_133647,False
102514,0.0234,0.0273,0.9087,102.514,500000,0.007800000000000001,0.0,-0.0039000000000000146,0.008720665112249188,tap3,fast,normal,20260810_133647,False
105000,0.0156,0.0273,0.9087,105.0,500000,0.0,0.0,-0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_133647,False
107517,0.0117,0.0273,0.9087,107.517,500000,-0.003899999999999999,0.0,-0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_133647,False
110020,0.0156,0.0273,0.9048,110.02,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,normal,20260810_133647,False
112515,0.0156,0.0273,0.9126,112.515,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_133647,False
115003,0.0195,0.0195,0.9087,115.003,500000,0.0039000000000000007,-0.007800000000000001,-0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_133647,False
117521,0.0195,0.0273,0.9048,117.521,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_133647,False
120012,0.0156,0.0312,0.9048,120.012,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,fast,normal,20260810_133647,False
122517,0.0117,0.0273,0.9087,122.517,500000,-0.003899999999999999,0.0,-0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_133647,False
125007,0.0117,0.0273,0.9087,125.007,500000,-0.003899999999999999,0.0,-0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_133647,False
127520,0.0117,0.0234,0.9126,127.52,500000,-0.003899999999999999,-0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_133647,False
130024,0.0195,0.0273,0.9126,130.024,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,normal,20260810_133647,False
132526,0.0117,0.0312,0.9087,132.526,500000,-0.003899999999999999,0.0038999999999999972,-0.0039000000000000146,0.006754998149518627,tap3,fast,normal,20260810_133647,False
135021,0.0117,0.0312,0.9087,135.021,500000,-0.003899999999999999,0.0038999999999999972,-0.0039000000000000146,0.006754998149518627,tap3,fast,normal,20260810_133647,False
137501,0.0195,0.0234,0.9087,137.501,500000,0.0039000000000000007,-0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_133647,False
140004,0.0195,0.0195,0.9126,140.004,500000,0.0039000000000000007,-0.007800000000000001,0.0,0.008720665112249181,tap3,fast,normal,20260810_133647,False
142500,0.0195,0.0312,0.9126,142.5,500000,0.0039000000000000007,0.0038999999999999972,0.0,0.0055154328932550695,tap3,fast,normal,20260810_133647,False
145020,0.0156,0.0117,0.9204,145.02,500000,0.0,-0.015600000000000001,0.007800000000000029,0.017441330224498373,tap3,fast,normal,20260810_133647,False
147500,0.0156,0.0312,0.9126,147.5,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,normal,20260810_133647,False
150009,0.0078,0.0234,0.9126,150.009,500000,-0.0078,-0.0039000000000000007,0.0,0.00872066511224918,tap3,fast,normal,20260810_133647,False
152514,0.0195,0.0273,0.9048,152.514,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_133647,False
155002,0.0195,0.0195,0.9243,155.002,500000,0.0039000000000000007,-0.007800000000000001,0.011700000000000044,0.014592463808418409,tap3,fast,normal,20260810_133647,False
157522,0.0195,0.0234,0.9165,157.522,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_133647,False
160027,0.0195,0.0273,0.9126,160.027,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,normal,20260810_133647,False
162524,0.0117,0.0234,0.9165,162.524,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_133647,False
165012,0.0156,0.0312,0.9087,165.012,500000,0.0,0.0038999999999999972,-0.0039000000000000146,0.005515432893255079,tap3,fast,normal,20260810_133647,False
167501,0.0195,0.0156,0.9126,167.501,500000,0.0039000000000000007,-0.011700000000000002,0.0,0.012332882874656682,tap3,fast,normal,20260810_133647,False
170005,0.0234,0.0273,0.9165,170.005,500000,0.007800000000000001,0.0,0.0039000000000000146,0.008720665112249188,tap3,fast,normal,20260810_133647,False
172501,0.0195,0.0234,0.9087,172.501,500000,0.0039000000000000007,-0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_133647,False
175019,0.0156,0.0273,0.9204,175.019,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,normal,20260810_133647,False
177502,0.0195,0.0234,0.9165,177.502,500000,0.0039000000000000007,-0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_133647,False
180008,0.0117,0.0312,0.9087,180.008,500000,-0.003899999999999999,0.0038999999999999972,-0.0039000000000000146,0.006754998149518627,tap3,fast,normal,20260810_133647,False
182508,0.0195,0.0195,0.9165,182.508,500000,0.0039000000000000007,-0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_133647,False
185010,0.0078,0.0234,0.9165,185.01,500000,-0.0078,-0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_133647,False
187527,0.0195,0.0312,0.9087,187.527,500000,0.0039000000000000007,0.0038999999999999972,-0.0039000000000000146,0.006754998149518628,tap3,fast,normal,20260810_133647,False
190000,0.0234,0.0312,0.9165,190.0,500000,0.007800000000000001,0.0038999999999999972,0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_133647,False
192504,0.0156,0.0234,0.9243,192.504,500000,0.0,-0.0039000000000000007,0.011700000000000044,0.012332882874656722,tap3,fast,normal,20260810_133647,False
195027,0.0156,0.0273,0.9126,195.027,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_133647,False
197514,0.0195,0.0195,0.9009,197.514,500000,0.0039000000000000007,-0.007800000000000001,-0.011699999999999933,0.014592463808418318,tap3,fast,normal,20260810_133647,False
200023,0.0195,0.0312,0.9048,200.023,500000,0.0039000000000000007,0.0038999999999999972,-0.007799999999999918,0.009553009996854326,tap3,fast,normal,20260810_133647,False
202522,0.0156,0.0234,0.9087,202.522,500000,0.0,-0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_133647,False
205007,0.0195,0.0273,0.9087,205.007,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_133647,False
207520,0.0078,0.0273,0.9126,207.52,500000,-0.0078,0.0,0.0,0.0078,tap3,fast,normal,20260810_133647,False
210023,0.0156,0.0312,0.9126,210.023,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,normal,20260810_133647,False
212519,0.0195,0.0156,0.9048,212.519,500000,0.0039000000000000007,-0.011700000000000002,-0.007799999999999918,0.01459246380841833,tap3,fast,normal,20260810_133647,False
215002,0.0156,0.0312,0.9087,215.002,500000,0.0,0.0038999999999999972,-0.0039000000000000146,0.005515432893255079,tap3,fast,normal,20260810_133647,False
217519,0.0156,0.0273,0.9087,217.519,500000,0.0,0.0,-0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_133647,False
220021,0.0156,0.0312,0.9126,220.021,500000,0.0,0.0038999999999999972,0.0,0.0038999999999999972,tap3,fast,normal,20260810_133647,False
222524,0.0234,0.0312,0.9087,222.524,500000,0.007800000000000001,0.0038999999999999972,-0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_133647,False
225026,0.0156,0.0312,0.9048,225.026,500000,0.0,0.0038999999999999972,-0.007799999999999918,0.008720665112249105,tap3,fast,normal,20260810_133647,False
227514,0.0273,0.0312,0.9165,227.514,500000,0.011700000000000002,0.0038999999999999972,0.0039000000000000146,0.012934836682386066,tap3,fast,normal,20260810_133647,False
230016,0.0156,0.0273,0.9126,230.016,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_133647,False
232519,0.0156,0.0273,0.9126,232.519,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_133647,False
235012,0.0156,0.0312,0.9204,235.012,500000,0.0,0.0038999999999999972,0.007800000000000029,0.008720665112249205,tap3,fast,normal,20260810_133647,False
237528,0.0117,0.0234,0.9048,237.528,500000,-0.003899999999999999,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,normal,20260810_133647,False
240001,0.0156,0.039,0.9126,240.001,500000,0.0,0.011699999999999999,0.0,0.011699999999999999,tap3,fast,normal,20260810_133647,False
242501,0.0156,0.0351,0.9048,242.501,500000,0.0,0.007799999999999998,-0.007799999999999918,0.011030865786510082,tap3,fast,normal,20260810_133647,False
245019,0.0156,0.0273,0.9165,245.019,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_133647,False
247506,0.0273,0.0273,0.9087,247.506,500000,0.011700000000000002,0.0,-0.0039000000000000146,0.012332882874656687,tap3,fast,normal,20260810_133647,False
250025,0.0312,0.0234,0.9009,250.025,500000,0.0156,-0.0039000000000000007,-0.011699999999999933,0.01988617610301182,tap3,fast,normal,20260810_133647,False
252503,0.0273,0.0195,0.9126,252.503,500000,0.011700000000000002,-0.007800000000000001,0.0,0.01406164997430956,tap3,fast,normal,20260810_133647,False
255024,0.0117,0.0273,0.9165,255.024,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_133647,False
257505,0.0117,0.0312,0.9204,257.505,500000,-0.003899999999999999,0.0038999999999999972,0.007800000000000029,0.009553009996854416,tap3,fast,normal,20260810_133647,False
260010,0.0117,0.0273,0.9087,260.01,500000,-0.003899999999999999,0.0,-0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_133647,False
