time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20519,0.0351,0.0195,0.9087,20.519,500000,0.007799999999999998,-0.0039000000000000007,0.0,0.00872066511224918,tap3,slow,firm,20260810_133647,False
20987,0.0351,0.0195,0.9087,20.987,500000,0.007799999999999998,-0.0039000000000000007,0.0,0.00872066511224918,tap3,slow,firm,20260810_133647,False
21384,0.0351,0.0195,0.9087,21.384,500000,0.007799999999999998,-0.0039000000000000007,0.0,0.00872066511224918,tap3,slow,firm,20260810_133647,False
21799,0.0351,0.0195,0.9087,21.799,500000,0.007799999999999998,-0.0039000000000000007,0.0,0.00872066511224918,tap3,slow,firm,20260810_133647,False
22200,0.0351,0.0195,0.9087,22.2,500000,0.007799999999999998,-0.0039000000000000007,0.0,0.00872066511224918,tap3,slow,firm,20260810_133647,False
22604,0.0273,0.0234,0.9087,22.604,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_133647,False
23005,0.0273,0.0234,0.9087,23.005,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_133647,False
23409,0.0273,0.0234,0.9087,23.409,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_133647,False
23824,0.0273,0.0234,0.9087,23.824,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_133647,False
24228,0.0273,0.0234,0.9087,24.228,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_133647,False
25016,0.0351,0.0234,0.9126,25.016,500000,0.007799999999999998,0.0,0.0039000000000000146,0.008720665112249185,tap3,slow,firm,20260810_133647,False
27521,0.0351,0.0234,0.9126,27.521,500000,0.007799999999999998,0.0,0.0039000000000000146,0.008720665112249185,tap3,slow,firm,20260810_133647,False
30017,0.0273,0.0195,0.9126,30.017,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,slow,firm,20260810_133647,False
32518,0.0234,0.0273,0.9048,32.518,500000,-0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,slow,firm,20260810_133647,False
35023,0.0312,0.0312,0.9126,35.023,500000,0.0038999999999999972,0.007799999999999998,0.0039000000000000146,0.009553009996854399,tap3,slow,firm,20260810_133647,False
37500,0.0351,0.0234,0.9165,37.5,500000,0.007799999999999998,0.0,0.007800000000000029,0.01103086578651016,tap3,slow,firm,20260810_133647,False
