time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20726,0.0117,0.0429,0.9087,20.726,500000,-0.003899999999999999,0.011700000000000002,0.0,0.01233288287465668,tap3,slow,light,20260810_133647,False
21176,0.0117,0.0429,0.9087,21.176,500000,-0.003899999999999999,0.011700000000000002,0.0,0.01233288287465668,tap3,slow,light,20260810_133647,False
21576,0.0117,0.0429,0.9087,21.576,500000,-0.003899999999999999,0.011700000000000002,0.0,0.01233288287465668,tap3,slow,light,20260810_133647,False
22115,0.0117,0.0429,0.9087,22.115,500000,-0.003899999999999999,0.011700000000000002,0.0,0.01233288287465668,tap3,slow,light,20260810_133647,False
22517,0.0234,0.0312,0.9009,22.517,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
22927,0.0234,0.0312,0.9009,22.927,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
23334,0.0234,0.0312,0.9009,23.334,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
23748,0.0234,0.0312,0.9009,23.748,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
24153,0.0234,0.0312,0.9009,24.153,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
24558,0.0234,0.0312,0.9009,24.558,500000,0.007800000000000001,0.0,-0.007799999999999918,0.011030865786510084,tap3,slow,light,20260810_133647,False
25030,0.0156,0.0351,0.9009,25.03,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,slow,light,20260810_133647,False
27524,0.0156,0.0351,0.9009,27.524,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,slow,light,20260810_133647,False
30003,0.0195,0.0234,0.9126,30.003,500000,0.0039000000000000007,-0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,slow,light,20260810_133647,False
32548,0.0156,0.0351,0.9204,32.548,500000,0.0,0.0039000000000000007,0.011700000000000044,0.012332882874656722,tap3,slow,light,20260810_133647,False
35011,0.0234,0.0351,0.9204,35.011,500000,0.007800000000000001,0.0039000000000000007,0.011700000000000044,0.014592463808418409,tap3,slow,light,20260810_133647,False
37523,0.0156,0.0273,0.9165,37.523,500000,0.0,-0.0038999999999999972,0.007800000000000029,0.008720665112249205,tap3,slow,light,20260810_133647,False
40009,0.0117,0.0234,0.9048,40.009,500000,-0.003899999999999999,-0.007799999999999998,-0.0038999999999999035,0.009553009996854354,tap3,slow,light,20260810_133647,False
42527,0.0117,0.0273,0.9126,42.527,500000,-0.003899999999999999,-0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,slow,light,20260810_133647,False
45005,0.0117,0.0273,0.9126,45.005,500000,-0.003899999999999999,-0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,slow,light,20260810_133647,False
47512,0.0234,0.0273,0.9165,47.512,500000,0.007800000000000001,-0.0038999999999999972,0.007800000000000029,0.01170000000000002,tap3,slow,light,20260810_133647,False
50015,0.0156,0.0468,0.9126,50.015,500000,0.0,0.015600000000000003,0.0039000000000000146,0.01608011193990888,tap3,slow,light,20260810_133647,False
52520,0.0117,0.039,0.9204,52.52,500000,-0.003899999999999999,0.007800000000000001,0.011700000000000044,0.014592463808418407,tap3,slow,light,20260810_133647,False
55016,0.0273,0.0273,0.9126,55.016,500000,0.011700000000000002,-0.0038999999999999972,0.0039000000000000146,0.012934836682386066,tap3,slow,light,20260810_133647,False
57500,0.0156,0.0312,0.9165,57.5,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,slow,light,20260810_133647,False
60002,0.0078,0.039,0.9048,60.002,500000,-0.0078,0.007800000000000001,-0.0038999999999999035,0.011699999999999969,tap3,slow,light,20260810_133647,False
62500,0.0156,0.0351,0.9126,62.5,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,slow,light,20260810_133647,False
65018,0.0117,0.0351,0.9087,65.018,500000,-0.003899999999999999,0.0039000000000000007,0.0,0.00551543289325507,tap3,slow,light,20260810_133647,False
67527,0.0117,0.0273,0.9087,67.527,500000,-0.003899999999999999,-0.0038999999999999972,0.0,0.005515432893255068,tap3,slow,light,20260810_133647,False
70013,0.0195,0.039,0.9126,70.013,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,slow,light,20260810_133647,False
72529,0.0156,0.039,0.897,72.529,500000,0.0,0.007800000000000001,-0.011699999999999933,0.014061649974309504,tap3,slow,light,20260810_133647,False
75026,0.0156,0.0312,0.9087,75.026,500000,0.0,0.0,0.0,0.0,tap3,slow,light,20260810_133647,False
77512,0.0234,0.039,0.9087,77.512,500000,0.007800000000000001,0.007800000000000001,0.0,0.011030865786510143,tap3,slow,light,20260810_133647,False
80021,0.0195,0.0273,0.9048,80.021,500000,0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,slow,light,20260810_133647,False
82509,0.0156,0.0351,0.9048,82.509,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,slow,light,20260810_133647,False
85028,0.0156,0.0273,0.9048,85.028,500000,0.0,-0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap3,slow,light,20260810_133647,False
87525,0.0156,0.0312,0.9009,87.525,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,slow,light,20260810_133647,False
90028,0.0312,0.0312,0.9087,90.028,500000,0.0156,0.0,0.0,0.0156,tap3,slow,light,20260810_133647,False
92515,0.0156,0.0312,0.9087,92.515,500000,0.0,0.0,0.0,0.0,tap3,slow,light,20260810_133647,False
95006,0.0156,0.0312,0.9009,95.006,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,slow,light,20260810_133647,False
97505,0.0078,0.0312,0.9048,97.505,500000,-0.0078,0.0,-0.0038999999999999035,0.008720665112249136,tap3,slow,light,20260810_133647,False
100007,0.0117,0.0351,0.9048,100.007,500000,-0.003899999999999999,0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,slow,light,20260810_133647,False
102518,0.0195,0.0234,0.9126,102.518,500000,0.0039000000000000007,-0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,slow,light,20260810_133647,False
105017,0.0156,0.0351,0.9009,105.017,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,slow,light,20260810_133647,False
107501,0.0156,0.0312,0.9009,107.501,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,slow,light,20260810_133647,False
110002,0.0156,0.039,0.9087,110.002,500000,0.0,0.007800000000000001,0.0,0.007800000000000001,tap3,slow,light,20260810_133647,False
112519,0.0117,0.0273,0.9087,112.519,500000,-0.003899999999999999,-0.0038999999999999972,0.0,0.005515432893255068,tap3,slow,light,20260810_133647,False
115021,0.0117,0.0273,0.9126,115.021,500000,-0.003899999999999999,-0.0038999999999999972,0.0039000000000000146,0.006754998149518627,tap3,slow,light,20260810_133647,False
117516,0.0156,0.0312,0.9087,117.516,500000,0.0,0.0,0.0,0.0,tap3,slow,light,20260810_133647,False
120000,0.0117,0.039,0.9126,120.0,500000,-0.003899999999999999,0.007800000000000001,0.0039000000000000146,0.0095530099968544,tap3,slow,light,20260810_133647,False
122518,0.0156,0.0273,0.9087,122.518,500000,0.0,-0.0038999999999999972,0.0,0.0038999999999999972,tap3,slow,light,20260810_133647,False
125015,0.0117,0.0429,0.897,125.015,500000,-0.003899999999999999,0.011700000000000002,-0.011699999999999933,0.01699970587980858,tap3,slow,light,20260810_133647,False
127510,0.0156,0.0429,0.9204,127.51,500000,0.0,0.011700000000000002,0.011700000000000044,0.016546298679765245,tap3,slow,light,20260810_133647,False
130012,0.0195,0.0273,0.9087,130.012,500000,0.0039000000000000007,-0.0038999999999999972,0.0,0.0055154328932550695,tap3,slow,light,20260810_133647,False
132524,0.0117,0.0351,0.9126,132.524,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,slow,light,20260810_133647,False
135029,0.0117,0.0351,0.9126,135.029,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,slow,light,20260810_133647,False
137509,0.0156,0.0273,0.9087,137.509,500000,0.0,-0.0038999999999999972,0.0,0.0038999999999999972,tap3,slow,light,20260810_133647,False
140013,0.0117,0.039,0.9126,140.013,500000,-0.003899999999999999,0.007800000000000001,0.0039000000000000146,0.0095530099968544,tap3,slow,light,20260810_133647,False
142512,0.0078,0.0312,0.9165,142.512,500000,-0.0078,0.0,0.007800000000000029,0.011030865786510162,tap3,slow,light,20260810_133647,False
145004,0.0156,0.039,0.9165,145.004,500000,0.0,0.007800000000000001,0.007800000000000029,0.011030865786510163,tap3,slow,light,20260810_133647,False
147505,0.0156,0.0351,0.9165,147.505,500000,0.0,0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,slow,light,20260810_133647,False
150008,0.0156,0.0312,0.9087,150.008,500000,0.0,0.0,0.0,0.0,tap3,slow,light,20260810_133647,False
152520,0.0195,0.0351,0.9126,152.52,500000,0.0039000000000000007,0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,slow,light,20260810_133647,False
155005,0.0195,0.039,0.9126,155.005,500000,0.0039000000000000007,0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,slow,light,20260810_133647,False
157518,0.0156,0.0351,0.9048,157.518,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,slow,light,20260810_133647,False
160025,0.0156,0.039,0.9048,160.025,500000,0.0,0.007800000000000001,-0.0038999999999999035,0.008720665112249138,tap3,slow,light,20260810_133647,False
162525,0.0156,0.0312,0.9204,162.525,500000,0.0,0.0,0.011700000000000044,0.011700000000000044,tap3,slow,light,20260810_133647,False
165019,0.0156,0.0351,0.9126,165.019,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,slow,light,20260810_133647,False
