time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20780,0.0195,0.0273,0.9048,20.78,500000,0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,slow,normal,20260810_133647,False
21227,0.0195,0.0273,0.9048,21.227,500000,0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,slow,normal,20260810_133647,False
21641,0.0195,0.0273,0.9048,21.641,500000,0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,slow,normal,20260810_133647,False
22042,0.0195,0.0273,0.9048,22.042,500000,0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap3,slow,normal,20260810_133647,False
22438,0.0195,0.0351,0.9009,22.438,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
22837,0.0195,0.0351,0.9009,22.837,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
23237,0.0195,0.0351,0.9009,23.237,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
23777,0.0195,0.0351,0.9009,23.777,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
24192,0.0195,0.0351,0.9009,24.192,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
24610,0.0195,0.0351,0.9009,24.61,500000,0.0039000000000000007,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,normal,20260810_133647,False
25019,0.0234,0.0312,0.9204,25.019,500000,0.007800000000000001,0.0,0.011700000000000044,0.014061649974309596,tap3,slow,normal,20260810_133647,False
27521,0.0195,0.0312,0.9048,27.521,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,slow,normal,20260810_133647,False
30007,0.0195,0.0312,0.9048,30.007,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,slow,normal,20260810_133647,False
32510,0.0117,0.0312,0.9048,32.51,500000,-0.003899999999999999,0.0,-0.0038999999999999035,0.005515432893255002,tap3,slow,normal,20260810_133647,False
35008,0.0078,0.0234,0.9087,35.008,500000,-0.0078,-0.007799999999999998,0.0,0.011030865786510139,tap3,slow,normal,20260810_133647,False
37525,0.0195,0.0312,0.9087,37.525,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,slow,normal,20260810_133647,False
40000,0.0078,0.0351,0.9009,40.0,500000,-0.0078,0.0039000000000000007,-0.007799999999999918,0.011699999999999945,tap3,slow,normal,20260810_133647,False
42502,0.0156,0.0195,0.9126,42.502,500000,0.0,-0.011699999999999999,0.0039000000000000146,0.012332882874656684,tap3,slow,normal,20260810_133647,False
45022,0.0195,0.0273,0.9087,45.022,500000,0.0039000000000000007,-0.0038999999999999972,0.0,0.0055154328932550695,tap3,slow,normal,20260810_133647,False
47525,0.0156,0.0273,0.9165,47.525,500000,0.0,-0.0038999999999999972,0.007800000000000029,0.008720665112249205,tap3,slow,normal,20260810_133647,False
50013,0.0117,0.0351,0.9165,50.013,500000,-0.003899999999999999,0.0039000000000000007,0.007800000000000029,0.009553009996854418,tap3,slow,normal,20260810_133647,False
52515,0.0117,0.0351,0.9048,52.515,500000,-0.003899999999999999,0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,slow,normal,20260810_133647,False
55003,0.0078,0.039,0.897,55.003,500000,-0.0078,0.007800000000000001,-0.011699999999999933,0.01608011193990883,tap3,slow,normal,20260810_133647,False
57518,0.0156,0.0234,0.9087,57.518,500000,0.0,-0.007799999999999998,0.0,0.007799999999999998,tap3,slow,normal,20260810_133647,False
60026,0.0156,0.0195,0.9165,60.026,500000,0.0,-0.011699999999999999,0.007800000000000029,0.014061649974309573,tap3,slow,normal,20260810_133647,False
62527,0.0117,0.0312,0.8931,62.527,500000,-0.003899999999999999,0.0,-0.015599999999999947,0.016080111939908825,tap3,slow,normal,20260810_133647,False
65023,0.0156,0.0312,0.9126,65.023,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,slow,normal,20260810_133647,False
67507,0.0195,0.0312,0.9048,67.507,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,slow,normal,20260810_133647,False
70029,0.0195,0.0273,0.9087,70.029,500000,0.0039000000000000007,-0.0038999999999999972,0.0,0.0055154328932550695,tap3,slow,normal,20260810_133647,False
72504,0.0195,0.0273,0.9126,72.504,500000,0.0039000000000000007,-0.0038999999999999972,0.0039000000000000146,0.006754998149518628,tap3,slow,normal,20260810_133647,False
75029,0.0117,0.0312,0.897,75.029,500000,-0.003899999999999999,0.0,-0.011699999999999933,0.012332882874656614,tap3,slow,normal,20260810_133647,False
77513,0.0195,0.0312,0.9204,77.513,500000,0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap3,slow,normal,20260810_133647,False
80021,0.0117,0.0195,0.897,80.021,500000,-0.003899999999999999,-0.011699999999999999,-0.011699999999999933,0.01699970587980858,tap3,slow,normal,20260810_133647,False
82515,0.0078,0.0273,0.9048,82.515,500000,-0.0078,-0.0038999999999999972,-0.0038999999999999035,0.009553009996854354,tap3,slow,normal,20260810_133647,False
85012,0.0156,0.0273,0.897,85.012,500000,0.0,-0.0038999999999999972,-0.011699999999999933,0.012332882874656614,tap3,slow,normal,20260810_133647,False
87525,0.0117,0.0273,0.9165,87.525,500000,-0.003899999999999999,-0.0038999999999999972,0.007800000000000029,0.009553009996854416,tap3,slow,normal,20260810_133647,False
90003,0.0195,0.0234,0.9048,90.003,500000,0.0039000000000000007,-0.007799999999999998,-0.0038999999999999035,0.009553009996854354,tap3,slow,normal,20260810_133647,False
92502,0.0195,0.0312,0.9165,92.502,500000,0.0039000000000000007,0.0,0.007800000000000029,0.008720665112249207,tap3,slow,normal,20260810_133647,False
95027,0.0195,0.0273,0.9126,95.027,500000,0.0039000000000000007,-0.0038999999999999972,0.0039000000000000146,0.006754998149518628,tap3,slow,normal,20260810_133647,False
97512,0.0156,0.0273,0.9048,97.512,500000,0.0,-0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap3,slow,normal,20260810_133647,False
100011,0.0117,0.0234,0.9048,100.011,500000,-0.003899999999999999,-0.007799999999999998,-0.0038999999999999035,0.009553009996854354,tap3,slow,normal,20260810_133647,False
102517,0.0078,0.039,0.9087,102.517,500000,-0.0078,0.007800000000000001,0.0,0.011030865786510143,tap3,slow,normal,20260810_133647,False
105026,0.0156,0.0273,0.9087,105.026,500000,0.0,-0.0038999999999999972,0.0,0.0038999999999999972,tap3,slow,normal,20260810_133647,False
