time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
14408,0.0663,14.408,tap1,1,natural,normal,0.0
15476,0.0624,15.476,tap1,1,natural,normal,-0.0039000000000000007
16492,0.0624,16.492,tap1,1,natural,normal,-0.0039000000000000007
17617,0.0702,17.617,tap1,1,natural,normal,0.0039000000000000007
18627,0.0702,18.627,tap1,1,natural,normal,0.0039000000000000007
19638,0.0663,19.638,tap1,1,natural,normal,0.0
20647,0.0663,20.647,tap1,1,natural,normal,0.0
21657,0.0663,21.657,tap1,1,natural,normal,0.0
22667,0.0663,22.667,tap1,1,natural,normal,0.0
23686,0.0663,23.686,tap1,1,natural,normal,0.0
25014,0.0702,25.014,tap1,1,natural,normal,0.0039000000000000007
27523,0.0663,27.523,tap1,1,natural,normal,0.0
30019,0.0624,30.019,tap1,1,natural,normal,-0.0039000000000000007
32519,0.0663,32.519,tap1,1,natural,normal,0.0
35002,0.0624,35.002,tap1,1,natural,normal,-0.0039000000000000007
37518,0.0663,37.518,tap1,1,natural,normal,0.0
40013,0.0663,40.013,tap1,1,natural,normal,0.0
42502,0.0702,42.502,tap1,1,natural,normal,0.0039000000000000007
45012,0.0702,45.012,tap1,1,natural,normal,0.0039000000000000007
47524,0.0624,47.524,tap1,1,natural,normal,-0.0039000000000000007
50018,0.0624,50.018,tap1,1,natural,normal,-0.0039000000000000007
52516,0.0624,52.516,tap1,1,natural,normal,-0.0039000000000000007
55003,0.0585,55.003,tap1,1,natural,normal,-0.0077999999999999944
57511,0.0663,57.511,tap1,1,natural,normal,0.0
60006,0.0585,60.006,tap1,1,natural,normal,-0.0077999999999999944
62509,0.0546,62.509,tap1,1,natural,normal,-0.011699999999999995
65023,0.0741,65.023,tap1,1,natural,normal,0.007800000000000001
67507,0.0663,67.507,tap1,1,natural,normal,0.0
70001,0.0663,70.001,tap1,1,natural,normal,0.0
72500,0.078,72.5,tap1,1,natural,normal,0.011700000000000002
75022,0.0702,75.022,tap1,1,natural,normal,0.0039000000000000007
77526,0.0741,77.526,tap1,1,natural,normal,0.007800000000000001
80008,0.0741,80.008,tap1,1,natural,normal,0.007800000000000001
82506,0.0663,82.506,tap1,1,natural,normal,0.0
85020,0.0585,85.02,tap1,1,natural,normal,-0.0077999999999999944
87519,0.0663,87.519,tap1,1,natural,normal,0.0
90012,0.0663,90.012,tap1,1,natural,normal,0.0
92510,0.0702,92.51,tap1,1,natural,normal,0.0039000000000000007
95020,0.0702,95.02,tap1,1,natural,normal,0.0039000000000000007
97503,0.0663,97.503,tap1,1,natural,normal,0.0
100023,0.0624,100.023,tap1,1,natural,normal,-0.0039000000000000007
102520,0.0624,102.52,tap1,1,natural,normal,-0.0039000000000000007
105005,0.0585,105.005,tap1,1,natural,normal,-0.0077999999999999944
107504,0.0663,107.504,tap1,1,natural,normal,0.0
110007,0.0663,110.007,tap1,1,natural,normal,0.0
112522,0.0663,112.522,tap1,1,natural,normal,0.0
115008,0.0585,115.008,tap1,1,natural,normal,-0.0077999999999999944
117520,0.0585,117.52,tap1,1,natural,normal,-0.0077999999999999944
120006,0.0585,120.006,tap1,1,natural,normal,-0.0077999999999999944
122506,0.0624,122.506,tap1,1,natural,normal,-0.0039000000000000007
125017,0.0624,125.017,tap1,1,natural,normal,-0.0039000000000000007
127527,0.0702,127.527,tap1,1,natural,normal,0.0039000000000000007
130023,0.0702,130.023,tap1,1,natural,normal,0.0039000000000000007
132522,0.0585,132.522,tap1,1,natural,normal,-0.0077999999999999944
135008,0.0624,135.008,tap1,1,natural,normal,-0.0039000000000000007
137520,0.0702,137.52,tap1,1,natural,normal,0.0039000000000000007
140015,0.0663,140.015,tap1,1,natural,normal,0.0
142513,0.0546,142.513,tap1,1,natural,normal,-0.011699999999999995
145024,0.0663,145.024,tap1,1,natural,normal,0.0
147505,0.0663,147.505,tap1,1,natural,normal,0.0
150000,0.0624,150.0,tap1,1,natural,normal,-0.0039000000000000007
152500,0.0624,152.5,tap1,1,natural,normal,-0.0039000000000000007
155013,0.0624,155.013,tap1,1,natural,normal,-0.0039000000000000007
157521,0.0702,157.521,tap1,1,natural,normal,0.0039000000000000007
160017,0.0663,160.017,tap1,1,natural,normal,0.0
162521,0.0663,162.521,tap1,1,natural,normal,0.0
165007,0.0624,165.007,tap1,1,natural,normal,-0.0039000000000000007
167516,0.0741,167.516,tap1,1,natural,normal,0.007800000000000001
170012,0.0741,170.012,tap1,1,natural,normal,0.007800000000000001
172500,0.0663,172.5,tap1,1,natural,normal,0.0
175025,0.0663,175.025,tap1,1,natural,normal,0.0
177510,0.0663,177.51,tap1,1,natural,normal,0.0
180019,0.0702,180.019,tap1,1,natural,normal,0.0039000000000000007
182519,0.0585,182.519,tap1,1,natural,normal,-0.0077999999999999944
185007,0.0624,185.007,tap1,1,natural,normal,-0.0039000000000000007
187503,0.0624,187.503,tap1,1,natural,normal,-0.0039000000000000007
190006,0.0702,190.006,tap1,1,natural,normal,0.0039000000000000007
192505,0.0702,192.505,tap1,1,natural,normal,0.0039000000000000007
195018,0.0663,195.018,tap1,1,natural,normal,0.0
197526,0.0663,197.526,tap1,1,natural,normal,0.0
200021,0.0624,200.021,tap1,1,natural,normal,-0.0039000000000000007
202519,0.0585,202.519,tap1,1,natural,normal,-0.0077999999999999944
205005,0.0624,205.005,tap1,1,natural,normal,-0.0039000000000000007
207512,0.0624,207.512,tap1,1,natural,normal,-0.0039000000000000007
210012,0.0663,210.012,tap1,1,natural,normal,0.0
212525,0.0702,212.525,tap1,1,natural,normal,0.0039000000000000007
215013,0.0702,215.013,tap1,1,natural,normal,0.0039000000000000007
217524,0.0702,217.524,tap1,1,natural,normal,0.0039000000000000007
220017,0.0819,220.017,tap1,1,natural,normal,0.015600000000000003
222512,0.0624,222.512,tap1,1,natural,normal,-0.0039000000000000007
225007,0.0624,225.007,tap1,1,natural,normal,-0.0039000000000000007
227512,0.0624,227.512,tap1,1,natural,normal,-0.0039000000000000007
230013,0.0663,230.013,tap1,1,natural,normal,0.0
232512,0.0663,232.512,tap1,1,natural,normal,0.0
235024,0.0702,235.024,tap1,1,natural,normal,0.0039000000000000007
237509,0.0663,237.509,tap1,1,natural,normal,0.0
240022,0.0663,240.022,tap1,1,natural,normal,0.0
242520,0.0663,242.52,tap1,1,natural,normal,0.0
245006,0.0546,245.006,tap1,1,natural,normal,-0.011699999999999995
247517,0.0663,247.517,tap1,1,natural,normal,0.0
250013,0.0663,250.013,tap1,1,natural,normal,0.0
252512,0.0624,252.512,tap1,1,natural,normal,-0.0039000000000000007
255025,0.0624,255.025,tap1,1,natural,normal,-0.0039000000000000007
257506,0.0624,257.506,tap1,1,natural,normal,-0.0039000000000000007
260006,0.0663,260.006,tap1,1,natural,normal,0.0
262512,0.0624,262.512,tap1,1,natural,normal,-0.0039000000000000007
265024,0.0624,265.024,tap1,1,natural,normal,-0.0039000000000000007
267508,0.0663,267.508,tap1,1,natural,normal,0.0
270001,0.0702,270.001,tap1,1,natural,normal,0.0039000000000000007
272502,0.0585,272.502,tap1,1,natural,normal,-0.0077999999999999944
