time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
14429,0.0351,14.429,tap2,2,slow,light,-0.0039000000000000007
15507,0.0351,15.507,tap2,2,slow,light,-0.0039000000000000007
16514,0.0351,16.514,tap2,2,slow,light,-0.0039000000000000007
17520,0.0429,17.52,tap2,2,slow,light,0.0039000000000000007
18526,0.0429,18.526,tap2,2,slow,light,0.0039000000000000007
19531,0.0429,19.531,tap2,2,slow,light,0.0039000000000000007
20551,0.0429,20.551,tap2,2,slow,light,0.0039000000000000007
21570,0.0429,21.57,tap2,2,slow,light,0.0039000000000000007
22604,0.0429,22.604,tap2,2,slow,light,0.0039000000000000007
23615,0.0429,23.615,tap2,2,slow,light,0.0039000000000000007
25023,0.0351,25.023,tap2,2,slow,light,-0.0039000000000000007
27523,0.0312,27.523,tap2,2,slow,light,-0.007800000000000001
30007,0.0351,30.007,tap2,2,slow,light,-0.0039000000000000007
32523,0.0312,32.523,tap2,2,slow,light,-0.007800000000000001
35017,0.039,35.017,tap2,2,slow,light,0.0
37516,0.0273,37.516,tap2,2,slow,light,-0.011699999999999999
40027,0.0351,40.027,tap2,2,slow,light,-0.0039000000000000007
42515,0.0351,42.515,tap2,2,slow,light,-0.0039000000000000007
45018,0.0312,45.018,tap2,2,slow,light,-0.007800000000000001
47507,0.0273,47.507,tap2,2,slow,light,-0.011699999999999999
50022,0.039,50.022,tap2,2,slow,light,0.0
52516,0.0429,52.516,tap2,2,slow,light,0.0039000000000000007
55011,0.0429,55.011,tap2,2,slow,light,0.0039000000000000007
57515,0.0351,57.515,tap2,2,slow,light,-0.0039000000000000007
60001,0.0429,60.001,tap2,2,slow,light,0.0039000000000000007
62517,0.039,62.517,tap2,2,slow,light,0.0
65010,0.039,65.01,tap2,2,slow,light,0.0
67507,0.039,67.507,tap2,2,slow,light,0.0
70020,0.0429,70.02,tap2,2,slow,light,0.0039000000000000007
72517,0.0429,72.517,tap2,2,slow,light,0.0039000000000000007
75022,0.039,75.022,tap2,2,slow,light,0.0
77519,0.0351,77.519,tap2,2,slow,light,-0.0039000000000000007
80002,0.0429,80.002,tap2,2,slow,light,0.0039000000000000007
82502,0.039,82.502,tap2,2,slow,light,0.0
85040,0.039,85.04,tap2,2,slow,light,0.0
87503,0.039,87.503,tap2,2,slow,light,0.0
90015,0.039,90.015,tap2,2,slow,light,0.0
92523,0.0351,92.523,tap2,2,slow,light,-0.0039000000000000007
95017,0.039,95.017,tap2,2,slow,light,0.0
97517,0.0429,97.517,tap2,2,slow,light,0.0039000000000000007
100003,0.0312,100.003,tap2,2,slow,light,-0.007800000000000001
102511,0.0429,102.511,tap2,2,slow,light,0.0039000000000000007
105004,0.039,105.004,tap2,2,slow,light,0.0
107517,0.0351,107.517,tap2,2,slow,light,-0.0039000000000000007
110022,0.039,110.022,tap2,2,slow,light,0.0
112519,0.0351,112.519,tap2,2,slow,light,-0.0039000000000000007
115023,0.0351,115.023,tap2,2,slow,light,-0.0039000000000000007
117522,0.039,117.522,tap2,2,slow,light,0.0
120014,0.039,120.014,tap2,2,slow,light,0.0
122516,0.0351,122.516,tap2,2,slow,light,-0.0039000000000000007
125013,0.0351,125.013,tap2,2,slow,light,-0.0039000000000000007
127514,0.039,127.514,tap2,2,slow,light,0.0
130024,0.0351,130.024,tap2,2,slow,light,-0.0039000000000000007
132508,0.0351,132.508,tap2,2,slow,light,-0.0039000000000000007
135003,0.039,135.003,tap2,2,slow,light,0.0
137501,0.039,137.501,tap2,2,slow,light,0.0
140012,0.0312,140.012,tap2,2,slow,light,-0.007800000000000001
142521,0.0351,142.521,tap2,2,slow,light,-0.0039000000000000007
145016,0.0429,145.016,tap2,2,slow,light,0.0039000000000000007
147516,0.0312,147.516,tap2,2,slow,light,-0.007800000000000001
150026,0.0312,150.026,tap2,2,slow,light,-0.007800000000000001
152934,0.0351,152.934,tap2,2,slow,light,-0.0039000000000000007
155021,0.0351,155.021,tap2,2,slow,light,-0.0039000000000000007
157524,0.0429,157.524,tap2,2,slow,light,0.0039000000000000007
160013,0.0312,160.013,tap2,2,slow,light,-0.007800000000000001
162521,0.039,162.521,tap2,2,slow,light,0.0
165023,0.0273,165.023,tap2,2,slow,light,-0.011699999999999999
167522,0.0351,167.522,tap2,2,slow,light,-0.0039000000000000007
170004,0.039,170.004,tap2,2,slow,light,0.0
172526,0.0351,172.526,tap2,2,slow,light,-0.0039000000000000007
175008,0.0312,175.008,tap2,2,slow,light,-0.007800000000000001
177508,0.0312,177.508,tap2,2,slow,light,-0.007800000000000001
180001,0.0312,180.001,tap2,2,slow,light,-0.007800000000000001
182500,0.0429,182.5,tap2,2,slow,light,0.0039000000000000007
185000,0.039,185.0,tap2,2,slow,light,0.0
187500,0.0351,187.5,tap2,2,slow,light,-0.0039000000000000007
190010,0.0351,190.01,tap2,2,slow,light,-0.0039000000000000007
192519,0.0429,192.519,tap2,2,slow,light,0.0039000000000000007
195015,0.0312,195.015,tap2,2,slow,light,-0.007800000000000001
197516,0.0351,197.516,tap2,2,slow,light,-0.0039000000000000007
200026,0.0351,200.026,tap2,2,slow,light,-0.0039000000000000007
202510,0.039,202.51,tap2,2,slow,light,0.0
205003,0.0351,205.003,tap2,2,slow,light,-0.0039000000000000007
207504,0.0429,207.504,tap2,2,slow,light,0.0039000000000000007
210008,0.0429,210.008,tap2,2,slow,light,0.0039000000000000007
212523,0.0273,212.523,tap2,2,slow,light,-0.011699999999999999
215022,0.0312,215.022,tap2,2,slow,light,-0.007800000000000001
217520,0.0312,217.52,tap2,2,slow,light,-0.007800000000000001
220016,0.0312,220.016,tap2,2,slow,light,-0.007800000000000001
222515,0.0351,222.515,tap2,2,slow,light,-0.0039000000000000007
225015,0.0351,225.015,tap2,2,slow,light,-0.0039000000000000007
227516,0.0273,227.516,tap2,2,slow,light,-0.011699999999999999
230002,0.0312,230.002,tap2,2,slow,light,-0.007800000000000001
232520,0.039,232.52,tap2,2,slow,light,0.0
235013,0.0312,235.013,tap2,2,slow,light,-0.007800000000000001
237515,0.0273,237.515,tap2,2,slow,light,-0.011699999999999999
240001,0.0351,240.001,tap2,2,slow,light,-0.0039000000000000007
242513,0.0312,242.513,tap2,2,slow,light,-0.007800000000000001
245023,0.0312,245.023,tap2,2,slow,light,-0.007800000000000001
247525,0.0351,247.525,tap2,2,slow,light,-0.0039000000000000007
250010,0.0312,250.01,tap2,2,slow,light,-0.007800000000000001
252506,0.039,252.506,tap2,2,slow,light,0.0
255001,0.0312,255.001,tap2,2,slow,light,-0.007800000000000001
257503,0.0312,257.503,tap2,2,slow,light,-0.007800000000000001
260017,0.0351,260.017,tap2,2,slow,light,-0.0039000000000000007
262505,0.0312,262.505,tap2,2,slow,light,-0.007800000000000001
265026,0.0312,265.026,tap2,2,slow,light,-0.007800000000000001
267525,0.039,267.525,tap2,2,slow,light,0.0
270009,0.039,270.009,tap2,2,slow,light,0.0
272507,0.0429,272.507,tap2,2,slow,light,0.0039000000000000007
275013,0.0312,275.013,tap2,2,slow,light,-0.007800000000000001
277513,0.039,277.513,tap2,2,slow,light,0.0
280023,0.039,280.023,tap2,2,slow,light,0.0
282519,0.0468,282.519,tap2,2,slow,light,0.007800000000000001
285017,0.0429,285.017,tap2,2,slow,light,0.0039000000000000007
287516,0.039,287.516,tap2,2,slow,light,0.0
290001,0.0429,290.001,tap2,2,slow,light,0.0039000000000000007
