time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
13622,0.039,13.622,tap3,3,fast,normal,0.0
14679,0.0351,14.679,tap3,3,fast,normal,-0.0039000000000000007
15695,0.0351,15.695,tap3,3,fast,normal,-0.0039000000000000007
16933,0.0351,16.933,tap3,3,fast,normal,-0.0039000000000000007
18032,0.0429,18.032,tap3,3,fast,normal,0.0039000000000000007
19048,0.0429,19.048,tap3,3,fast,normal,0.0039000000000000007
20056,0.0468,20.056,tap3,3,fast,normal,0.007800000000000001
21065,0.0468,21.065,tap3,3,fast,normal,0.007800000000000001
22075,0.0468,22.075,tap3,3,fast,normal,0.007800000000000001
23087,0.0351,23.087,tap3,3,fast,normal,-0.0039000000000000007
25011,0.039,25.011,tap3,3,fast,normal,0.0
27510,0.0351,27.51,tap3,3,fast,normal,-0.0039000000000000007
30013,0.0429,30.013,tap3,3,fast,normal,0.0039000000000000007
32519,0.039,32.519,tap3,3,fast,normal,0.0
35005,0.039,35.005,tap3,3,fast,normal,0.0
37505,0.0312,37.505,tap3,3,fast,normal,-0.007800000000000001
40015,0.0351,40.015,tap3,3,fast,normal,-0.0039000000000000007
42521,0.0351,42.521,tap3,3,fast,normal,-0.0039000000000000007
45006,0.039,45.006,tap3,3,fast,normal,0.0
47507,0.039,47.507,tap3,3,fast,normal,0.0
50010,0.0429,50.01,tap3,3,fast,normal,0.0039000000000000007
52516,0.0468,52.516,tap3,3,fast,normal,0.007800000000000001
55003,0.039,55.003,tap3,3,fast,normal,0.0
57504,0.0429,57.504,tap3,3,fast,normal,0.0039000000000000007
60015,0.039,60.015,tap3,3,fast,normal,0.0
62522,0.039,62.522,tap3,3,fast,normal,0.0
65004,0.039,65.004,tap3,3,fast,normal,0.0
67503,0.039,67.503,tap3,3,fast,normal,0.0
70020,0.039,70.02,tap3,3,fast,normal,0.0
72504,0.0468,72.504,tap3,3,fast,normal,0.007800000000000001
75019,0.039,75.019,tap3,3,fast,normal,0.0
77519,0.0351,77.519,tap3,3,fast,normal,-0.0039000000000000007
80010,0.0429,80.01,tap3,3,fast,normal,0.0039000000000000007
82513,0.0429,82.513,tap3,3,fast,normal,0.0039000000000000007
85000,0.0429,85.0,tap3,3,fast,normal,0.0039000000000000007
87513,0.0468,87.513,tap3,3,fast,normal,0.007800000000000001
90012,0.0429,90.012,tap3,3,fast,normal,0.0039000000000000007
92516,0.0273,92.516,tap3,3,fast,normal,-0.011699999999999999
95026,0.0468,95.026,tap3,3,fast,normal,0.007800000000000001
97502,0.0351,97.502,tap3,3,fast,normal,-0.0039000000000000007
100008,0.0429,100.008,tap3,3,fast,normal,0.0039000000000000007
102511,0.0429,102.511,tap3,3,fast,normal,0.0039000000000000007
105014,0.039,105.014,tap3,3,fast,normal,0.0
107512,0.0468,107.512,tap3,3,fast,normal,0.007800000000000001
110012,0.0273,110.012,tap3,3,fast,normal,-0.011699999999999999
112513,0.0312,112.513,tap3,3,fast,normal,-0.007800000000000001
115026,0.039,115.026,tap3,3,fast,normal,0.0
117509,0.0429,117.509,tap3,3,fast,normal,0.0039000000000000007
120009,0.0312,120.009,tap3,3,fast,normal,-0.007800000000000001
122509,0.0429,122.509,tap3,3,fast,normal,0.0039000000000000007
125022,0.0351,125.022,tap3,3,fast,normal,-0.0039000000000000007
127520,0.0351,127.52,tap3,3,fast,normal,-0.0039000000000000007
130000,0.039,130.0,tap3,3,fast,normal,0.0
132503,0.0312,132.503,tap3,3,fast,normal,-0.007800000000000001
135014,0.0312,135.014,tap3,3,fast,normal,-0.007800000000000001
137513,0.0312,137.513,tap3,3,fast,normal,-0.007800000000000001
140008,0.0351,140.008,tap3,3,fast,normal,-0.0039000000000000007
142512,0.0351,142.512,tap3,3,fast,normal,-0.0039000000000000007
145027,0.0351,145.027,tap3,3,fast,normal,-0.0039000000000000007
147526,0.0351,147.526,tap3,3,fast,normal,-0.0039000000000000007
150011,0.0351,150.011,tap3,3,fast,normal,-0.0039000000000000007
152515,0.039,152.515,tap3,3,fast,normal,0.0
155001,0.039,155.001,tap3,3,fast,normal,0.0
157505,0.039,157.505,tap3,3,fast,normal,0.0
160016,0.0429,160.016,tap3,3,fast,normal,0.0039000000000000007
162521,0.039,162.521,tap3,3,fast,normal,0.0
165010,0.039,165.01,tap3,3,fast,normal,0.0
167519,0.0468,167.519,tap3,3,fast,normal,0.007800000000000001
170008,0.039,170.008,tap3,3,fast,normal,0.0
172520,0.0273,172.52,tap3,3,fast,normal,-0.011699999999999999
175005,0.039,175.005,tap3,3,fast,normal,0.0
177505,0.0468,177.505,tap3,3,fast,normal,0.007800000000000001
180015,0.0468,180.015,tap3,3,fast,normal,0.007800000000000001
182519,0.0468,182.519,tap3,3,fast,normal,0.007800000000000001
185003,0.0468,185.003,tap3,3,fast,normal,0.007800000000000001
187515,0.0351,187.515,tap3,3,fast,normal,-0.0039000000000000007
190013,0.039,190.013,tap3,3,fast,normal,0.0
192518,0.0351,192.518,tap3,3,fast,normal,-0.0039000000000000007
195008,0.039,195.008,tap3,3,fast,normal,0.0
197511,0.039,197.511,tap3,3,fast,normal,0.0
200005,0.039,200.005,tap3,3,fast,normal,0.0
202508,0.0468,202.508,tap3,3,fast,normal,0.007800000000000001
205022,0.0312,205.022,tap3,3,fast,normal,-0.007800000000000001
207522,0.0351,207.522,tap3,3,fast,normal,-0.0039000000000000007
210000,0.039,210.0,tap3,3,fast,normal,0.0
212505,0.039,212.505,tap3,3,fast,normal,0.0
215017,0.0312,215.017,tap3,3,fast,normal,-0.007800000000000001
217521,0.0351,217.521,tap3,3,fast,normal,-0.0039000000000000007
220013,0.0351,220.013,tap3,3,fast,normal,-0.0039000000000000007
222515,0.0468,222.515,tap3,3,fast,normal,0.007800000000000001
225027,0.0468,225.027,tap3,3,fast,normal,0.007800000000000001
227526,0.0312,227.526,tap3,3,fast,normal,-0.007800000000000001
230009,0.0312,230.009,tap3,3,fast,normal,-0.007800000000000001
232516,0.0351,232.516,tap3,3,fast,normal,-0.0039000000000000007
235003,0.0351,235.003,tap3,3,fast,normal,-0.0039000000000000007
237504,0.0351,237.504,tap3,3,fast,normal,-0.0039000000000000007
240014,0.0351,240.014,tap3,3,fast,normal,-0.0039000000000000007
242518,0.0351,242.518,tap3,3,fast,normal,-0.0039000000000000007
245006,0.0429,245.006,tap3,3,fast,normal,0.0039000000000000007
247505,0.0312,247.505,tap3,3,fast,normal,-0.007800000000000001
250012,0.0351,250.012,tap3,3,fast,normal,-0.0039000000000000007
252516,0.039,252.516,tap3,3,fast,normal,0.0
255001,0.039,255.001,tap3,3,fast,normal,0.0
257522,0.039,257.522,tap3,3,fast,normal,0.0
260015,0.0351,260.015,tap3,3,fast,normal,-0.0039000000000000007
262520,0.0351,262.52,tap3,3,fast,normal,-0.0039000000000000007
265009,0.0351,265.009,tap3,3,fast,normal,-0.0039000000000000007
267521,0.0351,267.521,tap3,3,fast,normal,-0.0039000000000000007
270026,0.0351,270.026,tap3,3,fast,normal,-0.0039000000000000007
272509,0.0351,272.509,tap3,3,fast,normal,-0.0039000000000000007
275026,0.0507,275.026,tap3,3,fast,normal,0.011700000000000002
277527,0.0351,277.527,tap3,3,fast,normal,-0.0039000000000000007
280011,0.0507,280.011,tap3,3,fast,normal,0.011700000000000002
282516,0.0351,282.516,tap3,3,fast,normal,-0.0039000000000000007
285005,0.0351,285.005,tap3,3,fast,normal,-0.0039000000000000007
287512,0.039,287.512,tap3,3,fast,normal,0.0
290007,0.0312,290.007,tap3,3,fast,normal,-0.007800000000000001
292512,0.0351,292.512,tap3,3,fast,normal,-0.0039000000000000007
295026,0.039,295.026,tap3,3,fast,normal,0.0
297501,0.0468,297.501,tap3,3,fast,normal,0.007800000000000001
300005,0.0468,300.005,tap3,3,fast,normal,0.007800000000000001
302512,0.0429,302.512,tap3,3,fast,normal,0.0039000000000000007
305026,0.0351,305.026,tap3,3,fast,normal,-0.0039000000000000007
307526,0.039,307.526,tap3,3,fast,normal,0.0
310012,0.0429,310.012,tap3,3,fast,normal,0.0039000000000000007
312519,0.0429,312.519,tap3,3,fast,normal,0.0039000000000000007
315003,0.0351,315.003,tap3,3,fast,normal,-0.0039000000000000007
317508,0.0312,317.508,tap3,3,fast,normal,-0.007800000000000001
320013,0.0429,320.013,tap3,3,fast,normal,0.0039000000000000007
322517,0.0351,322.517,tap3,3,fast,normal,-0.0039000000000000007
325001,0.0312,325.001,tap3,3,fast,normal,-0.007800000000000001
327502,0.0351,327.502,tap3,3,fast,normal,-0.0039000000000000007
330009,0.039,330.009,tap3,3,fast,normal,0.0
332512,0.0351,332.512,tap3,3,fast,normal,-0.0039000000000000007
335000,0.0351,335.0,tap3,3,fast,normal,-0.0039000000000000007
337500,0.039,337.5,tap3,3,fast,normal,0.0
340005,0.039,340.005,tap3,3,fast,normal,0.0
342507,0.039,342.507,tap3,3,fast,normal,0.0
345021,0.0312,345.021,tap3,3,fast,normal,-0.007800000000000001
347520,0.0351,347.52,tap3,3,fast,normal,-0.0039000000000000007
350010,0.039,350.01,tap3,3,fast,normal,0.0
