time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
13681,0.0078,13.681,tap3,3,slow,firm,-0.0039000000000000007
14753,0.0195,14.753,tap3,3,slow,firm,0.0078
15765,0.0195,15.765,tap3,3,slow,firm,0.0078
16889,0.0195,16.889,tap3,3,slow,firm,0.0078
17912,0.0195,17.912,tap3,3,slow,firm,0.0078
18920,0.0195,18.92,tap3,3,slow,firm,0.0078
19927,0.0195,19.927,tap3,3,slow,firm,0.0078
20933,0.0195,20.933,tap3,3,slow,firm,0.0078
21940,0.0195,21.94,tap3,3,slow,firm,0.0078
22947,0.0156,22.947,tap3,3,slow,firm,0.003899999999999999
25010,0.0117,25.01,tap3,3,slow,firm,0.0
27515,0.0039,27.515,tap3,3,slow,firm,-0.0078000000000000005
30009,0.0117,30.009,tap3,3,slow,firm,0.0
32510,0.0078,32.51,tap3,3,slow,firm,-0.0039000000000000007
35020,0.0078,35.02,tap3,3,slow,firm,-0.0039000000000000007
37502,0.0039,37.502,tap3,3,slow,firm,-0.0078000000000000005
40022,0.0039,40.022,tap3,3,slow,firm,-0.0078000000000000005
42526,0.0039,42.526,tap3,3,slow,firm,-0.0078000000000000005
45010,0.0156,45.01,tap3,3,slow,firm,0.003899999999999999
47521,0.0156,47.521,tap3,3,slow,firm,0.003899999999999999
50015,0.0117,50.015,tap3,3,slow,firm,0.0
52515,0.0078,52.515,tap3,3,slow,firm,-0.0039000000000000007
55014,0.0117,55.014,tap3,3,slow,firm,0.0
57511,0.0078,57.511,tap3,3,slow,firm,-0.0039000000000000007
60010,0.0156,60.01,tap3,3,slow,firm,0.003899999999999999
62510,0.0234,62.51,tap3,3,slow,firm,0.0117
65019,0.0117,65.019,tap3,3,slow,firm,0.0
67513,0.0117,67.513,tap3,3,slow,firm,0.0
70021,0.0039,70.021,tap3,3,slow,firm,-0.0078000000000000005
72505,0.0195,72.505,tap3,3,slow,firm,0.0078
75020,0.0039,75.02,tap3,3,slow,firm,-0.0078000000000000005
77506,0.0039,77.506,tap3,3,slow,firm,-0.0078000000000000005
80001,0.0117,80.001,tap3,3,slow,firm,0.0
82509,0.0078,82.509,tap3,3,slow,firm,-0.0039000000000000007
85010,0.0117,85.01,tap3,3,slow,firm,0.0
87519,0.0117,87.519,tap3,3,slow,firm,0.0
90018,0.0117,90.018,tap3,3,slow,firm,0.0
92520,0.0156,92.52,tap3,3,slow,firm,0.003899999999999999
95010,0.0117,95.01,tap3,3,slow,firm,0.0
97521,0.0039,97.521,tap3,3,slow,firm,-0.0078000000000000005
100017,0.0117,100.017,tap3,3,slow,firm,0.0
102517,0.0117,102.517,tap3,3,slow,firm,0.0
105003,0.0117,105.003,tap3,3,slow,firm,0.0
107513,0.0117,107.513,tap3,3,slow,firm,0.0
110009,0.0078,110.009,tap3,3,slow,firm,-0.0039000000000000007
112510,0.0156,112.51,tap3,3,slow,firm,0.003899999999999999
115019,0.0039,115.019,tap3,3,slow,firm,-0.0078000000000000005
117503,0.0039,117.503,tap3,3,slow,firm,-0.0078000000000000005
120025,0.0117,120.025,tap3,3,slow,firm,0.0
122524,0.0039,122.524,tap3,3,slow,firm,-0.0078000000000000005
125010,0.0078,125.01,tap3,3,slow,firm,-0.0039000000000000007
127519,0.0078,127.519,tap3,3,slow,firm,-0.0039000000000000007
130010,0.0156,130.01,tap3,3,slow,firm,0.003899999999999999
132509,0.0039,132.509,tap3,3,slow,firm,-0.0078000000000000005
135020,0.0078,135.02,tap3,3,slow,firm,-0.0039000000000000007
137502,0.0078,137.502,tap3,3,slow,firm,-0.0039000000000000007
140001,0.0078,140.001,tap3,3,slow,firm,-0.0039000000000000007
142504,0.0039,142.504,tap3,3,slow,firm,-0.0078000000000000005
145018,0.0078,145.018,tap3,3,slow,firm,-0.0039000000000000007
147503,0.0117,147.503,tap3,3,slow,firm,0.0
150025,0.0078,150.025,tap3,3,slow,firm,-0.0039000000000000007
152523,0.0078,152.523,tap3,3,slow,firm,-0.0039000000000000007
155015,0.0078,155.015,tap3,3,slow,firm,-0.0039000000000000007
157507,0.0117,157.507,tap3,3,slow,firm,0.0
160008,0.0078,160.008,tap3,3,slow,firm,-0.0039000000000000007
162509,0.0078,162.509,tap3,3,slow,firm,-0.0039000000000000007
165019,0.0078,165.019,tap3,3,slow,firm,-0.0039000000000000007
167918,0.0039,167.918,tap3,3,slow,firm,-0.0078000000000000005
170013,0.0039,170.013,tap3,3,slow,firm,-0.0078000000000000005
172512,0.0117,172.512,tap3,3,slow,firm,0.0
175025,0.0195,175.025,tap3,3,slow,firm,0.0078
177503,0.0117,177.503,tap3,3,slow,firm,0.0
180023,0.0117,180.023,tap3,3,slow,firm,0.0
182523,0.0117,182.523,tap3,3,slow,firm,0.0
185022,0.0117,185.022,tap3,3,slow,firm,0.0
187504,0.0039,187.504,tap3,3,slow,firm,-0.0078000000000000005
190000,0.0039,190.0,tap3,3,slow,firm,-0.0078000000000000005
192504,0.0117,192.504,tap3,3,slow,firm,0.0
195019,0.0195,195.019,tap3,3,slow,firm,0.0078
197504,0.0156,197.504,tap3,3,slow,firm,0.003899999999999999
200000,0.0078,200.0,tap3,3,slow,firm,-0.0039000000000000007
202502,0.0078,202.502,tap3,3,slow,firm,-0.0039000000000000007
205019,0.0117,205.019,tap3,3,slow,firm,0.0
207502,0.0195,207.502,tap3,3,slow,firm,0.0078
210022,0.0117,210.022,tap3,3,slow,firm,0.0
212523,0.0078,212.523,tap3,3,slow,firm,-0.0039000000000000007
215009,0.0078,215.009,tap3,3,slow,firm,-0.0039000000000000007
217519,0.0117,217.519,tap3,3,slow,firm,0.0
220016,0.0078,220.016,tap3,3,slow,firm,-0.0039000000000000007
222515,0.0117,222.515,tap3,3,slow,firm,0.0
225005,0.0078,225.005,tap3,3,slow,firm,-0.0039000000000000007
227514,0.0156,227.514,tap3,3,slow,firm,0.003899999999999999
230009,0.0078,230.009,tap3,3,slow,firm,-0.0039000000000000007
232509,0.0078,232.509,tap3,3,slow,firm,-0.0039000000000000007
235021,0.0117,235.021,tap3,3,slow,firm,0.0
237502,0.0117,237.502,tap3,3,slow,firm,0.0
240020,0.0078,240.02,tap3,3,slow,firm,-0.0039000000000000007
242525,0.0039,242.525,tap3,3,slow,firm,-0.0078000000000000005
245011,0.0117,245.011,tap3,3,slow,firm,0.0
247519,0.0078,247.519,tap3,3,slow,firm,-0.0039000000000000007
250013,0.0078,250.013,tap3,3,slow,firm,-0.0039000000000000007
252513,0.0156,252.513,tap3,3,slow,firm,0.003899999999999999
255003,0.0039,255.003,tap3,3,slow,firm,-0.0078000000000000005
257525,0.0039,257.525,tap3,3,slow,firm,-0.0078000000000000005
260026,0.0078,260.026,tap3,3,slow,firm,-0.0039000000000000007
262525,0.0078,262.525,tap3,3,slow,firm,-0.0039000000000000007
265010,0.0039,265.01,tap3,3,slow,firm,-0.0078000000000000005
267522,0.0039,267.522,tap3,3,slow,firm,-0.0078000000000000005
270357,0.0078,270.357,tap3,3,slow,firm,-0.0039000000000000007
272520,0.0078,272.52,tap3,3,slow,firm,-0.0039000000000000007
275010,0.0039,275.01,tap3,3,slow,firm,-0.0078000000000000005
277517,0.0039,277.517,tap3,3,slow,firm,-0.0078000000000000005
