time_us,x_g,y_g,z_g,time_ms
14222,0.0234,0.0507,0.9126,14.222
14683,0.0351,0.0507,0.9126,14.683
15071,0.0351,0.0507,0.9126,15.071
15459,0.0351,0.0507,0.9126,15.459
15852,0.0351,0.0507,0.9126,15.852
16243,0.0351,0.0507,0.9126,16.243
16643,0.0351,0.0507,0.9126,16.643
17521,0.0351,0.0507,0.9087,17.521
20007,0.0429,0.0468,0.9009,20.007
22529,0.0312,0.0507,0.9087,22.529
25007,0.0312,0.0507,0.9048,25.007
27504,0.0351,0.0507,0.9048,27.504
30009,0.0351,0.0429,0.9087,30.009
32500,0.0351,0.0429,0.9087,32.5
35246,0.0273,0.0546,0.9048,35.246
37794,0.039,0.0468,0.9087,37.794
40015,0.039,0.0468,0.9087,40.015
42506,0.0312,0.0468,0.9126,42.506
45019,0.0273,0.0468,0.8931,45.019
47539,0.0312,0.0429,0.9165,47.539
50017,0.0273,0.0468,0.9126,50.017
52524,0.039,0.0468,0.9126,52.524
55009,0.0312,0.0507,0.9087,55.009
57522,0.0351,0.0585,0.9087,57.522
60020,0.0312,0.0546,0.9126,60.02
62533,0.0351,0.0468,0.9126,62.533
65014,0.0273,0.0507,0.9009,65.014
67521,0.0312,0.0507,0.9048,67.521
70006,0.0312,0.0546,0.9009,70.006
72504,0.0312,0.0507,0.9009,72.504
75023,0.0273,0.0546,0.9048,75.023
77519,0.0234,0.0468,0.9087,77.519
80013,0.0234,0.0468,0.9048,80.013
82538,0.0273,0.0468,0.9165,82.538
85021,0.0312,0.0468,0.9126,85.021
87527,0.0351,0.0468,0.9087,87.527
90016,0.0312,0.0429,0.9087,90.016
92517,0.0273,0.0468,0.9048,92.517
95003,0.0312,0.0507,0.897,95.003
97515,0.0273,0.0546,0.9087,97.515
100006,0.0273,0.0507,0.9126,100.006
102502,0.0312,0.039,0.9126,102.502
105015,0.0273,0.0468,0.9087,105.015
107529,0.0273,0.0468,0.9087,107.529
110011,0.0351,0.0507,0.9009,110.011
112516,0.0351,0.0546,0.9165,112.516
115014,0.0351,0.0507,0.9009,115.014
117517,0.0351,0.0546,0.9087,117.517
120007,0.039,0.0546,0.9009,120.007
122500,0.0312,0.0507,0.9009,122.5
125013,0.0351,0.0507,0.9048,125.013
127521,0.0273,0.0624,0.9048,127.521
130016,0.0351,0.0507,0.9126,130.016
132507,0.0312,0.0546,0.9048,132.507
135014,0.0312,0.0507,0.9087,135.014
137506,0.0273,0.0468,0.9126,137.506
140008,0.0351,0.0507,0.9087,140.008
142535,0.0312,0.0507,0.9126,142.535
145012,0.0312,0.0507,0.9126,145.012
147518,0.0234,0.0507,0.9126,147.518
150010,0.0273,0.0507,0.9126,150.01
152505,0.039,0.0546,0.9165,152.505
155005,0.0312,0.0429,0.9165,155.005
157521,0.0351,0.0585,0.9126,157.521
160015,0.0351,0.0468,0.9087,160.015
162524,0.0312,0.0507,0.9126,162.524
165006,0.0507,0.0507,0.9165,165.006
167519,0.0351,0.039,0.9126,167.519
170004,0.0234,0.0546,0.9048,170.004
172535,0.0234,0.0546,0.9087,172.535
175013,0.039,0.0507,0.9087,175.013
177521,0.0312,0.0546,0.9087,177.521
180011,0.0273,0.0507,0.9048,180.011
182503,0.0351,0.0468,0.9204,182.503
185009,0.0351,0.0507,0.9087,185.009
187507,0.0273,0.0429,0.9204,187.507
190024,0.0195,0.0507,0.9009,190.024
192520,0.0351,0.0429,0.9126,192.52
195013,0.039,0.0468,0.9165,195.013
197523,0.0273,0.0507,0.9048,197.523
200017,0.0351,0.0468,0.9087,200.017
202506,0.0273,0.0507,0.9048,202.506
205013,0.0312,0.0507,0.9126,205.013
207503,0.0351,0.0546,0.9087,207.503
210015,0.0234,0.0507,0.9009,210.015
212525,0.039,0.0429,0.9087,212.525
215026,0.0429,0.0468,0.9087,215.026
217502,0.0273,0.0468,0.9048,217.502
220018,0.0312,0.0468,0.9048,220.018
222525,0.0312,0.0468,0.9126,222.525
225007,0.0312,0.0507,0.9282,225.007
227519,0.0273,0.0546,0.9048,227.519
230007,0.0351,0.0507,0.9087,230.007
232503,0.0351,0.039,0.9126,232.503
235014,0.0312,0.0546,0.9009,235.014
237723,0.0312,0.0468,0.9048,237.723
240013,0.0312,0.0507,0.9126,240.013
242534,0.0351,0.0468,0.9126,242.534
245018,0.0312,0.0507,0.9009,245.018
247528,0.0312,0.0468,0.9087,247.528
250008,0.0312,0.0468,0.9087,250.008
252506,0.0234,0.0507,0.9048,252.506
255004,0.0312,0.0468,0.9087,255.004
257525,0.0351,0.0468,0.9087,257.525
260021,0.0351,0.0468,0.9087,260.021
262534,0.0234,0.0507,0.9165,262.534
265017,0.0351,0.0507,0.9087,265.017
267530,0.0351,0.0507,0.9009,267.53
270016,0.0351,0.0507,0.9009,270.016
272520,0.0351,0.0468,0.897,272.52
275003,0.0273,0.0507,0.9243,275.003
277517,0.0351,0.0585,0.9087,277.517
280011,0.0351,0.0546,0.9165,280.011
282506,0.0351,0.0507,0.9009,282.506
285004,0.039,0.0429,0.9009,285.004
287507,0.0312,0.0507,0.9048,287.507
290017,0.0312,0.0507,0.9048,290.017
292522,0.0273,0.0468,0.9087,292.522
295002,0.0156,0.0585,0.9048,295.002
297504,0.0234,0.0507,0.9009,297.504
300010,0.0234,0.0546,0.9126,300.01
