time_us,x_g,y_g,z_g,time_ms,cue_time_us
20463,0.0312,0.0507,0.9048,20.463,500000
20923,0.0312,0.0507,0.9048,20.923,500000
21319,0.0312,0.0507,0.9048,21.319,500000
21728,0.0312,0.0507,0.9048,21.728,500000
22129,0.0312,0.0507,0.9048,22.129,500000
22524,0.0312,0.0585,0.9126,22.524,500000
23026,0.0312,0.0585,0.9126,23.026,500000
23432,0.0312,0.0585,0.9126,23.432,500000
23841,0.0312,0.0585,0.9126,23.841,500000
24236,0.0312,0.0585,0.9126,24.236,500000
25009,0.0312,0.0585,0.9126,25.009,500000
27512,0.0429,0.0585,0.897,27.512,500000
30021,0.0351,0.0546,0.9165,30.021,500000
32521,0.0273,0.0546,0.9009,32.521,500000
35030,0.0351,0.0507,0.9087,35.03,500000
37509,0.0273,0.0546,0.9009,37.509,500000
40016,0.0312,0.0429,0.9126,40.016,500000
42511,0.0312,0.0546,0.9126,42.511,500000
45004,0.0312,0.0546,0.9009,45.004,500000
47529,0.0273,0.0468,0.9165,47.529,500000
50006,0.0312,0.0468,0.9048,50.006,500000
52529,0.0351,0.0468,0.9087,52.529,500000
55027,0.0351,0.0429,0.9048,55.027,500000
57500,0.0273,0.0585,0.9048,57.5,500000
60008,0.0234,0.0507,0.9048,60.008,500000
62510,0.0312,0.0546,0.9048,62.51,500000
65024,0.0273,0.0507,0.9165,65.024,500000
67502,0.0273,0.0468,0.9048,67.502,500000
70013,0.0312,0.0546,0.9165,70.013,500000
72516,0.0312,0.0468,0.9087,72.516,500000
75006,0.0312,0.0429,0.9126,75.006,500000
77506,0.0273,0.0507,0.9048,77.506,500000
80026,0.0429,0.0468,0.9126,80.026,500000
82522,0.0312,0.0468,0.9009,82.522,500000
85017,0.0273,0.0546,0.9048,85.017,500000
87526,0.0273,0.0546,0.9126,87.526,500000
90030,0.0273,0.0507,0.9009,90.03,500000
92527,0.0273,0.0546,0.897,92.527,500000
95027,0.0351,0.0546,0.9165,95.027,500000
97504,0.0351,0.0507,0.9087,97.504,500000
100007,0.039,0.0546,0.9048,100.007,500000
102503,0.0312,0.0507,0.9126,102.503,500000
105030,0.0312,0.0507,0.9009,105.03,500000
107503,0.0351,0.0507,0.9087,107.503,500000
110005,0.0273,0.0507,0.9048,110.005,500000
112502,0.0234,0.0546,0.9087,112.502,500000
115007,0.0273,0.0468,0.9126,115.007,500000
117516,0.0273,0.0507,0.9087,117.516,500000
120025,0.0312,0.0507,0.9048,120.025,500000
122523,0.0273,0.0468,0.9126,122.523,500000
125023,0.0351,0.0546,0.9087,125.023,500000
127505,0.0234,0.0429,0.897,127.505,500000
130013,0.0312,0.0507,0.9048,130.013,500000
132512,0.0351,0.0546,0.9165,132.512,500000
135014,0.0351,0.0546,0.9165,135.014,500000
137523,0.0312,0.0546,0.9087,137.523,500000
140025,0.0351,0.0546,0.9087,140.025,500000
142528,0.0273,0.0507,0.9087,142.528,500000
145027,0.0351,0.0546,0.9204,145.027,500000
147529,0.039,0.0507,0.9126,147.529,500000
150007,0.0312,0.0507,0.9048,150.007,500000
152502,0.039,0.0429,0.9204,152.502,500000
155030,0.0273,0.0507,0.9243,155.03,500000
157507,0.039,0.0546,0.9126,157.507,500000
160009,0.0273,0.0546,0.9048,160.009,500000
162509,0.039,0.0546,0.9165,162.509,500000
165026,0.0351,0.0507,0.9048,165.026,500000
167503,0.0312,0.0507,0.9126,167.503,500000
170015,0.0273,0.0546,0.9087,170.015,500000
172510,0.0429,0.0507,0.9204,172.51,500000
175018,0.0351,0.0585,0.9126,175.018,500000
177505,0.0312,0.0507,0.9165,177.505,500000
180014,0.0312,0.0546,0.9126,180.014,500000
182518,0.0312,0.0507,0.9087,182.518,500000
185007,0.039,0.0546,0.9126,185.007,500000
187517,0.039,0.0468,0.9087,187.517,500000
190027,0.039,0.0507,0.9087,190.027,500000
192524,0.0351,0.0585,0.9165,192.524,500000
195026,0.0312,0.0546,0.9126,195.026,500000
197504,0.0312,0.0546,0.9087,197.504,500000
200011,0.0234,0.0546,0.9087,200.011,500000
202506,0.039,0.0507,0.9165,202.506,500000
205000,0.0351,0.0507,0.9126,205.0,500000
207503,0.0312,0.0546,0.9126,207.503,500000
210010,0.0273,0.0507,0.9009,210.01,500000
212505,0.0273,0.0546,0.9048,212.505,500000
215001,0.0312,0.0507,0.9204,215.001,500000
217504,0.0429,0.0507,0.9126,217.504,500000
220008,0.0117,0.0429,0.9126,220.008,500000
222509,0.0312,0.0507,0.9126,222.509,500000
225028,0.0234,0.0507,0.9126,225.028,500000
227524,0.0273,0.0546,0.9009,227.524,500000
230004,0.0312,0.0507,0.9048,230.004,500000
232525,0.0312,0.0546,0.9126,232.525,500000
235021,0.0351,0.0429,0.9126,235.021,500000
237500,0.0351,0.0507,0.9087,237.5,500000
240006,0.0312,0.0546,0.9126,240.006,500000
242502,0.0312,0.0468,0.9009,242.502,500000
245023,0.0312,0.0468,0.9009,245.023,500000
247501,0.0351,0.0507,0.9048,247.501,500000
250008,0.0312,0.0546,0.9048,250.008,500000
252509,0.0312,0.0507,0.9087,252.509,500000
255008,0.0273,0.0585,0.9204,255.008,500000
257516,0.0312,0.0429,0.9087,257.516,500000
260019,0.0312,0.0429,0.9048,260.019,500000
262519,0.0273,0.0546,0.897,262.519,500000
265028,0.0273,0.0507,0.9126,265.028,500000
267506,0.039,0.0546,0.9165,267.506,500000
270023,0.0429,0.0507,0.9048,270.023,500000
272523,0.0273,0.0507,0.9165,272.523,500000
275021,0.0312,0.0624,0.9126,275.021,500000
277513,0.0351,0.0546,0.9165,277.513,500000
280004,0.039,0.0507,0.9087,280.004,500000
282503,0.039,0.0507,0.9126,282.503,500000
285010,0.0273,0.0585,0.9204,285.01,500000
287513,0.0312,0.0507,0.9165,287.513,500000
290015,0.0351,0.0546,0.9009,290.015,500000
292509,0.0312,0.0507,0.9126,292.509,500000
295029,0.0351,0.0468,0.9048,295.029,500000
