time_us,y_g,time_ms
13804,0.0546,13.804
14859,0.0546,14.859
15864,0.0546,15.864
16870,0.0546,16.87
17877,0.0624,17.877
18885,0.0624,18.885
20075,0.0624,20.075
21088,0.0624,21.088
22098,0.0624,22.098
23226,0.0507,23.226
25015,0.0546,25.015
27511,0.0546,27.511
30013,0.0468,30.013
32510,0.0507,32.51
35022,0.0429,35.022
37525,0.0507,37.525
40007,0.0507,40.007
42503,0.0546,42.503
45018,0.039,45.018
47523,0.0546,47.523
50009,0.0468,50.009
52504,0.0546,52.504
55022,0.0468,55.022
57524,0.0507,57.524
60010,0.0585,60.01
62508,0.0585,62.508
65014,0.0468,65.014
67514,0.0429,67.514
70023,0.0468,70.023
72520,0.0546,72.52
75019,0.0546,75.019
77518,0.0468,77.518
80026,0.0546,80.026
82521,0.0507,82.521
85016,0.0429,85.016
87520,0.0468,87.52
90004,0.0429,90.004
93115,0.0507,93.115
95015,0.0507,95.015
97510,0.0429,97.51
100021,0.0507,100.021
102517,0.0507,102.517
105009,0.0468,105.009
107517,0.0468,107.517
110025,0.039,110.025
112516,0.0429,112.516
115023,0.0429,115.023
117523,0.0429,117.523
120023,0.0468,120.023
122509,0.0468,122.509
125006,0.0507,125.006
127509,0.0429,127.509
130020,0.0429,130.02
132516,0.0429,132.516
135017,0.0468,135.017
137518,0.0429,137.518
140000,0.039,140.0
142526,0.0507,142.526
145021,0.0507,145.021
147501,0.0546,147.501
150011,0.0468,150.011
152506,0.0468,152.506
155019,0.0507,155.019
157522,0.0507,157.522
160021,0.0585,160.021
162518,0.0507,162.518
165012,0.0546,165.012
167515,0.0468,167.515
170024,0.0468,170.024
172520,0.0546,172.52
175018,0.0468,175.018
177523,0.0468,177.523
180004,0.0507,180.004
182526,0.0546,182.526
185016,0.0429,185.016
187517,0.0429,187.517
190025,0.0507,190.025
192522,0.0507,192.522
195366,0.0468,195.366
197519,0.0468,197.519
200007,0.0468,200.007
202501,0.0546,202.501
205000,0.0468,205.0
207504,0.0507,207.504
210012,0.0429,210.012
212515,0.0429,212.515
215024,0.0468,215.024
217523,0.0468,217.523
220003,0.0507,220.003
222514,0.0468,222.514
225011,0.0468,225.011
227516,0.0507,227.516
230024,0.0507,230.024
232519,0.0468,232.519
235012,0.0468,235.012
237510,0.0546,237.51
240018,0.0468,240.018
242512,0.0468,242.512
245023,0.0507,245.023
247503,0.0546,247.503
250014,0.0429,250.014
252509,0.0546,252.509
255017,0.0546,255.017
257515,0.0507,257.515
260023,0.0507,260.023
262520,0.0546,262.52
265017,0.0546,265.017
267517,0.0468,267.517
270025,0.0507,270.025
272521,0.0468,272.521
275023,0.0546,275.023
277522,0.0468,277.522
280003,0.0429,280.003
282527,0.0429,282.527
285020,0.0546,285.02
287519,0.0468,287.519
290004,0.0585,290.004
292507,0.0468,292.507
295021,0.0351,295.021
297805,0.039,297.805
300019,0.0507,300.019
302516,0.0507,302.516
305019,0.0429,305.019
307526,0.039,307.526
310008,0.0468,310.008
312512,0.0429,312.512
315019,0.039,315.019
317519,0.0507,317.519
320011,0.0468,320.011
322524,0.0468,322.524
325007,0.0468,325.007
327509,0.0507,327.509
330020,0.0429,330.02
332515,0.0507,332.515
335014,0.039,335.014
337517,0.039,337.517
340000,0.0507,340.0
342523,0.0468,342.523
345019,0.0546,345.019
347525,0.0468,347.525
350004,0.0468,350.004
352504,0.0507,352.504
355016,0.0468,355.016
