time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
14345,0.0468,14.345,tap1,1,natural,normal,-0.0039000000000000007
15411,0.0468,15.411,tap1,1,natural,normal,-0.0039000000000000007
16416,0.0468,16.416,tap1,1,natural,normal,-0.0039000000000000007
17423,0.0585,17.423,tap1,1,natural,normal,0.007800000000000001
18428,0.0585,18.428,tap1,1,natural,normal,0.007800000000000001
19436,0.0585,19.436,tap1,1,natural,normal,0.007800000000000001
20445,0.0507,20.445,tap1,1,natural,normal,0.0
21453,0.0507,21.453,tap1,1,natural,normal,0.0
22462,0.0624,22.462,tap1,1,natural,normal,0.011699999999999995
23470,0.0624,23.47,tap1,1,natural,normal,0.011699999999999995
25019,0.0429,25.019,tap1,1,natural,normal,-0.007800000000000001
27524,0.039,27.524,tap1,1,natural,normal,-0.011700000000000002
30010,0.0468,30.01,tap1,1,natural,normal,-0.0039000000000000007
32508,0.0507,32.508,tap1,1,natural,normal,0.0
35025,0.0507,35.025,tap1,1,natural,normal,0.0
37512,0.0507,37.512,tap1,1,natural,normal,0.0
40026,0.0546,40.026,tap1,1,natural,normal,0.0039000000000000007
42523,0.0507,42.523,tap1,1,natural,normal,0.0
45020,0.0507,45.02,tap1,1,natural,normal,0.0
47503,0.0507,47.503,tap1,1,natural,normal,0.0
50015,0.0546,50.015,tap1,1,natural,normal,0.0039000000000000007
52514,0.0507,52.514,tap1,1,natural,normal,0.0
55010,0.0546,55.01,tap1,1,natural,normal,0.0039000000000000007
57522,0.0546,57.522,tap1,1,natural,normal,0.0039000000000000007
60009,0.0507,60.009,tap1,1,natural,normal,0.0
62508,0.0546,62.508,tap1,1,natural,normal,0.0039000000000000007
65022,0.0585,65.022,tap1,1,natural,normal,0.007800000000000001
67504,0.0546,67.504,tap1,1,natural,normal,0.0039000000000000007
70016,0.0585,70.016,tap1,1,natural,normal,0.007800000000000001
72506,0.0585,72.506,tap1,1,natural,normal,0.007800000000000001
75000,0.0546,75.0,tap1,1,natural,normal,0.0039000000000000007
77515,0.0507,77.515,tap1,1,natural,normal,0.0
80025,0.0468,80.025,tap1,1,natural,normal,-0.0039000000000000007
82522,0.0507,82.522,tap1,1,natural,normal,0.0
85019,0.0585,85.019,tap1,1,natural,normal,0.007800000000000001
87525,0.0507,87.525,tap1,1,natural,normal,0.0
90015,0.0468,90.015,tap1,1,natural,normal,-0.0039000000000000007
92513,0.0546,92.513,tap1,1,natural,normal,0.0039000000000000007
95010,0.0507,95.01,tap1,1,natural,normal,0.0
97518,0.0507,97.518,tap1,1,natural,normal,0.0
100003,0.0546,100.003,tap1,1,natural,normal,0.0039000000000000007
102510,0.0546,102.51,tap1,1,natural,normal,0.0039000000000000007
105010,0.0468,105.01,tap1,1,natural,normal,-0.0039000000000000007
107526,0.0507,107.526,tap1,1,natural,normal,0.0
110014,0.0507,110.014,tap1,1,natural,normal,0.0
112514,0.0507,112.514,tap1,1,natural,normal,0.0
115018,0.0429,115.018,tap1,1,natural,normal,-0.007800000000000001
117502,0.0507,117.502,tap1,1,natural,normal,0.0
120013,0.0468,120.013,tap1,1,natural,normal,-0.0039000000000000007
122511,0.0507,122.511,tap1,1,natural,normal,0.0
125009,0.0507,125.009,tap1,1,natural,normal,0.0
127520,0.0468,127.52,tap1,1,natural,normal,-0.0039000000000000007
130023,0.0468,130.023,tap1,1,natural,normal,-0.0039000000000000007
132523,0.0585,132.523,tap1,1,natural,normal,0.007800000000000001
135001,0.0468,135.001,tap1,1,natural,normal,-0.0039000000000000007
137515,0.0507,137.515,tap1,1,natural,normal,0.0
140002,0.0507,140.002,tap1,1,natural,normal,0.0
142505,0.0507,142.505,tap1,1,natural,normal,0.0
145027,0.0468,145.027,tap1,1,natural,normal,-0.0039000000000000007
147509,0.0546,147.509,tap1,1,natural,normal,0.0039000000000000007
150018,0.0546,150.018,tap1,1,natural,normal,0.0039000000000000007
152516,0.0429,152.516,tap1,1,natural,normal,-0.007800000000000001
155013,0.0507,155.013,tap1,1,natural,normal,0.0
157522,0.0546,157.522,tap1,1,natural,normal,0.0039000000000000007
160009,0.0468,160.009,tap1,1,natural,normal,-0.0039000000000000007
162506,0.0585,162.506,tap1,1,natural,normal,0.007800000000000001
165010,0.0468,165.01,tap1,1,natural,normal,-0.0039000000000000007
167517,0.0507,167.517,tap1,1,natural,normal,0.0
170002,0.0585,170.002,tap1,1,natural,normal,0.007800000000000001
172508,0.0507,172.508,tap1,1,natural,normal,0.0
175025,0.0585,175.025,tap1,1,natural,normal,0.007800000000000001
177513,0.0507,177.513,tap1,1,natural,normal,0.0
180023,0.0546,180.023,tap1,1,natural,normal,0.0039000000000000007
182521,0.0468,182.521,tap1,1,natural,normal,-0.0039000000000000007
185015,0.0624,185.015,tap1,1,natural,normal,0.011699999999999995
187525,0.0546,187.525,tap1,1,natural,normal,0.0039000000000000007
190014,0.0585,190.014,tap1,1,natural,normal,0.007800000000000001
192513,0.0585,192.513,tap1,1,natural,normal,0.007800000000000001
195011,0.0585,195.011,tap1,1,natural,normal,0.007800000000000001
197523,0.0624,197.523,tap1,1,natural,normal,0.011699999999999995
200008,0.0546,200.008,tap1,1,natural,normal,0.0039000000000000007
202516,0.0468,202.516,tap1,1,natural,normal,-0.0039000000000000007
205002,0.0507,205.002,tap1,1,natural,normal,0.0
207514,0.0546,207.514,tap1,1,natural,normal,0.0039000000000000007
210007,0.0507,210.007,tap1,1,natural,normal,0.0
212505,0.0546,212.505,tap1,1,natural,normal,0.0039000000000000007
215010,0.0546,215.01,tap1,1,natural,normal,0.0039000000000000007
217502,0.0507,217.502,tap1,1,natural,normal,0.0
220015,0.0468,220.015,tap1,1,natural,normal,-0.0039000000000000007
222514,0.0507,222.514,tap1,1,natural,normal,0.0
225016,0.0507,225.016,tap1,1,natural,normal,0.0
227504,0.0546,227.504,tap1,1,natural,normal,0.0039000000000000007
230016,0.0585,230.016,tap1,1,natural,normal,0.007800000000000001
232514,0.0546,232.514,tap1,1,natural,normal,0.0039000000000000007
235004,0.0507,235.004,tap1,1,natural,normal,0.0
237523,0.0468,237.523,tap1,1,natural,normal,-0.0039000000000000007
240010,0.0546,240.01,tap1,1,natural,normal,0.0039000000000000007
242512,0.0468,242.512,tap1,1,natural,normal,-0.0039000000000000007
245012,0.0507,245.012,tap1,1,natural,normal,0.0
247521,0.0468,247.521,tap1,1,natural,normal,-0.0039000000000000007
250008,0.0507,250.008,tap1,1,natural,normal,0.0
252506,0.0507,252.506,tap1,1,natural,normal,0.0
255003,0.0507,255.003,tap1,1,natural,normal,0.0
257512,0.0468,257.512,tap1,1,natural,normal,-0.0039000000000000007
260024,0.0507,260.024,tap1,1,natural,normal,0.0
262512,0.0546,262.512,tap1,1,natural,normal,0.0039000000000000007
265016,0.0468,265.016,tap1,1,natural,normal,-0.0039000000000000007
267503,0.0468,267.503,tap1,1,natural,normal,-0.0039000000000000007
270015,0.0507,270.015,tap1,1,natural,normal,0.0
272511,0.0546,272.511,tap1,1,natural,normal,0.0039000000000000007
275004,0.0507,275.004,tap1,1,natural,normal,0.0
277519,0.0585,277.519,tap1,1,natural,normal,0.007800000000000001
