time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
14231,0.039,14.231,tap2,2,fast,normal,-0.011700000000000002
15297,0.0507,15.297,tap2,2,fast,normal,0.0
16302,0.0507,16.302,tap2,2,fast,normal,0.0
17309,0.0546,17.309,tap2,2,fast,normal,0.0039000000000000007
18316,0.0546,18.316,tap2,2,fast,normal,0.0039000000000000007
19398,0.0546,19.398,tap2,2,fast,normal,0.0039000000000000007
20409,0.0507,20.409,tap2,2,fast,normal,0.0
21419,0.0507,21.419,tap2,2,fast,normal,0.0
22428,0.0546,22.428,tap2,2,fast,normal,0.0039000000000000007
23438,0.0546,23.438,tap2,2,fast,normal,0.0039000000000000007
25005,0.0507,25.005,tap2,2,fast,normal,0.0
27505,0.0507,27.505,tap2,2,fast,normal,0.0
30015,0.0429,30.015,tap2,2,fast,normal,-0.007800000000000001
32526,0.0546,32.526,tap2,2,fast,normal,0.0039000000000000007
35012,0.0507,35.012,tap2,2,fast,normal,0.0
37509,0.0507,37.509,tap2,2,fast,normal,0.0
40008,0.0507,40.008,tap2,2,fast,normal,0.0
42517,0.0546,42.517,tap2,2,fast,normal,0.0039000000000000007
45003,0.0468,45.003,tap2,2,fast,normal,-0.0039000000000000007
47501,0.0468,47.501,tap2,2,fast,normal,-0.0039000000000000007
50000,0.0585,50.0,tap2,2,fast,normal,0.007800000000000001
52510,0.0429,52.51,tap2,2,fast,normal,-0.007800000000000001
55000,0.0585,55.0,tap2,2,fast,normal,0.007800000000000001
57501,0.0546,57.501,tap2,2,fast,normal,0.0039000000000000007
60000,0.0546,60.0,tap2,2,fast,normal,0.0039000000000000007
62511,0.0546,62.511,tap2,2,fast,normal,0.0039000000000000007
65012,0.0468,65.012,tap2,2,fast,normal,-0.0039000000000000007
67527,0.0507,67.527,tap2,2,fast,normal,0.0
70018,0.0429,70.018,tap2,2,fast,normal,-0.007800000000000001
72500,0.0468,72.5,tap2,2,fast,normal,-0.0039000000000000007
75008,0.0507,75.008,tap2,2,fast,normal,0.0
77506,0.0585,77.506,tap2,2,fast,normal,0.007800000000000001
80017,0.0546,80.017,tap2,2,fast,normal,0.0039000000000000007
82513,0.0546,82.513,tap2,2,fast,normal,0.0039000000000000007
85026,0.0546,85.026,tap2,2,fast,normal,0.0039000000000000007
87525,0.0507,87.525,tap2,2,fast,normal,0.0
90007,0.0507,90.007,tap2,2,fast,normal,0.0
92520,0.0546,92.52,tap2,2,fast,normal,0.0039000000000000007
95013,0.0546,95.013,tap2,2,fast,normal,0.0039000000000000007
97516,0.0507,97.516,tap2,2,fast,normal,0.0
100021,0.0546,100.021,tap2,2,fast,normal,0.0039000000000000007
102508,0.0507,102.508,tap2,2,fast,normal,0.0
105000,0.0507,105.0,tap2,2,fast,normal,0.0
107526,0.0585,107.526,tap2,2,fast,normal,0.007800000000000001
110024,0.0546,110.024,tap2,2,fast,normal,0.0039000000000000007
112509,0.0468,112.509,tap2,2,fast,normal,-0.0039000000000000007
115020,0.0468,115.02,tap2,2,fast,normal,-0.0039000000000000007
117514,0.0429,117.514,tap2,2,fast,normal,-0.007800000000000001
120015,0.0468,120.015,tap2,2,fast,normal,-0.0039000000000000007
122527,0.0468,122.527,tap2,2,fast,normal,-0.0039000000000000007
125010,0.0507,125.01,tap2,2,fast,normal,0.0
127508,0.0429,127.508,tap2,2,fast,normal,-0.007800000000000001
130408,0.0507,130.408,tap2,2,fast,normal,0.0
132504,0.0546,132.504,tap2,2,fast,normal,0.0039000000000000007
135003,0.0468,135.003,tap2,2,fast,normal,-0.0039000000000000007
137503,0.0507,137.503,tap2,2,fast,normal,0.0
140023,0.0468,140.023,tap2,2,fast,normal,-0.0039000000000000007
142506,0.0468,142.506,tap2,2,fast,normal,-0.0039000000000000007
145015,0.0468,145.015,tap2,2,fast,normal,-0.0039000000000000007
147513,0.0507,147.513,tap2,2,fast,normal,0.0
150009,0.0507,150.009,tap2,2,fast,normal,0.0
152519,0.0507,152.519,tap2,2,fast,normal,0.0
155007,0.0585,155.007,tap2,2,fast,normal,0.007800000000000001
157509,0.0546,157.509,tap2,2,fast,normal,0.0039000000000000007
160007,0.0585,160.007,tap2,2,fast,normal,0.007800000000000001
162516,0.0585,162.516,tap2,2,fast,normal,0.007800000000000001
