time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
13686,0.0507,13.686,tap2,2,natural,light,-0.0039000000000000007
14871,0.0546,14.871,tap2,2,natural,light,0.0
15884,0.0546,15.884,tap2,2,natural,light,0.0
16894,0.0546,16.894,tap2,2,natural,light,0.0
17906,0.0585,17.906,tap2,2,natural,light,0.0039000000000000007
19015,0.0585,19.015,tap2,2,natural,light,0.0039000000000000007
20029,0.0585,20.029,tap2,2,natural,light,0.0039000000000000007
21040,0.0585,21.04,tap2,2,natural,light,0.0039000000000000007
22050,0.0585,22.05,tap2,2,natural,light,0.0039000000000000007
23060,0.0585,23.06,tap2,2,natural,light,0.0039000000000000007
25015,0.0546,25.015,tap2,2,natural,light,0.0
27503,0.0585,27.503,tap2,2,natural,light,0.0039000000000000007
30009,0.0429,30.009,tap2,2,natural,light,-0.011700000000000002
32518,0.0429,32.518,tap2,2,natural,light,-0.011700000000000002
35003,0.0507,35.003,tap2,2,natural,light,-0.0039000000000000007
37510,0.0546,37.51,tap2,2,natural,light,0.0
40024,0.0507,40.024,tap2,2,natural,light,-0.0039000000000000007
42511,0.0546,42.511,tap2,2,natural,light,0.0
45020,0.0507,45.02,tap2,2,natural,light,-0.0039000000000000007
47519,0.0546,47.519,tap2,2,natural,light,0.0
50020,0.0546,50.02,tap2,2,natural,light,0.0
52501,0.0468,52.501,tap2,2,natural,light,-0.007800000000000001
55009,0.0468,55.009,tap2,2,natural,light,-0.007800000000000001
57519,0.0468,57.519,tap2,2,natural,light,-0.007800000000000001
60018,0.0663,60.018,tap2,2,natural,light,0.011699999999999995
62509,0.0429,62.509,tap2,2,natural,light,-0.011700000000000002
65021,0.0468,65.021,tap2,2,natural,light,-0.007800000000000001
67521,0.0585,67.521,tap2,2,natural,light,0.0039000000000000007
70019,0.0585,70.019,tap2,2,natural,light,0.0039000000000000007
72502,0.0468,72.502,tap2,2,natural,light,-0.007800000000000001
75023,0.0546,75.023,tap2,2,natural,light,0.0
77525,0.0429,77.525,tap2,2,natural,light,-0.011700000000000002
80023,0.0546,80.023,tap2,2,natural,light,0.0
82521,0.0663,82.521,tap2,2,natural,light,0.011699999999999995
85005,0.0585,85.005,tap2,2,natural,light,0.0039000000000000007
87507,0.0507,87.507,tap2,2,natural,light,-0.0039000000000000007
90008,0.0507,90.008,tap2,2,natural,light,-0.0039000000000000007
92520,0.0507,92.52,tap2,2,natural,light,-0.0039000000000000007
95004,0.0468,95.004,tap2,2,natural,light,-0.007800000000000001
97524,0.0507,97.524,tap2,2,natural,light,-0.0039000000000000007
100025,0.0507,100.025,tap2,2,natural,light,-0.0039000000000000007
102519,0.0507,102.519,tap2,2,natural,light,-0.0039000000000000007
105003,0.0585,105.003,tap2,2,natural,light,0.0039000000000000007
107501,0.0507,107.501,tap2,2,natural,light,-0.0039000000000000007
110027,0.0507,110.027,tap2,2,natural,light,-0.0039000000000000007
112508,0.0546,112.508,tap2,2,natural,light,0.0
115021,0.0468,115.021,tap2,2,natural,light,-0.007800000000000001
117521,0.0507,117.521,tap2,2,natural,light,-0.0039000000000000007
120018,0.0507,120.018,tap2,2,natural,light,-0.0039000000000000007
122501,0.0507,122.501,tap2,2,natural,light,-0.0039000000000000007
125017,0.0429,125.017,tap2,2,natural,light,-0.011700000000000002
127516,0.0507,127.516,tap2,2,natural,light,-0.0039000000000000007
130017,0.0507,130.017,tap2,2,natural,light,-0.0039000000000000007
132527,0.0507,132.527,tap2,2,natural,light,-0.0039000000000000007
135010,0.0546,135.01,tap2,2,natural,light,0.0
137517,0.0468,137.517,tap2,2,natural,light,-0.007800000000000001
140001,0.0507,140.001,tap2,2,natural,light,-0.0039000000000000007
142514,0.0507,142.514,tap2,2,natural,light,-0.0039000000000000007
145024,0.0546,145.024,tap2,2,natural,light,0.0
147524,0.0507,147.524,tap2,2,natural,light,-0.0039000000000000007
150024,0.0468,150.024,tap2,2,natural,light,-0.007800000000000001
152510,0.0507,152.51,tap2,2,natural,light,-0.0039000000000000007
155464,0.0585,155.464,tap2,2,natural,light,0.0039000000000000007
157527,0.0585,157.527,tap2,2,natural,light,0.0039000000000000007
160010,0.0546,160.01,tap2,2,natural,light,0.0
162503,0.0507,162.503,tap2,2,natural,light,-0.0039000000000000007
165016,0.0507,165.016,tap2,2,natural,light,-0.0039000000000000007
167515,0.0585,167.515,tap2,2,natural,light,0.0039000000000000007
170017,0.0468,170.017,tap2,2,natural,light,-0.007800000000000001
172502,0.0507,172.502,tap2,2,natural,light,-0.0039000000000000007
175021,0.0507,175.021,tap2,2,natural,light,-0.0039000000000000007
177522,0.0624,177.522,tap2,2,natural,light,0.0077999999999999944
180025,0.0507,180.025,tap2,2,natural,light,-0.0039000000000000007
182522,0.0468,182.522,tap2,2,natural,light,-0.007800000000000001
185007,0.0546,185.007,tap2,2,natural,light,0.0
187507,0.0507,187.507,tap2,2,natural,light,-0.0039000000000000007
190010,0.0507,190.01,tap2,2,natural,light,-0.0039000000000000007
192519,0.0429,192.519,tap2,2,natural,light,-0.011700000000000002
195006,0.0507,195.006,tap2,2,natural,light,-0.0039000000000000007
197503,0.0468,197.503,tap2,2,natural,light,-0.007800000000000001
200003,0.0507,200.003,tap2,2,natural,light,-0.0039000000000000007
202515,0.0429,202.515,tap2,2,natural,light,-0.011700000000000002
205025,0.0507,205.025,tap2,2,natural,light,-0.0039000000000000007
207525,0.0429,207.525,tap2,2,natural,light,-0.011700000000000002
210019,0.0585,210.019,tap2,2,natural,light,0.0039000000000000007
212504,0.0429,212.504,tap2,2,natural,light,-0.011700000000000002
215015,0.0429,215.015,tap2,2,natural,light,-0.011700000000000002
217516,0.0468,217.516,tap2,2,natural,light,-0.007800000000000001
220011,0.0507,220.011,tap2,2,natural,light,-0.0039000000000000007
222522,0.0546,222.522,tap2,2,natural,light,0.0
225019,0.0507,225.019,tap2,2,natural,light,-0.0039000000000000007
227518,0.0507,227.518,tap2,2,natural,light,-0.0039000000000000007
230018,0.0546,230.018,tap2,2,natural,light,0.0
232503,0.0468,232.503,tap2,2,natural,light,-0.007800000000000001
