time_us,y_g,time_ms,label,requested_tap_count,requested_pace,requested_force,y_delta_g
13743,0.0468,13.743,tap3,3,natural,firm,-0.0039000000000000007
14805,0.0468,14.805,tap3,3,natural,firm,-0.0039000000000000007
15811,0.0468,15.811,tap3,3,natural,firm,-0.0039000000000000007
16819,0.0468,16.819,tap3,3,natural,firm,-0.0039000000000000007
17921,0.0507,17.921,tap3,3,natural,firm,0.0
18933,0.0507,18.933,tap3,3,natural,firm,0.0
19944,0.0585,19.944,tap3,3,natural,firm,0.007800000000000001
20951,0.0585,20.951,tap3,3,natural,firm,0.007800000000000001
21959,0.0585,21.959,tap3,3,natural,firm,0.007800000000000001
22965,0.0585,22.965,tap3,3,natural,firm,0.007800000000000001
25000,0.0468,25.0,tap3,3,natural,firm,-0.0039000000000000007
27526,0.0468,27.526,tap3,3,natural,firm,-0.0039000000000000007
30017,0.0468,30.017,tap3,3,natural,firm,-0.0039000000000000007
32521,0.0546,32.521,tap3,3,natural,firm,0.0039000000000000007
35008,0.0507,35.008,tap3,3,natural,firm,0.0
37521,0.0507,37.521,tap3,3,natural,firm,0.0
40014,0.0429,40.014,tap3,3,natural,firm,-0.007800000000000001
42521,0.0507,42.521,tap3,3,natural,firm,0.0
45012,0.0507,45.012,tap3,3,natural,firm,0.0
47511,0.0546,47.511,tap3,3,natural,firm,0.0039000000000000007
50018,0.0546,50.018,tap3,3,natural,firm,0.0039000000000000007
52502,0.0546,52.502,tap3,3,natural,firm,0.0039000000000000007
55014,0.0468,55.014,tap3,3,natural,firm,-0.0039000000000000007
57514,0.0546,57.514,tap3,3,natural,firm,0.0039000000000000007
60019,0.0507,60.019,tap3,3,natural,firm,0.0
62525,0.0507,62.525,tap3,3,natural,firm,0.0
65013,0.0585,65.013,tap3,3,natural,firm,0.007800000000000001
67513,0.0507,67.513,tap3,3,natural,firm,0.0
70021,0.0546,70.021,tap3,3,natural,firm,0.0039000000000000007
72501,0.0546,72.501,tap3,3,natural,firm,0.0039000000000000007
75016,0.0546,75.016,tap3,3,natural,firm,0.0039000000000000007
77521,0.0429,77.521,tap3,3,natural,firm,-0.007800000000000001
80022,0.0468,80.022,tap3,3,natural,firm,-0.0039000000000000007
82502,0.0507,82.502,tap3,3,natural,firm,0.0
85019,0.0507,85.019,tap3,3,natural,firm,0.0
87503,0.0546,87.503,tap3,3,natural,firm,0.0039000000000000007
90023,0.0468,90.023,tap3,3,natural,firm,-0.0039000000000000007
92501,0.0546,92.501,tap3,3,natural,firm,0.0039000000000000007
95013,0.0507,95.013,tap3,3,natural,firm,0.0
97513,0.0468,97.513,tap3,3,natural,firm,-0.0039000000000000007
100018,0.0507,100.018,tap3,3,natural,firm,0.0
102523,0.0507,102.523,tap3,3,natural,firm,0.0
105015,0.0468,105.015,tap3,3,natural,firm,-0.0039000000000000007
107515,0.0507,107.515,tap3,3,natural,firm,0.0
110020,0.0507,110.02,tap3,3,natural,firm,0.0
112501,0.0429,112.501,tap3,3,natural,firm,-0.007800000000000001
115016,0.0507,115.016,tap3,3,natural,firm,0.0
117527,0.0507,117.527,tap3,3,natural,firm,0.0
120018,0.0507,120.018,tap3,3,natural,firm,0.0
122502,0.0585,122.502,tap3,3,natural,firm,0.007800000000000001
125015,0.0468,125.015,tap3,3,natural,firm,-0.0039000000000000007
127516,0.0468,127.516,tap3,3,natural,firm,-0.0039000000000000007
130017,0.0468,130.017,tap3,3,natural,firm,-0.0039000000000000007
132522,0.0468,132.522,tap3,3,natural,firm,-0.0039000000000000007
135014,0.0468,135.014,tap3,3,natural,firm,-0.0039000000000000007
137506,0.0507,137.506,tap3,3,natural,firm,0.0
140014,0.039,140.014,tap3,3,natural,firm,-0.011700000000000002
142523,0.039,142.523,tap3,3,natural,firm,-0.011700000000000002
145018,0.039,145.018,tap3,3,natural,firm,-0.011700000000000002
147520,0.0507,147.52,tap3,3,natural,firm,0.0
150020,0.0507,150.02,tap3,3,natural,firm,0.0
152503,0.0507,152.503,tap3,3,natural,firm,0.0
155019,0.0429,155.019,tap3,3,natural,firm,-0.007800000000000001
157511,0.0468,157.511,tap3,3,natural,firm,-0.0039000000000000007
160023,0.0429,160.023,tap3,3,natural,firm,-0.007800000000000001
162501,0.039,162.501,tap3,3,natural,firm,-0.011700000000000002
165013,0.0585,165.013,tap3,3,natural,firm,0.007800000000000001
167512,0.0585,167.512,tap3,3,natural,firm,0.007800000000000001
170025,0.0429,170.025,tap3,3,natural,firm,-0.007800000000000001
172504,0.0546,172.504,tap3,3,natural,firm,0.0039000000000000007
175009,0.0468,175.009,tap3,3,natural,firm,-0.0039000000000000007
177514,0.0429,177.514,tap3,3,natural,firm,-0.007800000000000001
180021,0.0624,180.021,tap3,3,natural,firm,0.011699999999999995
182501,0.0585,182.501,tap3,3,natural,firm,0.007800000000000001
185012,0.0507,185.012,tap3,3,natural,firm,0.0
187522,0.0507,187.522,tap3,3,natural,firm,0.0
190002,0.0507,190.002,tap3,3,natural,firm,0.0
192508,0.0507,192.508,tap3,3,natural,firm,0.0
195024,0.0468,195.024,tap3,3,natural,firm,-0.0039000000000000007
197527,0.0624,197.527,tap3,3,natural,firm,0.011699999999999995
200017,0.0468,200.017,tap3,3,natural,firm,-0.0039000000000000007
202522,0.0507,202.522,tap3,3,natural,firm,0.0
205009,0.0468,205.009,tap3,3,natural,firm,-0.0039000000000000007
207509,0.0507,207.509,tap3,3,natural,firm,0.0
210018,0.0468,210.018,tap3,3,natural,firm,-0.0039000000000000007
212523,0.0468,212.523,tap3,3,natural,firm,-0.0039000000000000007
215009,0.0546,215.009,tap3,3,natural,firm,0.0039000000000000007
217509,0.0468,217.509,tap3,3,natural,firm,-0.0039000000000000007
220018,0.0429,220.018,tap3,3,natural,firm,-0.007800000000000001
222500,0.0468,222.5,tap3,3,natural,firm,-0.0039000000000000007
225016,0.0429,225.016,tap3,3,natural,firm,-0.007800000000000001
227518,0.0546,227.518,tap3,3,natural,firm,0.0039000000000000007
230017,0.0507,230.017,tap3,3,natural,firm,0.0
232521,0.0507,232.521,tap3,3,natural,firm,0.0
235017,0.0429,235.017,tap3,3,natural,firm,-0.007800000000000001
237521,0.0546,237.521,tap3,3,natural,firm,0.0039000000000000007
240025,0.0507,240.025,tap3,3,natural,firm,0.0
242501,0.0507,242.501,tap3,3,natural,firm,0.0
245021,0.0468,245.021,tap3,3,natural,firm,-0.0039000000000000007
247526,0.0546,247.526,tap3,3,natural,firm,0.0039000000000000007
250011,0.0468,250.011,tap3,3,natural,firm,-0.0039000000000000007
252523,0.0468,252.523,tap3,3,natural,firm,-0.0039000000000000007
255010,0.0585,255.01,tap3,3,natural,firm,0.007800000000000001
257512,0.0546,257.512,tap3,3,natural,firm,0.0039000000000000007
260025,0.0468,260.025,tap3,3,natural,firm,-0.0039000000000000007
262502,0.0468,262.502,tap3,3,natural,firm,-0.0039000000000000007
265016,0.0585,265.016,tap3,3,natural,firm,0.007800000000000001
267516,0.0546,267.516,tap3,3,natural,firm,0.0039000000000000007
270022,0.0468,270.022,tap3,3,natural,firm,-0.0039000000000000007
272503,0.0546,272.503,tap3,3,natural,firm,0.0039000000000000007
275008,0.0585,275.008,tap3,3,natural,firm,0.007800000000000001
277513,0.0546,277.513,tap3,3,natural,firm,0.0039000000000000007
280018,0.0585,280.018,tap3,3,natural,firm,0.007800000000000001
282524,0.0507,282.524,tap3,3,natural,firm,0.0
285000,0.0468,285.0,tap3,3,natural,firm,-0.0039000000000000007
287510,0.039,287.51,tap3,3,natural,firm,-0.011700000000000002
290002,0.0546,290.002,tap3,3,natural,firm,0.0039000000000000007
292509,0.0507,292.509,tap3,3,natural,firm,0.0
295025,0.0585,295.025,tap3,3,natural,firm,0.007800000000000001
297500,0.0507,297.5,tap3,3,natural,firm,0.0
300010,0.0507,300.01,tap3,3,natural,firm,0.0
302514,0.0507,302.514,tap3,3,natural,firm,0.0
305026,0.0507,305.026,tap3,3,natural,firm,0.0
307500,0.0507,307.5,tap3,3,natural,firm,0.0
310023,0.0468,310.023,tap3,3,natural,firm,-0.0039000000000000007
312500,0.0507,312.5,tap3,3,natural,firm,0.0
315013,0.0468,315.013,tap3,3,natural,firm,-0.0039000000000000007
317514,0.0468,317.514,tap3,3,natural,firm,-0.0039000000000000007
320019,0.0507,320.019,tap3,3,natural,firm,0.0
322526,0.0507,322.526,tap3,3,natural,firm,0.0
325014,0.0468,325.014,tap3,3,natural,firm,-0.0039000000000000007
327514,0.0507,327.514,tap3,3,natural,firm,0.0
330011,0.0507,330.011,tap3,3,natural,firm,0.0
332517,0.0507,332.517,tap3,3,natural,firm,0.0
335006,0.0429,335.006,tap3,3,natural,firm,-0.007800000000000001
337505,0.0507,337.505,tap3,3,natural,firm,0.0
340011,0.0585,340.011,tap3,3,natural,firm,0.007800000000000001
342517,0.0507,342.517,tap3,3,natural,firm,0.0
345008,0.0507,345.008,tap3,3,natural,firm,0.0
347518,0.0468,347.518,tap3,3,natural,firm,-0.0039000000000000007
350003,0.0507,350.003,tap3,3,natural,firm,0.0
352515,0.0546,352.515,tap3,3,natural,firm,0.0039000000000000007
355000,0.0468,355.0,tap3,3,natural,firm,-0.0039000000000000007
357511,0.0507,357.511,tap3,3,natural,firm,0.0
360022,0.0468,360.022,tap3,3,natural,firm,-0.0039000000000000007
362502,0.0468,362.502,tap3,3,natural,firm,-0.0039000000000000007
365007,0.0468,365.007,tap3,3,natural,firm,-0.0039000000000000007
367507,0.0546,367.507,tap3,3,natural,firm,0.0039000000000000007
370001,0.0468,370.001,tap3,3,natural,firm,-0.0039000000000000007
372506,0.0468,372.506,tap3,3,natural,firm,-0.0039000000000000007
375018,0.0585,375.018,tap3,3,natural,firm,0.007800000000000001
377525,0.0546,377.525,tap3,3,natural,firm,0.0039000000000000007
380023,0.0546,380.023,tap3,3,natural,firm,0.0039000000000000007
382526,0.0585,382.526,tap3,3,natural,firm,0.007800000000000001
385023,0.0546,385.023,tap3,3,natural,firm,0.0039000000000000007
387510,0.0585,387.51,tap3,3,natural,firm,0.007800000000000001
390000,0.0546,390.0,tap3,3,natural,firm,0.0039000000000000007
392507,0.0468,392.507,tap3,3,natural,firm,-0.0039000000000000007
395021,0.0546,395.021,tap3,3,natural,firm,0.0039000000000000007
397521,0.0546,397.521,tap3,3,natural,firm,0.0039000000000000007
400017,0.0624,400.017,tap3,3,natural,firm,0.011699999999999995
402523,0.0546,402.523,tap3,3,natural,firm,0.0039000000000000007
405009,0.0546,405.009,tap3,3,natural,firm,0.0039000000000000007
407509,0.0507,407.509,tap3,3,natural,firm,0.0
410014,0.0585,410.014,tap3,3,natural,firm,0.007800000000000001
412522,0.0546,412.522,tap3,3,natural,firm,0.0039000000000000007
415008,0.0546,415.008,tap3,3,natural,firm,0.0039000000000000007
417510,0.0507,417.51,tap3,3,natural,firm,0.0
420020,0.0546,420.02,tap3,3,natural,firm,0.0039000000000000007
422500,0.0507,422.5,tap3,3,natural,firm,0.0
425013,0.0507,425.013,tap3,3,natural,firm,0.0
427514,0.0507,427.514,tap3,3,natural,firm,0.0
430022,0.0585,430.022,tap3,3,natural,firm,0.007800000000000001
432505,0.0546,432.505,tap3,3,natural,firm,0.0039000000000000007
435018,0.0507,435.018,tap3,3,natural,firm,0.0
437519,0.0468,437.519,tap3,3,natural,firm,-0.0039000000000000007
440023,0.0507,440.023,tap3,3,natural,firm,0.0
442502,0.0546,442.502,tap3,3,natural,firm,0.0039000000000000007
445016,0.0507,445.016,tap3,3,natural,firm,0.0
447520,0.0468,447.52,tap3,3,natural,firm,-0.0039000000000000007
450010,0.0507,450.01,tap3,3,natural,firm,0.0
452512,0.0546,452.512,tap3,3,natural,firm,0.0039000000000000007
455024,0.0429,455.024,tap3,3,natural,firm,-0.007800000000000001
457510,0.0468,457.51,tap3,3,natural,firm,-0.0039000000000000007
460011,0.0468,460.011,tap3,3,natural,firm,-0.0039000000000000007
462521,0.0468,462.521,tap3,3,natural,firm,-0.0039000000000000007
465008,0.0585,465.008,tap3,3,natural,firm,0.007800000000000001
467509,0.0546,467.509,tap3,3,natural,firm,0.0039000000000000007
470020,0.0468,470.02,tap3,3,natural,firm,-0.0039000000000000007
472501,0.0507,472.501,tap3,3,natural,firm,0.0
475008,0.0507,475.008,tap3,3,natural,firm,0.0
477514,0.0468,477.514,tap3,3,natural,firm,-0.0039000000000000007
480025,0.0585,480.025,tap3,3,natural,firm,0.007800000000000001
482503,0.0546,482.503,tap3,3,natural,firm,0.0039000000000000007
485001,0.0546,485.001,tap3,3,natural,firm,0.0039000000000000007
487514,0.0546,487.514,tap3,3,natural,firm,0.0039000000000000007
490000,0.0546,490.0,tap3,3,natural,firm,0.0039000000000000007
492502,0.0624,492.502,tap3,3,natural,firm,0.011699999999999995
495014,0.0663,495.014,tap3,3,natural,firm,0.015599999999999996
497502,0.0546,497.502,tap3,3,natural,firm,0.0039000000000000007
500022,0.0546,500.022,tap3,3,natural,firm,0.0039000000000000007
502524,0.0507,502.524,tap3,3,natural,firm,0.0
505008,0.0507,505.008,tap3,3,natural,firm,0.0
507508,0.0468,507.508,tap3,3,natural,firm,-0.0039000000000000007
510014,0.0429,510.014,tap3,3,natural,firm,-0.007800000000000001
512519,0.0624,512.519,tap3,3,natural,firm,0.011699999999999995
515007,0.0507,515.007,tap3,3,natural,firm,0.0
517508,0.0468,517.508,tap3,3,natural,firm,-0.0039000000000000007
520022,0.0468,520.022,tap3,3,natural,firm,-0.0039000000000000007
522502,0.0546,522.502,tap3,3,natural,firm,0.0039000000000000007
525016,0.0507,525.016,tap3,3,natural,firm,0.0
527515,0.0468,527.515,tap3,3,natural,firm,-0.0039000000000000007
530014,0.0507,530.014,tap3,3,natural,firm,0.0
532520,0.0546,532.52,tap3,3,natural,firm,0.0039000000000000007
535007,0.0585,535.007,tap3,3,natural,firm,0.007800000000000001
537508,0.0429,537.508,tap3,3,natural,firm,-0.007800000000000001
540018,0.0546,540.018,tap3,3,natural,firm,0.0039000000000000007
542523,0.0468,542.523,tap3,3,natural,firm,-0.0039000000000000007
545013,0.0546,545.013,tap3,3,natural,firm,0.0039000000000000007
547515,0.0546,547.515,tap3,3,natural,firm,0.0039000000000000007
550012,0.0468,550.012,tap3,3,natural,firm,-0.0039000000000000007
552507,0.0429,552.507,tap3,3,natural,firm,-0.007800000000000001
555023,0.0468,555.023,tap3,3,natural,firm,-0.0039000000000000007
557506,0.0468,557.506,tap3,3,natural,firm,-0.0039000000000000007
560010,0.0468,560.01,tap3,3,natural,firm,-0.0039000000000000007
562509,0.0429,562.509,tap3,3,natural,firm,-0.007800000000000001
565021,0.0546,565.021,tap3,3,natural,firm,0.0039000000000000007
567523,0.0507,567.523,tap3,3,natural,firm,0.0
570001,0.0468,570.001,tap3,3,natural,firm,-0.0039000000000000007
572507,0.039,572.507,tap3,3,natural,firm,-0.011700000000000002
575011,0.0468,575.011,tap3,3,natural,firm,-0.0039000000000000007
577515,0.0468,577.515,tap3,3,natural,firm,-0.0039000000000000007
580020,0.0468,580.02,tap3,3,natural,firm,-0.0039000000000000007
582502,0.0468,582.502,tap3,3,natural,firm,-0.0039000000000000007
585000,0.0507,585.0,tap3,3,natural,firm,0.0
587510,0.0546,587.51,tap3,3,natural,firm,0.0039000000000000007
590000,0.0546,590.0,tap3,3,natural,firm,0.0039000000000000007
592504,0.0507,592.504,tap3,3,natural,firm,0.0
595020,0.0507,595.02,tap3,3,natural,firm,0.0
597521,0.0468,597.521,tap3,3,natural,firm,-0.0039000000000000007
600018,0.0507,600.018,tap3,3,natural,firm,0.0
602524,0.0546,602.524,tap3,3,natural,firm,0.0039000000000000007
605009,0.0585,605.009,tap3,3,natural,firm,0.007800000000000001
607509,0.0468,607.509,tap3,3,natural,firm,-0.0039000000000000007
610012,0.0585,610.012,tap3,3,natural,firm,0.007800000000000001
612518,0.0507,612.518,tap3,3,natural,firm,0.0
615004,0.0507,615.004,tap3,3,natural,firm,0.0
617503,0.0624,617.503,tap3,3,natural,firm,0.011699999999999995
620022,0.0546,620.022,tap3,3,natural,firm,0.0039000000000000007
622501,0.0585,622.501,tap3,3,natural,firm,0.007800000000000001
625015,0.0585,625.015,tap3,3,natural,firm,0.007800000000000001
627501,0.0585,627.501,tap3,3,natural,firm,0.007800000000000001
630021,0.0507,630.021,tap3,3,natural,firm,0.0
632500,0.0507,632.5,tap3,3,natural,firm,0.0
635014,0.0507,635.014,tap3,3,natural,firm,0.0
637514,0.0585,637.514,tap3,3,natural,firm,0.007800000000000001
640019,0.0663,640.019,tap3,3,natural,firm,0.015599999999999996
642525,0.0546,642.525,tap3,3,natural,firm,0.0039000000000000007
645013,0.0507,645.013,tap3,3,natural,firm,0.0
647514,0.0546,647.514,tap3,3,natural,firm,0.0039000000000000007
650013,0.0507,650.013,tap3,3,natural,firm,0.0
652518,0.0468,652.518,tap3,3,natural,firm,-0.0039000000000000007
655015,0.0507,655.015,tap3,3,natural,firm,0.0
657514,0.0468,657.514,tap3,3,natural,firm,-0.0039000000000000007
660008,0.0585,660.008,tap3,3,natural,firm,0.007800000000000001
662517,0.0468,662.517,tap3,3,natural,firm,-0.0039000000000000007
665002,0.0468,665.002,tap3,3,natural,firm,-0.0039000000000000007
667502,0.0507,667.502,tap3,3,natural,firm,0.0
670024,0.0468,670.024,tap3,3,natural,firm,-0.0039000000000000007
672503,0.0429,672.503,tap3,3,natural,firm,-0.007800000000000001
675009,0.0429,675.009,tap3,3,natural,firm,-0.007800000000000001
677514,0.0507,677.514,tap3,3,natural,firm,0.0
680019,0.0546,680.019,tap3,3,natural,firm,0.0039000000000000007
682500,0.0507,682.5,tap3,3,natural,firm,0.0
685022,0.0429,685.022,tap3,3,natural,firm,-0.007800000000000001
687512,0.0429,687.512,tap3,3,natural,firm,-0.007800000000000001
690002,0.0546,690.002,tap3,3,natural,firm,0.0039000000000000007
692508,0.0468,692.508,tap3,3,natural,firm,-0.0039000000000000007
695026,0.0468,695.026,tap3,3,natural,firm,-0.0039000000000000007
