time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
22417,0.0117,0.0351,0.9087,22.417,500000,-0.003899999999999999,0.011699999999999999,0.0,0.012332882874656677,tap3,fast,firm,20260810_140234,True
22904,0.0234,0.0234,0.9048,22.904,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
23302,0.0234,0.0234,0.9048,23.302,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
23710,0.0234,0.0234,0.9048,23.71,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
24108,0.0234,0.0234,0.9048,24.108,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
24506,0.0234,0.0234,0.9048,24.506,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
24909,0.0234,0.0234,0.9048,24.909,500000,0.007800000000000001,0.0,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
25308,0.0117,0.039,0.9087,25.308,500000,-0.003899999999999999,0.0156,0.0,0.016080111939908874,tap3,fast,firm,20260810_140234,True
25721,0.0117,0.039,0.9087,25.721,500000,-0.003899999999999999,0.0156,0.0,0.016080111939908874,tap3,fast,firm,20260810_140234,True
26120,0.0117,0.039,0.9087,26.12,500000,-0.003899999999999999,0.0156,0.0,0.016080111939908874,tap3,fast,firm,20260810_140234,True
26518,0.0117,0.039,0.9087,26.518,500000,-0.003899999999999999,0.0156,0.0,0.016080111939908874,tap3,fast,firm,20260810_140234,True
27516,0.0117,0.039,0.9087,27.516,500000,-0.003899999999999999,0.0156,0.0,0.016080111939908874,tap3,fast,firm,20260810_140234,True
30013,0.0156,0.0351,0.9087,30.013,500000,0.0,0.011699999999999999,0.0,0.011699999999999999,tap3,fast,firm,20260810_140234,True
32522,0.0117,0.0273,0.9165,32.522,500000,-0.003899999999999999,0.0039000000000000007,0.007800000000000029,0.009553009996854418,tap3,fast,firm,20260810_140234,True
35011,0.0117,0.0234,0.9243,35.011,500000,-0.003899999999999999,0.0,0.015600000000000058,0.016080111939908933,tap3,fast,firm,20260810_140234,True
37506,0.0117,0.0312,0.9087,37.506,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,firm,20260810_140234,True
40006,0.0156,0.0273,0.9126,40.006,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,firm,20260810_140234,True
42520,0.0195,0.0312,0.9126,42.52,500000,0.0039000000000000007,0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,fast,firm,20260810_140234,True
45012,0.0156,0.0273,0.9009,45.012,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,firm,20260810_140234,True
47503,0.0156,0.0195,0.9048,47.503,500000,0.0,-0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,fast,firm,20260810_140234,True
50010,0.0195,0.0312,0.9126,50.01,500000,0.0039000000000000007,0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,fast,firm,20260810_140234,True
52528,0.0156,0.0156,0.9048,52.528,500000,0.0,-0.007800000000000001,-0.0038999999999999035,0.008720665112249138,tap3,fast,firm,20260810_140234,True
55021,0.0156,0.0351,0.9087,55.021,500000,0.0,0.011699999999999999,0.0,0.011699999999999999,tap3,fast,firm,20260810_140234,True
57517,0.0156,0.0273,0.9165,57.517,500000,0.0,0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,firm,20260810_140234,True
60000,0.0117,0.0273,0.9165,60.0,500000,-0.003899999999999999,0.0039000000000000007,0.007800000000000029,0.009553009996854418,tap3,fast,firm,20260810_140234,True
62510,0.0117,0.0195,0.9126,62.51,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,firm,20260810_140234,True
65029,0.0117,0.0234,0.9165,65.029,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,firm,20260810_140234,True
67508,0.0117,0.0234,0.9243,67.508,500000,-0.003899999999999999,0.0,0.015600000000000058,0.016080111939908933,tap3,fast,firm,20260810_140234,True
70021,0.0156,0.0351,0.9087,70.021,500000,0.0,0.011699999999999999,0.0,0.011699999999999999,tap3,fast,firm,20260810_140234,True
72507,0.0156,0.0273,0.9009,72.507,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,firm,20260810_140234,True
75025,0.0156,0.0273,0.9087,75.025,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,firm,20260810_140234,True
77513,0.0078,0.0273,0.9126,77.513,500000,-0.0078,0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,fast,firm,20260810_140234,True
80027,0.0195,0.0312,0.9126,80.027,500000,0.0039000000000000007,0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,fast,firm,20260810_140234,True
82507,0.0156,0.0273,0.9087,82.507,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,firm,20260810_140234,True
85019,0.0156,0.0312,0.9048,85.019,500000,0.0,0.007799999999999998,-0.0038999999999999035,0.008720665112249134,tap3,fast,firm,20260810_140234,True
87512,0.0078,0.0312,0.9165,87.512,500000,-0.0078,0.007799999999999998,0.007800000000000029,0.013509996299037258,tap3,fast,firm,20260810_140234,True
90024,0.0117,0.0195,0.9126,90.024,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,firm,20260810_140234,True
92509,0.0156,0.0234,0.9048,92.509,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,fast,firm,20260810_140234,True
95020,0.0156,0.0234,0.9165,95.02,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,firm,20260810_140234,True
97518,0.0156,0.0234,0.9009,97.518,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,firm,20260810_140234,True
100012,0.0156,0.0273,0.9165,100.012,500000,0.0,0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,firm,20260810_140234,True
102512,0.0117,0.0234,0.9126,102.512,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,firm,20260810_140234,True
105024,0.0078,0.0234,0.9126,105.024,500000,-0.0078,0.0,0.0039000000000000146,0.008720665112249186,tap3,fast,firm,20260810_140234,True
107530,0.0117,0.0195,0.9126,107.53,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,firm,20260810_140234,True
110013,0.0078,0.0312,0.9087,110.013,500000,-0.0078,0.007799999999999998,0.0,0.011030865786510139,tap3,fast,firm,20260810_140234,True
112523,0.0156,0.0156,0.9087,112.523,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,firm,20260810_140234,True
115016,0.0156,0.0273,0.9009,115.016,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,firm,20260810_140234,True
117526,0.0156,0.0273,0.9087,117.526,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,firm,20260810_140234,True
120011,0.0156,0.0234,0.9087,120.011,500000,0.0,0.0,0.0,0.0,tap3,fast,firm,20260810_140234,True
122522,0.0156,0.0234,0.9165,122.522,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,firm,20260810_140234,True
125017,0.0195,0.0195,0.9165,125.017,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,firm,20260810_140234,True
127516,0.0195,0.0234,0.9048,127.516,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,firm,20260810_140234,True
130023,0.0195,0.0234,0.9048,130.023,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,firm,20260810_140234,True
132503,0.0156,0.0312,0.9087,132.503,500000,0.0,0.007799999999999998,0.0,0.007799999999999998,tap3,fast,firm,20260810_140234,True
135026,0.0195,0.0195,0.9165,135.026,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,firm,20260810_140234,True
137526,0.0156,0.0273,0.9087,137.526,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,firm,20260810_140234,True
140005,0.0117,0.0351,0.9048,140.005,500000,-0.003899999999999999,0.011699999999999999,-0.0038999999999999035,0.01293483668238603,tap3,fast,firm,20260810_140234,True
142507,0.0195,0.0234,0.9048,142.507,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,firm,20260810_140234,True
145026,0.0156,0.0273,0.9126,145.026,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,firm,20260810_140234,True
147520,0.0117,0.0273,0.9126,147.52,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,firm,20260810_140234,True
150003,0.0156,0.0273,0.9048,150.003,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,fast,firm,20260810_140234,True
