time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20947,0.0117,0.0312,0.9126,20.947,500000,-0.0078,0.007799999999999998,0.0,0.011030865786510139,tap3,slow,firm,20260810_140234,True
21390,0.0117,0.0312,0.9126,21.39,500000,-0.0078,0.007799999999999998,0.0,0.011030865786510139,tap3,slow,firm,20260810_140234,True
21808,0.0117,0.0312,0.9126,21.808,500000,-0.0078,0.007799999999999998,0.0,0.011030865786510139,tap3,slow,firm,20260810_140234,True
22208,0.0117,0.0312,0.9126,22.208,500000,-0.0078,0.007799999999999998,0.0,0.011030865786510139,tap3,slow,firm,20260810_140234,True
22620,0.0195,0.0273,0.9126,22.62,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
23021,0.0195,0.0273,0.9126,23.021,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
23420,0.0195,0.0273,0.9126,23.42,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
23829,0.0195,0.0273,0.9126,23.829,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
24228,0.0195,0.0273,0.9126,24.228,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
24642,0.0195,0.0273,0.9126,24.642,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,slow,firm,20260810_140234,True
25040,0.0234,0.0195,0.9048,25.04,500000,0.0039000000000000007,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,slow,firm,20260810_140234,True
27508,0.0117,0.0273,0.9048,27.508,500000,-0.0078,0.0039000000000000007,-0.007799999999999918,0.011699999999999945,tap3,slow,firm,20260810_140234,True
30028,0.0117,0.0273,0.9048,30.028,500000,-0.0078,0.0039000000000000007,-0.007799999999999918,0.011699999999999945,tap3,slow,firm,20260810_140234,True
32502,0.0195,0.0156,0.9048,32.502,500000,0.0,-0.007800000000000001,-0.007799999999999918,0.011030865786510084,tap3,slow,firm,20260810_140234,True
35007,0.0195,0.0273,0.9087,35.007,500000,0.0,0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,slow,firm,20260810_140234,True
37505,0.0195,0.0234,0.9165,37.505,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,slow,firm,20260810_140234,True
