time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21162,0.0117,0.0273,0.897,21.162,500000,-0.003899999999999999,0.0039000000000000007,-0.015599999999999947,0.016546298679765162,tap3,fast,normal,20260810_140234,False
21628,0.0117,0.0273,0.897,21.628,500000,-0.003899999999999999,0.0039000000000000007,-0.015599999999999947,0.016546298679765162,tap3,fast,normal,20260810_140234,False
22027,0.0117,0.0273,0.897,22.027,500000,-0.003899999999999999,0.0039000000000000007,-0.015599999999999947,0.016546298679765162,tap3,fast,normal,20260810_140234,False
22426,0.0117,0.0273,0.897,22.426,500000,-0.003899999999999999,0.0039000000000000007,-0.015599999999999947,0.016546298679765162,tap3,fast,normal,20260810_140234,False
22931,0.0078,0.0273,0.9243,22.931,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
23337,0.0078,0.0273,0.9243,23.337,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
23755,0.0078,0.0273,0.9243,23.755,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
24154,0.0078,0.0273,0.9243,24.154,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
24554,0.0078,0.0273,0.9243,24.554,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
24967,0.0078,0.0273,0.9243,24.967,500000,-0.0078,0.0039000000000000007,0.011700000000000044,0.014592463808418407,tap3,fast,normal,20260810_140234,False
25367,0.0156,0.0351,0.9087,25.367,500000,0.0,0.011699999999999999,-0.0039000000000000146,0.012332882874656684,tap3,fast,normal,20260810_140234,False
27507,0.0156,0.0351,0.9087,27.507,500000,0.0,0.011699999999999999,-0.0039000000000000146,0.012332882874656684,tap3,fast,normal,20260810_140234,False
30026,0.0195,0.0234,0.9087,30.026,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
32506,0.0195,0.0273,0.9009,32.506,500000,0.0039000000000000007,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap3,fast,normal,20260810_140234,False
35022,0.0117,0.0234,0.9165,35.022,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_140234,False
37516,0.0156,0.0195,0.8892,37.516,500000,0.0,-0.0039000000000000007,-0.023399999999999976,0.023722773868163034,tap3,fast,normal,20260810_140234,False
40006,0.0117,0.0234,0.9204,40.006,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,normal,20260810_140234,False
42519,0.0195,0.0195,0.9009,42.519,500000,0.0039000000000000007,-0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap3,fast,normal,20260810_140234,False
45020,0.0117,0.0234,0.9126,45.02,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,normal,20260810_140234,False
47510,0.0117,0.0312,0.9087,47.51,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
50021,0.0078,0.0273,0.9165,50.021,500000,-0.0078,0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_140234,False
52507,0.0117,0.0312,0.9087,52.507,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
55002,0.0195,0.0234,0.9048,55.002,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_140234,False
57518,0.0195,0.0273,0.9126,57.518,500000,0.0039000000000000007,0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,normal,20260810_140234,False
60013,0.0195,0.0234,0.9087,60.013,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
62501,0.0117,0.0234,0.9126,62.501,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,normal,20260810_140234,False
65017,0.0156,0.0234,0.9126,65.017,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_140234,False
67525,0.0117,0.0195,0.9243,67.525,500000,-0.003899999999999999,-0.0039000000000000007,0.011700000000000044,0.012934836682386099,tap3,fast,normal,20260810_140234,False
70019,0.0195,0.0273,0.9165,70.019,500000,0.0039000000000000007,0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_140234,False
72519,0.0156,0.0234,0.9009,72.519,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_140234,False
75013,0.0117,0.0234,0.9165,75.013,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_140234,False
77502,0.0195,0.0195,0.9087,77.502,500000,0.0039000000000000007,-0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_140234,False
80025,0.0117,0.0273,0.9165,80.025,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
82508,0.0156,0.0234,0.9087,82.508,500000,0.0,0.0,-0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_140234,False
85005,0.0156,0.0273,0.9048,85.005,500000,0.0,0.0039000000000000007,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_140234,False
87504,0.0156,0.0156,0.9126,87.504,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,normal,20260810_140234,False
90020,0.0156,0.0234,0.9048,90.02,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,normal,20260810_140234,False
92508,0.0156,0.0312,0.9126,92.508,500000,0.0,0.007799999999999998,0.0,0.007799999999999998,tap3,fast,normal,20260810_140234,False
95017,0.0078,0.0195,0.9204,95.017,500000,-0.0078,-0.0039000000000000007,0.007800000000000029,0.01170000000000002,tap3,fast,normal,20260810_140234,False
97528,0.0195,0.0234,0.9048,97.528,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap3,fast,normal,20260810_140234,False
100026,0.0117,0.0195,0.9165,100.026,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
102504,0.0117,0.0273,0.9087,102.504,500000,-0.003899999999999999,0.0039000000000000007,-0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
105015,0.0156,0.0273,0.9126,105.015,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
107503,0.0117,0.0273,0.8931,107.503,500000,-0.003899999999999999,0.0039000000000000007,-0.019499999999999962,0.020264994448555826,tap3,fast,normal,20260810_140234,False
110018,0.0195,0.0156,0.9087,110.018,500000,0.0039000000000000007,-0.007800000000000001,-0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_140234,False
112509,0.0117,0.0312,0.9126,112.509,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,normal,20260810_140234,False
115023,0.0156,0.0156,0.9126,115.023,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,normal,20260810_140234,False
117529,0.0156,0.0234,0.9009,117.529,500000,0.0,0.0,-0.011699999999999933,0.011699999999999933,tap3,fast,normal,20260810_140234,False
120029,0.0156,0.0234,0.9165,120.029,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_140234,False
122517,0.0117,0.0234,0.9087,122.517,500000,-0.003899999999999999,0.0,-0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_140234,False
125025,0.0117,0.0312,0.9087,125.025,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
127518,0.0117,0.0312,0.9087,127.518,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
130012,0.0195,0.0156,0.9087,130.012,500000,0.0039000000000000007,-0.007800000000000001,-0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_140234,False
132529,0.0156,0.0273,0.9165,132.529,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
135022,0.0156,0.0273,0.9087,135.022,500000,0.0,0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
137502,0.0156,0.0273,0.9087,137.502,500000,0.0,0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
140018,0.0156,0.0273,0.9087,140.018,500000,0.0,0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
142527,0.0117,0.0273,0.9126,142.527,500000,-0.003899999999999999,0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_140234,False
145024,0.0156,0.0273,0.9009,145.024,500000,0.0,0.0039000000000000007,-0.011699999999999933,0.012332882874656616,tap3,fast,normal,20260810_140234,False
147513,0.0195,0.0312,0.9087,147.513,500000,0.0039000000000000007,0.007799999999999998,-0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_140234,False
150002,0.0312,0.0195,0.9126,150.002,500000,0.0156,-0.0039000000000000007,0.0,0.016080111939908874,tap3,fast,normal,20260810_140234,False
152514,0.0156,0.0273,0.9126,152.514,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
155002,0.0117,0.0312,0.9087,155.002,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
157517,0.0117,0.0234,0.9126,157.517,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,normal,20260810_140234,False
160000,0.0156,0.0312,0.9087,160.0,500000,0.0,0.007799999999999998,-0.0039000000000000146,0.008720665112249185,tap3,fast,normal,20260810_140234,False
162528,0.0156,0.0156,0.9126,162.528,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,normal,20260810_140234,False
165022,0.0117,0.0273,0.9126,165.022,500000,-0.003899999999999999,0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_140234,False
167510,0.0117,0.0312,0.9126,167.51,500000,-0.003899999999999999,0.007799999999999998,0.0,0.008720665112249178,tap3,fast,normal,20260810_140234,False
170004,0.0117,0.0234,0.9126,170.004,500000,-0.003899999999999999,0.0,0.0,0.003899999999999999,tap3,fast,normal,20260810_140234,False
172507,0.0156,0.0234,0.9126,172.507,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_140234,False
175021,0.0195,0.0273,0.9087,175.021,500000,0.0039000000000000007,0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_140234,False
177512,0.0117,0.0273,0.9165,177.512,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
180024,0.0156,0.0312,0.9087,180.024,500000,0.0,0.007799999999999998,-0.0039000000000000146,0.008720665112249185,tap3,fast,normal,20260810_140234,False
182522,0.0156,0.0234,0.9165,182.522,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_140234,False
185012,0.0156,0.0156,0.9087,185.012,500000,0.0,-0.007800000000000001,-0.0039000000000000146,0.008720665112249188,tap3,fast,normal,20260810_140234,False
187515,0.0078,0.0273,0.9165,187.515,500000,-0.0078,0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,fast,normal,20260810_140234,False
190025,0.0117,0.0195,0.9048,190.025,500000,-0.003899999999999999,-0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,normal,20260810_140234,False
192502,0.0234,0.0156,0.9165,192.502,500000,0.007800000000000001,-0.007800000000000001,0.0039000000000000146,0.011700000000000007,tap3,fast,normal,20260810_140234,False
195016,0.0195,0.0195,0.9126,195.016,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,normal,20260810_140234,False
197506,0.0156,0.0234,0.9048,197.506,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,normal,20260810_140234,False
200025,0.0078,0.0273,0.9126,200.025,500000,-0.0078,0.0039000000000000007,0.0,0.00872066511224918,tap3,fast,normal,20260810_140234,False
202511,0.0156,0.0273,0.9126,202.511,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
205026,0.0117,0.039,0.9165,205.026,500000,-0.003899999999999999,0.0156,0.0039000000000000146,0.016546298679765214,tap3,fast,normal,20260810_140234,False
207518,0.0117,0.0273,0.9126,207.518,500000,-0.003899999999999999,0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_140234,False
210015,0.0156,0.0273,0.9126,210.015,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
212519,0.0156,0.0234,0.9165,212.519,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_140234,False
215004,0.0117,0.0195,0.9165,215.004,500000,-0.003899999999999999,-0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
217516,0.0195,0.0273,0.9087,217.516,500000,0.0039000000000000007,0.0039000000000000007,-0.0039000000000000146,0.006754998149518631,tap3,fast,normal,20260810_140234,False
220007,0.0117,0.0273,0.9126,220.007,500000,-0.003899999999999999,0.0039000000000000007,0.0,0.00551543289325507,tap3,fast,normal,20260810_140234,False
222516,0.0117,0.0312,0.9165,222.516,500000,-0.003899999999999999,0.007799999999999998,0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
225026,0.0117,0.0273,0.9165,225.026,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
227514,0.0156,0.0234,0.9087,227.514,500000,0.0,0.0,-0.0039000000000000146,0.0039000000000000146,tap3,fast,normal,20260810_140234,False
230005,0.0117,0.0273,0.9165,230.005,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
232520,0.0156,0.0273,0.9126,232.52,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
235002,0.0156,0.0273,0.9126,235.002,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
237513,0.0156,0.0156,0.9204,237.513,500000,0.0,-0.007800000000000001,0.007800000000000029,0.011030865786510163,tap3,fast,normal,20260810_140234,False
240026,0.0156,0.0234,0.9126,240.026,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_140234,False
242503,0.0117,0.0156,0.9126,242.503,500000,-0.003899999999999999,-0.007800000000000001,0.0,0.00872066511224918,tap3,fast,normal,20260810_140234,False
245028,0.0195,0.0234,0.9087,245.028,500000,0.0039000000000000007,0.0,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
247501,0.0156,0.0273,0.9165,247.501,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
250020,0.0156,0.0195,0.9165,250.02,500000,0.0,-0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
252529,0.0234,0.0195,0.9165,252.529,500000,0.007800000000000001,-0.0039000000000000007,0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_140234,False
255026,0.0117,0.0273,0.9165,255.026,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap3,fast,normal,20260810_140234,False
257521,0.0195,0.0195,0.9204,257.521,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,normal,20260810_140234,False
260016,0.0156,0.0351,0.9204,260.016,500000,0.0,0.011699999999999999,0.007800000000000029,0.014061649974309573,tap3,fast,normal,20260810_140234,False
262529,0.0234,0.0273,0.9165,262.529,500000,0.007800000000000001,0.0039000000000000007,0.0039000000000000146,0.009553009996854402,tap3,fast,normal,20260810_140234,False
265014,0.0195,0.039,0.9087,265.014,500000,0.0039000000000000007,0.0156,-0.0039000000000000146,0.016546298679765214,tap3,fast,normal,20260810_140234,False
267502,0.0156,0.0234,0.9048,267.502,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap3,fast,normal,20260810_140234,False
270006,0.0156,0.0273,0.9087,270.006,500000,0.0,0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
272526,0.0117,0.0312,0.9087,272.526,500000,-0.003899999999999999,0.007799999999999998,-0.0039000000000000146,0.009553009996854399,tap3,fast,normal,20260810_140234,False
275016,0.0156,0.0312,0.9048,275.016,500000,0.0,0.007799999999999998,-0.007799999999999918,0.011030865786510082,tap3,fast,normal,20260810_140234,False
277507,0.0156,0.0195,0.9087,277.507,500000,0.0,-0.0039000000000000007,-0.0039000000000000146,0.005515432893255082,tap3,fast,normal,20260810_140234,False
280026,0.0117,0.0273,0.9048,280.026,500000,-0.003899999999999999,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,normal,20260810_140234,False
282504,0.0156,0.0234,0.9204,282.504,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,normal,20260810_140234,False
285026,0.0117,0.0429,0.9204,285.026,500000,-0.003899999999999999,0.0195,0.007800000000000029,0.021361179742701488,tap3,fast,normal,20260810_140234,False
287521,0.0156,0.0351,0.9126,287.521,500000,0.0,0.011699999999999999,0.0,0.011699999999999999,tap3,fast,normal,20260810_140234,False
290009,0.0117,0.0234,0.9165,290.009,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,normal,20260810_140234,False
292527,0.0117,0.0234,0.9048,292.527,500000,-0.003899999999999999,0.0,-0.007799999999999918,0.008720665112249105,tap3,fast,normal,20260810_140234,False
295015,0.0156,0.0234,0.9126,295.015,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_140234,False
297502,0.0117,0.0273,0.9009,297.502,500000,-0.003899999999999999,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap3,fast,normal,20260810_140234,False
300025,0.0156,0.0273,0.9126,300.025,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,normal,20260810_140234,False
302509,0.0156,0.0234,0.9126,302.509,500000,0.0,0.0,0.0,0.0,tap3,fast,normal,20260810_140234,False
305027,0.0078,0.0234,0.9165,305.027,500000,-0.0078,0.0,0.0039000000000000146,0.008720665112249186,tap3,fast,normal,20260810_140234,False
