time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21191,0.0039,0.0195,0.9087,21.191,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_140234,False
21659,0.0039,0.0195,0.9087,21.659,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_140234,False
22058,0.0039,0.0195,0.9087,22.058,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_140234,False
22457,0.0039,0.0195,0.9087,22.457,500000,0.0,0.0,0.0,0.0,tap3,slow,firm,20260810_140234,False
22865,-0.0039,0.0156,0.9048,22.865,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
23264,-0.0039,0.0156,0.9048,23.264,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
23672,-0.0039,0.0156,0.9048,23.672,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
24072,-0.0039,0.0156,0.9048,24.072,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
24472,-0.0039,0.0156,0.9048,24.472,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
25002,-0.0039,0.0156,0.9048,25.002,500000,-0.0078,-0.0039000000000000007,-0.0038999999999999035,0.009553009996854355,tap3,slow,firm,20260810_140234,False
25408,0.0078,0.0273,0.9165,25.408,500000,0.0039,0.007800000000000001,0.007800000000000029,0.01170000000000002,tap3,slow,firm,20260810_140234,False
27523,0.0078,0.0273,0.9165,27.523,500000,0.0039,0.007800000000000001,0.007800000000000029,0.01170000000000002,tap3,slow,firm,20260810_140234,False
30018,0.0117,0.0234,0.9126,30.018,500000,0.0078000000000000005,0.0039000000000000007,0.0039000000000000146,0.0095530099968544,tap3,slow,firm,20260810_140234,False
32507,0.0039,0.0234,0.897,32.507,500000,0.0,0.0039000000000000007,-0.011699999999999933,0.012332882874656616,tap3,slow,firm,20260810_140234,False
35020,0.0039,0.0195,0.9048,35.02,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,slow,firm,20260810_140234,False
37524,0.0078,0.0195,0.9165,37.524,500000,0.0039,0.0,0.007800000000000029,0.008720665112249205,tap3,slow,firm,20260810_140234,False
40019,0.0,0.0273,0.9048,40.019,500000,-0.0039,0.007800000000000001,-0.0038999999999999035,0.009553009996854357,tap3,slow,firm,20260810_140234,False
