time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20842,0.0585,0.0078,0.9126,20.842,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,firm,20260810_141717,True
21285,0.0585,0.0078,0.9126,21.285,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,firm,20260810_141717,True
21698,0.0585,0.0078,0.9126,21.698,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,firm,20260810_141717,True
22097,0.0585,0.0078,0.9126,22.097,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,firm,20260810_141717,True
22496,0.0546,0.0195,0.9048,22.496,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
22899,0.0546,0.0195,0.9048,22.899,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
23300,0.0546,0.0195,0.9048,23.3,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
23708,0.0546,0.0195,0.9048,23.708,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
24106,0.0546,0.0195,0.9048,24.106,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
24505,0.0546,0.0195,0.9048,24.505,500000,0.0,0.0117,-0.0038999999999999035,0.012332882874656649,tap1,natural,firm,20260810_141717,True
25029,0.0585,0.0156,0.9165,25.029,500000,0.0039000000000000007,0.0078,0.007800000000000029,0.01170000000000002,tap1,natural,firm,20260810_141717,True
27508,0.0507,0.0078,0.9087,27.508,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,firm,20260810_141717,True
30020,0.0585,0.0078,0.9009,30.02,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap1,natural,firm,20260810_141717,True
32509,0.0585,0.0078,0.9009,32.509,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap1,natural,firm,20260810_141717,True
35013,0.0546,0.0156,0.9126,35.013,500000,0.0,0.0078,0.0039000000000000146,0.008720665112249186,tap1,natural,firm,20260810_141717,True
