time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20886,0.0117,0.0273,0.9009,20.886,500000,-0.003899999999999999,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap1,natural,light,20260810_141717,True
21334,0.0117,0.0273,0.9009,21.334,500000,-0.003899999999999999,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap1,natural,light,20260810_141717,True
21740,0.0117,0.0273,0.9009,21.74,500000,-0.003899999999999999,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap1,natural,light,20260810_141717,True
22138,0.0117,0.0273,0.9009,22.138,500000,-0.003899999999999999,0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap1,natural,light,20260810_141717,True
22537,0.0234,0.0195,0.8931,22.537,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
22950,0.0234,0.0195,0.8931,22.95,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
23349,0.0234,0.0195,0.8931,23.349,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
23757,0.0234,0.0195,0.8931,23.757,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
24157,0.0234,0.0195,0.8931,24.157,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
24556,0.0234,0.0195,0.8931,24.556,500000,0.007800000000000001,-0.0039000000000000007,-0.019499999999999962,0.021361179742701446,tap1,natural,light,20260810_141717,True
25000,0.0156,0.0156,0.9087,25.0,500000,0.0,-0.007800000000000001,-0.0039000000000000146,0.008720665112249188,tap1,natural,light,20260810_141717,True
27530,0.0234,0.0156,0.9126,27.53,500000,0.007800000000000001,-0.007800000000000001,0.0,0.011030865786510143,tap1,natural,light,20260810_141717,True
30014,0.0234,0.0156,0.9126,30.014,500000,0.007800000000000001,-0.007800000000000001,0.0,0.011030865786510143,tap1,natural,light,20260810_141717,True
32519,0.0195,0.0273,0.9165,32.519,500000,0.0039000000000000007,0.0039000000000000007,0.0039000000000000146,0.006754998149518631,tap1,natural,light,20260810_141717,True
35022,0.0195,0.0234,0.9165,35.022,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,True
37520,0.0195,0.0234,0.9165,37.52,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,True
40009,0.0117,0.0351,0.9165,40.009,500000,-0.003899999999999999,0.011699999999999999,0.0039000000000000146,0.012934836682386062,tap1,natural,light,20260810_141717,True
42512,0.0117,0.0273,0.9165,42.512,500000,-0.003899999999999999,0.0039000000000000007,0.0039000000000000146,0.00675499814951863,tap1,natural,light,20260810_141717,True
45013,0.0195,0.0234,0.9165,45.013,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,True
