time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
20911,0.0546,0.0507,0.9087,20.911,500000,0.0,0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
21357,0.0546,0.0507,0.9087,21.357,500000,0.0,0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
21763,0.0546,0.0507,0.9087,21.763,500000,0.0,0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
22163,0.0546,0.0507,0.9087,22.163,500000,0.0,0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
22562,0.0546,0.0507,0.9243,22.562,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
22975,0.0546,0.0507,0.9243,22.975,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
23374,0.0546,0.0507,0.9243,23.374,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
23781,0.0546,0.0507,0.9243,23.781,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
24180,0.0546,0.0507,0.9243,24.18,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
24591,0.0546,0.0507,0.9243,24.591,500000,0.0,0.0019500000000000003,0.015600000000000058,0.01572140260918223,tap2,slow,light,20260810_141717,True
25027,0.0585,0.0468,0.9126,25.027,500000,0.0039000000000000007,-0.0019500000000000003,0.0039000000000000146,0.005850000000000011,tap2,slow,light,20260810_141717,True
27523,0.0585,0.0468,0.9009,27.523,500000,0.0039000000000000007,-0.0019500000000000003,-0.007799999999999918,0.008936022605163817,tap2,slow,light,20260810_141717,True
30025,0.0585,0.0468,0.9009,30.025,500000,0.0039000000000000007,-0.0019500000000000003,-0.007799999999999918,0.008936022605163817,tap2,slow,light,20260810_141717,True
32505,0.0507,0.0468,0.9087,32.505,500000,-0.0039000000000000007,-0.0019500000000000003,0.0,0.004360332556124591,tap2,slow,light,20260810_141717,True
35010,0.0585,0.0546,0.9048,35.01,500000,0.0039000000000000007,0.005850000000000001,-0.0038999999999999035,0.008040055969954392,tap2,slow,light,20260810_141717,True
37529,0.0546,0.0468,0.9087,37.529,500000,0.0,-0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
40029,0.0585,0.0507,0.9087,40.029,500000,0.0039000000000000007,0.0019500000000000003,0.0,0.004360332556124591,tap2,slow,light,20260810_141717,True
42508,0.0507,0.0507,0.9087,42.508,500000,-0.0039000000000000007,0.0019500000000000003,0.0,0.004360332556124591,tap2,slow,light,20260810_141717,True
45013,0.0468,0.0507,0.9009,45.013,500000,-0.007800000000000001,0.0019500000000000003,-0.007799999999999918,0.011201897160749099,tap2,slow,light,20260810_141717,True
47524,0.0624,0.0429,0.897,47.524,500000,0.0077999999999999944,-0.005850000000000001,-0.011699999999999933,0.015229986868017922,tap2,slow,light,20260810_141717,True
50010,0.0546,0.0468,0.9204,50.01,500000,0.0,-0.0019500000000000003,0.011700000000000044,0.011861386934081572,tap2,slow,light,20260810_141717,True
52520,0.0585,0.039,0.9126,52.52,500000,0.0039000000000000007,-0.009750000000000002,0.0039000000000000146,0.011201897160749163,tap2,slow,light,20260810_141717,True
55027,0.0507,0.0468,0.9048,55.027,500000,-0.0039000000000000007,-0.0019500000000000003,-0.0038999999999999035,0.005849999999999936,tap2,slow,light,20260810_141717,True
57524,0.0546,0.0507,0.9087,57.524,500000,0.0,0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
60020,0.0585,0.0429,0.9165,60.02,500000,0.0039000000000000007,-0.005850000000000001,0.007800000000000029,0.010501071373912305,tap2,slow,light,20260810_141717,True
62500,0.0624,0.039,0.9126,62.5,500000,0.0077999999999999944,-0.009750000000000002,0.0039000000000000146,0.013080997668373772,tap2,slow,light,20260810_141717,True
65004,0.0468,0.0585,0.9087,65.004,500000,-0.007800000000000001,0.009750000000000002,0.0,0.012486092262994056,tap2,slow,light,20260810_141717,True
67512,0.0585,0.0546,0.9048,67.512,500000,0.0039000000000000007,0.005850000000000001,-0.0038999999999999035,0.008040055969954392,tap2,slow,light,20260810_141717,True
70010,0.0507,0.0468,0.9009,70.01,500000,-0.0039000000000000007,-0.0019500000000000003,-0.007799999999999918,0.008936022605163817,tap2,slow,light,20260810_141717,True
72519,0.0585,0.0468,0.9243,72.519,500000,0.0039000000000000007,-0.0019500000000000003,0.015600000000000058,0.0161979165326903,tap2,slow,light,20260810_141717,True
75019,0.0546,0.0507,0.9048,75.019,500000,0.0,0.0019500000000000003,-0.0038999999999999035,0.004360332556124504,tap2,slow,light,20260810_141717,True
77529,0.0546,0.0507,0.9048,77.529,500000,0.0,0.0019500000000000003,-0.0038999999999999035,0.004360332556124504,tap2,slow,light,20260810_141717,True
80028,0.0624,0.0468,0.9048,80.028,500000,0.0077999999999999944,-0.0019500000000000003,-0.0038999999999999035,0.008936022605163841,tap2,slow,light,20260810_141717,True
82512,0.0624,0.0507,0.9126,82.512,500000,0.0077999999999999944,0.0019500000000000003,0.0039000000000000146,0.00893602260516389,tap2,slow,light,20260810_141717,True
85022,0.0546,0.0507,0.9126,85.022,500000,0.0,0.0019500000000000003,0.0039000000000000146,0.004360332556124604,tap2,slow,light,20260810_141717,True
87518,0.0507,0.0546,0.9126,87.518,500000,-0.0039000000000000007,0.005850000000000001,0.0039000000000000146,0.008040055969954446,tap2,slow,light,20260810_141717,True
90285,0.0624,0.0468,0.9048,90.285,500000,0.0077999999999999944,-0.0019500000000000003,-0.0038999999999999035,0.008936022605163841,tap2,slow,light,20260810_141717,True
92513,0.0546,0.0429,0.897,92.513,500000,0.0,-0.005850000000000001,-0.011699999999999933,0.013080997668373711,tap2,slow,light,20260810_141717,True
95015,0.0507,0.0507,0.9048,95.015,500000,-0.0039000000000000007,0.0019500000000000003,-0.0038999999999999035,0.005849999999999936,tap2,slow,light,20260810_141717,True
97512,0.0585,0.0507,0.897,97.512,500000,0.0039000000000000007,0.0019500000000000003,-0.011699999999999933,0.012486092262993992,tap2,slow,light,20260810_141717,True
100004,0.0546,0.0468,0.9048,100.004,500000,0.0,-0.0019500000000000003,-0.0038999999999999035,0.004360332556124504,tap2,slow,light,20260810_141717,True
102505,0.0468,0.0585,0.897,102.505,500000,-0.007800000000000001,0.009750000000000002,-0.011699999999999933,0.017111180555414593,tap2,slow,light,20260810_141717,True
105016,0.0507,0.0429,0.9048,105.016,500000,-0.0039000000000000007,-0.005850000000000001,-0.0038999999999999035,0.008040055969954392,tap2,slow,light,20260810_141717,True
107515,0.0507,0.0468,0.897,107.515,500000,-0.0039000000000000007,-0.0019500000000000003,-0.011699999999999933,0.012486092262993992,tap2,slow,light,20260810_141717,True
110008,0.0468,0.0507,0.9165,110.008,500000,-0.007800000000000001,0.0019500000000000003,0.007800000000000029,0.011201897160749177,tap2,slow,light,20260810_141717,True
112524,0.0429,0.0507,0.9165,112.524,500000,-0.011700000000000002,0.0019500000000000003,0.007800000000000029,0.014196214284097028,tap2,slow,light,20260810_141717,True
115029,0.0585,0.039,0.9126,115.029,500000,0.0039000000000000007,-0.009750000000000002,0.0039000000000000146,0.011201897160749163,tap2,slow,light,20260810_141717,True
117530,0.0624,0.0429,0.9087,117.53,500000,0.0077999999999999944,-0.005850000000000001,0.0,0.009749999999999997,tap2,slow,light,20260810_141717,True
120026,0.0546,0.0468,0.9048,120.026,500000,0.0,-0.0019500000000000003,-0.0038999999999999035,0.004360332556124504,tap2,slow,light,20260810_141717,True
122510,0.0546,0.0468,0.9087,122.51,500000,0.0,-0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
125019,0.0507,0.0468,0.9048,125.019,500000,-0.0039000000000000007,-0.0019500000000000003,-0.0038999999999999035,0.005849999999999936,tap2,slow,light,20260810_141717,True
127517,0.0624,0.0429,0.9087,127.517,500000,0.0077999999999999944,-0.005850000000000001,0.0,0.009749999999999997,tap2,slow,light,20260810_141717,True
130007,0.0546,0.0468,0.9048,130.007,500000,0.0,-0.0019500000000000003,-0.0038999999999999035,0.004360332556124504,tap2,slow,light,20260810_141717,True
132521,0.0546,0.0468,0.9087,132.521,500000,0.0,-0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
135025,0.0546,0.0468,0.9087,135.025,500000,0.0,-0.0019500000000000003,0.0,0.0019500000000000003,tap2,slow,light,20260810_141717,True
137522,0.0585,0.0429,0.9087,137.522,500000,0.0039000000000000007,-0.005850000000000001,0.0,0.00703082498715478,tap2,slow,light,20260810_141717,True
140011,0.0585,0.0468,0.897,140.011,500000,0.0039000000000000007,-0.0019500000000000003,-0.011699999999999933,0.012486092262993992,tap2,slow,light,20260810_141717,True
