time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21259,0.0078,0.0156,0.9126,21.259,500000,-0.0078,-0.007800000000000001,0.0039000000000000146,0.011700000000000006,tap3,fast,light,20260810_141717,True
21715,0.0078,0.0156,0.9126,21.715,500000,-0.0078,-0.007800000000000001,0.0039000000000000146,0.011700000000000006,tap3,fast,light,20260810_141717,True
22113,0.0078,0.0156,0.9126,22.113,500000,-0.0078,-0.007800000000000001,0.0039000000000000146,0.011700000000000006,tap3,fast,light,20260810_141717,True
22512,0.0195,0.0273,0.9048,22.512,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_141717,True
22916,0.0195,0.0273,0.9048,22.916,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_141717,True
24087,0.0195,0.0273,0.9048,24.087,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_141717,True
24505,0.0195,0.0273,0.9048,24.505,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap3,fast,light,20260810_141717,True
24911,0.0195,0.0273,0.9087,24.911,500000,0.0039000000000000007,0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_141717,True
25310,0.0195,0.0273,0.9087,25.31,500000,0.0039000000000000007,0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_141717,True
25722,0.0195,0.0273,0.9087,25.722,500000,0.0039000000000000007,0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_141717,True
26120,0.0195,0.0273,0.9087,26.12,500000,0.0039000000000000007,0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_141717,True
27510,0.0195,0.0273,0.9165,27.51,500000,0.0039000000000000007,0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,light,20260810_141717,True
30013,0.0156,0.0156,0.9087,30.013,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,light,20260810_141717,True
32504,0.0156,0.0156,0.9087,32.504,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,light,20260810_141717,True
35340,0.0195,0.0234,0.9048,35.34,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
37517,0.0195,0.0234,0.9048,37.517,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
40021,0.0195,0.0156,0.9126,40.021,500000,0.0039000000000000007,-0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,fast,light,20260810_141717,True
42519,0.0195,0.0234,0.9126,42.519,500000,0.0039000000000000007,0.0,0.0039000000000000146,0.005515432893255082,tap3,fast,light,20260810_141717,True
45015,0.0156,0.0234,0.9126,45.015,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,light,20260810_141717,True
47521,0.0156,0.0195,0.9087,47.521,500000,0.0,-0.0039000000000000007,0.0,0.0039000000000000007,tap3,fast,light,20260810_141717,True
50005,0.0117,0.0273,0.9009,50.005,500000,-0.003899999999999999,0.0039000000000000007,-0.007799999999999918,0.009553009996854328,tap3,fast,light,20260810_141717,True
52505,0.0117,0.0351,0.9087,52.505,500000,-0.003899999999999999,0.011699999999999999,0.0,0.012332882874656677,tap3,fast,light,20260810_141717,True
55027,0.0117,0.0312,0.9204,55.027,500000,-0.003899999999999999,0.007799999999999998,0.011700000000000044,0.014592463808418405,tap3,fast,light,20260810_141717,True
57507,0.0234,0.0195,0.9204,57.507,500000,0.007800000000000001,-0.0039000000000000007,0.011700000000000044,0.014592463808418409,tap3,fast,light,20260810_141717,True
60010,0.0156,0.0234,0.9126,60.01,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,light,20260810_141717,True
62509,0.0234,0.0195,0.9087,62.509,500000,0.007800000000000001,-0.0039000000000000007,0.0,0.008720665112249181,tap3,fast,light,20260810_141717,True
65029,0.0117,0.0156,0.9087,65.029,500000,-0.003899999999999999,-0.007800000000000001,0.0,0.00872066511224918,tap3,fast,light,20260810_141717,True
67509,0.0039,0.0351,0.9126,67.509,500000,-0.011699999999999999,0.011699999999999999,0.0039000000000000146,0.01699970587980863,tap3,fast,light,20260810_141717,True
70014,0.0156,0.0234,0.9126,70.014,500000,0.0,0.0,0.0039000000000000146,0.0039000000000000146,tap3,fast,light,20260810_141717,True
72512,0.0156,0.0234,0.9087,72.512,500000,0.0,0.0,0.0,0.0,tap3,fast,light,20260810_141717,True
75025,0.0117,0.0234,0.9165,75.025,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,light,20260810_141717,True
77504,0.0195,0.0234,0.9048,77.504,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
80009,0.0156,0.0117,0.9126,80.009,500000,0.0,-0.0117,0.0039000000000000146,0.012332882874656684,tap3,fast,light,20260810_141717,True
82502,0.0195,0.0195,0.9165,82.502,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,light,20260810_141717,True
85026,0.0195,0.0195,0.9087,85.026,500000,0.0039000000000000007,-0.0039000000000000007,0.0,0.005515432893255071,tap3,fast,light,20260810_141717,True
87507,0.0156,0.0156,0.9204,87.507,500000,0.0,-0.007800000000000001,0.011700000000000044,0.014061649974309596,tap3,fast,light,20260810_141717,True
90012,0.0156,0.0195,0.9048,90.012,500000,0.0,-0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
92510,0.0156,0.0273,0.9048,92.51,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
95003,0.0156,0.0156,0.9087,95.003,500000,0.0,-0.007800000000000001,0.0,0.007800000000000001,tap3,fast,light,20260810_141717,True
97517,0.0156,0.0234,0.9165,97.517,500000,0.0,0.0,0.007800000000000029,0.007800000000000029,tap3,fast,light,20260810_141717,True
100006,0.0195,0.0156,0.9126,100.006,500000,0.0039000000000000007,-0.007800000000000001,0.0039000000000000146,0.009553009996854402,tap3,fast,light,20260810_141717,True
102506,0.0117,0.0195,0.9048,102.506,500000,-0.003899999999999999,-0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,fast,light,20260810_141717,True
105024,0.0273,0.0195,0.9048,105.024,500000,0.011700000000000002,-0.0039000000000000007,-0.0038999999999999035,0.012934836682386033,tap3,fast,light,20260810_141717,True
107515,0.0273,0.0156,0.9126,107.515,500000,0.011700000000000002,-0.007800000000000001,0.0039000000000000146,0.014592463808418377,tap3,fast,light,20260810_141717,True
110017,0.0195,0.0234,0.9048,110.017,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap3,fast,light,20260810_141717,True
112513,0.0195,0.0312,0.9126,112.513,500000,0.0039000000000000007,0.007799999999999998,0.0039000000000000146,0.0095530099968544,tap3,fast,light,20260810_141717,True
115026,0.0156,0.0234,0.9048,115.026,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,fast,light,20260810_141717,True
117510,0.0078,0.0234,0.9087,117.51,500000,-0.0078,0.0,0.0,0.0078,tap3,fast,light,20260810_141717,True
120014,0.0156,0.0195,0.9165,120.014,500000,0.0,-0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap3,fast,light,20260810_141717,True
122514,0.0117,0.0195,0.897,122.514,500000,-0.003899999999999999,-0.0039000000000000007,-0.011699999999999933,0.012934836682385998,tap3,fast,light,20260810_141717,True
125019,0.0117,0.0234,0.9126,125.019,500000,-0.003899999999999999,0.0,0.0039000000000000146,0.00551543289325508,tap3,fast,light,20260810_141717,True
127529,0.0195,0.0234,0.9165,127.529,500000,0.0039000000000000007,0.0,0.007800000000000029,0.008720665112249207,tap3,fast,light,20260810_141717,True
130006,0.0195,0.0234,0.9087,130.006,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,light,20260810_141717,True
132504,0.0156,0.0312,0.9165,132.504,500000,0.0,0.007799999999999998,0.007800000000000029,0.01103086578651016,tap3,fast,light,20260810_141717,True
135023,0.0195,0.0234,0.9087,135.023,500000,0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap3,fast,light,20260810_141717,True
137510,0.0195,0.0195,0.9165,137.51,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,light,20260810_141717,True
140029,0.0195,0.0195,0.9165,140.029,500000,0.0039000000000000007,-0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap3,fast,light,20260810_141717,True
142501,0.0117,0.0234,0.9009,142.501,500000,-0.003899999999999999,0.0,-0.007799999999999918,0.008720665112249105,tap3,fast,light,20260810_141717,True
145014,0.0117,0.0273,0.9048,145.014,500000,-0.003899999999999999,0.0039000000000000007,-0.0038999999999999035,0.006754998149518566,tap3,fast,light,20260810_141717,True
147525,0.0156,0.0234,0.9048,147.525,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap3,fast,light,20260810_141717,True
150011,0.0156,0.0234,0.9087,150.011,500000,0.0,0.0,0.0,0.0,tap3,fast,light,20260810_141717,True
152509,0.0117,0.0234,0.9009,152.509,500000,-0.003899999999999999,0.0,-0.007799999999999918,0.008720665112249105,tap3,fast,light,20260810_141717,True
155001,0.0039,0.0351,0.9087,155.001,500000,-0.011699999999999999,0.011699999999999999,0.0,0.01654629867976521,tap3,fast,light,20260810_141717,True
157514,0.0117,0.0234,0.9165,157.514,500000,-0.003899999999999999,0.0,0.007800000000000029,0.008720665112249205,tap3,fast,light,20260810_141717,True
