time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21722,0.0039,0.0273,0.9126,21.722,500000,0.0,-0.0038999999999999972,0.0039000000000000146,0.005515432893255079,tap3,slow,normal,20260810_141717,True
22183,0.0039,0.0273,0.9126,22.183,500000,0.0,-0.0038999999999999972,0.0039000000000000146,0.005515432893255079,tap3,slow,normal,20260810_141717,True
22717,0.0039,0.0312,0.9087,22.717,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
23134,0.0039,0.0312,0.9087,23.134,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
23534,0.0039,0.0312,0.9087,23.534,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
23949,0.0039,0.0312,0.9087,23.949,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
24349,0.0039,0.0312,0.9087,24.349,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
24756,0.0039,0.0312,0.9087,24.756,500000,0.0,0.0,0.0,0.0,tap3,slow,normal,20260810_141717,True
25156,0.0195,0.0195,0.9048,25.156,500000,0.0156,-0.011699999999999999,-0.0038999999999999035,0.01988617610301184,tap3,slow,normal,20260810_141717,True
25557,0.0195,0.0195,0.9048,25.557,500000,0.0156,-0.011699999999999999,-0.0038999999999999035,0.01988617610301184,tap3,slow,normal,20260810_141717,True
25969,0.0195,0.0195,0.9048,25.969,500000,0.0156,-0.011699999999999999,-0.0038999999999999035,0.01988617610301184,tap3,slow,normal,20260810_141717,True
27510,0.0195,0.0195,0.9048,27.51,500000,0.0156,-0.011699999999999999,-0.0038999999999999035,0.01988617610301184,tap3,slow,normal,20260810_141717,True
30014,0.0078,0.0234,0.9009,30.014,500000,0.0039,-0.007799999999999998,-0.007799999999999918,0.011699999999999943,tap3,slow,normal,20260810_141717,True
32512,0.0039,0.0273,0.9087,32.512,500000,0.0,-0.0038999999999999972,0.0,0.0038999999999999972,tap3,slow,normal,20260810_141717,True
