time_us,x_g,y_g,z_g,time_ms,cue_time_us,x_delta_g,y_delta_g,z_delta_g,dynamic_magnitude_g,label,requested_pace,requested_force,session_id,operator_accepted
21114,0.0195,0.0351,0.9126,21.114,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,False
21578,0.0195,0.0351,0.9126,21.578,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,False
21983,0.0195,0.0351,0.9126,21.983,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,False
22383,0.0195,0.0351,0.9126,22.383,500000,0.0,0.0039000000000000007,0.0039000000000000146,0.005515432893255082,tap1,natural,light,20260810_141717,False
22796,0.0156,0.0312,0.9087,22.796,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
23195,0.0156,0.0312,0.9087,23.195,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
23604,0.0156,0.0312,0.9087,23.604,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
24004,0.0156,0.0312,0.9087,24.004,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
24403,0.0156,0.0312,0.9087,24.403,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
24807,0.0156,0.0312,0.9087,24.807,500000,-0.0039000000000000007,0.0,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
25206,0.0195,0.0351,0.9048,25.206,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap1,natural,light,20260810_141717,False
27503,0.0195,0.0351,0.9048,27.503,500000,0.0,0.0039000000000000007,-0.0038999999999999035,0.005515432893255003,tap1,natural,light,20260810_141717,False
30013,0.0234,0.0234,0.9009,30.013,500000,0.0039000000000000007,-0.007799999999999998,-0.007799999999999918,0.011699999999999945,tap1,natural,light,20260810_141717,False
32507,0.0195,0.0234,0.9048,32.507,500000,0.0,-0.007799999999999998,-0.0038999999999999035,0.008720665112249134,tap1,natural,light,20260810_141717,False
35011,0.0117,0.0312,0.9087,35.011,500000,-0.0078,0.0,0.0,0.0078,tap1,natural,light,20260810_141717,False
37525,0.0156,0.0312,0.8853,37.525,500000,-0.0039000000000000007,0.0,-0.023399999999999976,0.023722773868163034,tap1,natural,light,20260810_141717,False
40018,0.0273,0.0312,0.8814,40.018,500000,0.007800000000000001,0.0,-0.02729999999999999,0.028392428568194013,tap1,natural,light,20260810_141717,False
42502,0.0234,0.0195,0.9165,42.502,500000,0.0039000000000000007,-0.011699999999999999,0.007800000000000029,0.014592463808418386,tap1,natural,light,20260810_141717,False
45012,0.0156,0.0312,0.9282,45.012,500000,-0.0039000000000000007,0.0,0.019500000000000073,0.01988617610301193,tap1,natural,light,20260810_141717,False
47505,0.0039,0.0351,0.9399,47.505,500000,-0.0156,0.0039000000000000007,0.031200000000000006,0.035100000000000006,tap1,natural,light,20260810_141717,False
50007,0.0312,0.0468,0.9009,50.007,500000,0.011699999999999999,0.015600000000000003,-0.007799999999999918,0.021002142747824536,tap1,natural,light,20260810_141717,False
52519,0.0429,0.0429,0.8814,52.519,500000,0.0234,0.011700000000000002,-0.02729999999999999,0.03781190288784736,tap1,natural,light,20260810_141717,False
55001,0.0195,0.0312,0.9087,55.001,500000,0.0,0.0,0.0,0.0,tap1,natural,light,20260810_141717,False
57516,0.0117,0.0312,0.9243,57.516,500000,-0.0078,0.0,0.015600000000000058,0.01744133022449841,tap1,natural,light,20260810_141717,False
60008,0.0117,0.0234,0.9243,60.008,500000,-0.0078,-0.007799999999999998,0.015600000000000058,0.019106019993708836,tap1,natural,light,20260810_141717,False
62502,0.0234,0.0273,0.8853,62.502,500000,0.0039000000000000007,-0.0038999999999999972,-0.023399999999999976,0.024041214611578984,tap1,natural,light,20260810_141717,False
65005,0.0234,0.0351,0.9048,65.005,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap1,natural,light,20260810_141717,False
67507,0.0195,0.0312,0.9243,67.507,500000,0.0,0.0,0.015600000000000058,0.015600000000000058,tap1,natural,light,20260810_141717,False
70030,0.0234,0.0273,0.9243,70.03,500000,0.0039000000000000007,-0.0038999999999999972,0.015600000000000058,0.016546298679765266,tap1,natural,light,20260810_141717,False
72529,0.0156,0.039,0.9009,72.529,500000,-0.0039000000000000007,0.007800000000000001,-0.007799999999999918,0.011699999999999947,tap1,natural,light,20260810_141717,False
75009,0.0273,0.0351,0.9009,75.009,500000,0.007800000000000001,0.0039000000000000007,-0.007799999999999918,0.011699999999999947,tap1,natural,light,20260810_141717,False
77506,0.0195,0.0351,0.9087,77.506,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
80024,0.0156,0.0312,0.9204,80.024,500000,-0.0039000000000000007,0.0,0.011700000000000044,0.012332882874656722,tap1,natural,light,20260810_141717,False
82518,0.0234,0.0351,0.9165,82.518,500000,0.0039000000000000007,0.0039000000000000007,0.007800000000000029,0.00955300999685442,tap1,natural,light,20260810_141717,False
85026,0.0195,0.0312,0.9048,85.026,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap1,natural,light,20260810_141717,False
87508,0.0195,0.0234,0.9009,87.508,500000,0.0,-0.007799999999999998,-0.007799999999999918,0.011030865786510082,tap1,natural,light,20260810_141717,False
90000,0.0156,0.0273,0.9048,90.0,500000,-0.0039000000000000007,-0.0038999999999999972,-0.0038999999999999035,0.006754998149518564,tap1,natural,light,20260810_141717,False
92525,0.0156,0.0234,0.9204,92.525,500000,-0.0039000000000000007,-0.007799999999999998,0.011700000000000044,0.014592463808418405,tap1,natural,light,20260810_141717,False
95016,0.0195,0.0351,0.9204,95.016,500000,0.0,0.0039000000000000007,0.011700000000000044,0.012332882874656722,tap1,natural,light,20260810_141717,False
97521,0.0156,0.0429,0.9126,97.521,500000,-0.0039000000000000007,0.011700000000000002,0.0039000000000000146,0.012934836682386066,tap1,natural,light,20260810_141717,False
100012,0.0195,0.0351,0.9165,100.012,500000,0.0,0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap1,natural,light,20260810_141717,False
102948,0.0195,0.039,0.9087,102.948,500000,0.0,0.007800000000000001,0.0,0.007800000000000001,tap1,natural,light,20260810_141717,False
105006,0.0195,0.0351,0.9087,105.006,500000,0.0,0.0039000000000000007,0.0,0.0039000000000000007,tap1,natural,light,20260810_141717,False
107516,0.0234,0.0351,0.9048,107.516,500000,0.0039000000000000007,0.0039000000000000007,-0.0038999999999999035,0.006754998149518567,tap1,natural,light,20260810_141717,False
110022,0.0195,0.0312,0.9048,110.022,500000,0.0,0.0,-0.0038999999999999035,0.0038999999999999035,tap1,natural,light,20260810_141717,False
112520,0.0117,0.0312,0.9087,112.52,500000,-0.0078,0.0,0.0,0.0078,tap1,natural,light,20260810_141717,False
115030,0.0195,0.0234,0.9048,115.03,500000,0.0,-0.007799999999999998,-0.0038999999999999035,0.008720665112249134,tap1,natural,light,20260810_141717,False
117522,0.0195,0.0312,0.9009,117.522,500000,0.0,0.0,-0.007799999999999918,0.007799999999999918,tap1,natural,light,20260810_141717,False
120014,0.0195,0.0273,0.9048,120.014,500000,0.0,-0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap1,natural,light,20260810_141717,False
122509,0.0156,0.0234,0.9165,122.509,500000,-0.0039000000000000007,-0.007799999999999998,0.007800000000000029,0.011700000000000018,tap1,natural,light,20260810_141717,False
125013,0.0195,0.0351,0.9165,125.013,500000,0.0,0.0039000000000000007,0.007800000000000029,0.008720665112249207,tap1,natural,light,20260810_141717,False
127503,0.0273,0.0351,0.9204,127.503,500000,0.007800000000000001,0.0039000000000000007,0.011700000000000044,0.014592463808418409,tap1,natural,light,20260810_141717,False
130023,0.0273,0.0351,0.9204,130.023,500000,0.007800000000000001,0.0039000000000000007,0.011700000000000044,0.014592463808418409,tap1,natural,light,20260810_141717,False
132502,0.0234,0.0312,0.9009,132.502,500000,0.0039000000000000007,0.0,-0.007799999999999918,0.008720665112249107,tap1,natural,light,20260810_141717,False
135004,0.0195,0.0351,0.8931,135.004,500000,0.0,0.0039000000000000007,-0.015599999999999947,0.016080111939908825,tap1,natural,light,20260810_141717,False
137519,0.0234,0.0234,0.9048,137.519,500000,0.0039000000000000007,-0.007799999999999998,-0.0038999999999999035,0.009553009996854354,tap1,natural,light,20260810_141717,False
140010,0.0195,0.0273,0.9048,140.01,500000,0.0,-0.0038999999999999972,-0.0038999999999999035,0.005515432893255,tap1,natural,light,20260810_141717,False
142521,0.0234,0.0195,0.9087,142.521,500000,0.0039000000000000007,-0.011699999999999999,0.0,0.012332882874656679,tap1,natural,light,20260810_141717,False
145013,0.0195,0.0156,0.9087,145.013,500000,0.0,-0.0156,0.0,0.0156,tap1,natural,light,20260810_141717,False
147504,0.0156,0.0312,0.9165,147.504,500000,-0.0039000000000000007,0.0,0.007800000000000029,0.008720665112249207,tap1,natural,light,20260810_141717,False
150027,0.0234,0.0312,0.9048,150.027,500000,0.0039000000000000007,0.0,-0.0038999999999999035,0.005515432893255003,tap1,natural,light,20260810_141717,False
152526,0.0351,0.0312,0.9087,152.526,500000,0.0156,0.0,0.0,0.0156,tap1,natural,light,20260810_141717,False
155009,0.0312,0.039,0.9048,155.009,500000,0.011699999999999999,0.007800000000000001,-0.0038999999999999035,0.014592463808418346,tap1,natural,light,20260810_141717,False
