timestamp,ax,ay,az,label
0,0.01,0.00,1.00,idle
20,0.00,0.01,1.01,idle
40,0.01,-0.01,0.99,idle
60,0.00,0.00,1.00,idle
80,0.01,0.01,1.00,idle
100,0.00,0.00,0.99,idle
120,0.01,-0.01,1.01,idle
140,0.00,0.01,1.00,idle
160,0.01,0.00,0.99,idle
180,0.00,0.00,1.00,idle
200,0.01,0.01,1.00,idle
220,0.00,-0.01,1.01,idle
240,0.01,0.00,0.99,idle
260,0.00,0.01,1.00,idle
280,0.01,0.00,1.00,idle
300,0.00,0.00,1.01,idle
320,0.01,-0.01,0.99,idle
340,0.00,0.01,1.00,idle
360,0.01,0.00,1.00,idle
380,0.00,0.00,0.99,idle
400,0.01,0.01,1.01,idle
420,0.00,-0.01,1.00,idle
440,0.01,0.00,0.99,idle
460,0.00,0.01,1.00,idle
480,0.01,0.00,1.00,idle
500,0.00,0.00,1.01,idle
520,0.01,-0.01,0.99,idle
540,0.00,0.01,1.00,idle
560,0.01,0.00,1.00,idle
580,0.00,0.00,0.99,idle
600,0.02,0.02,1.02,idle
620,0.00,0.01,1.00,idle
640,0.01,0.00,1.01,idle
660,0.00,-0.01,0.99,idle
680,0.01,0.01,1.00,idle
700,0.00,0.00,1.00,idle
720,0.01,-0.01,1.01,idle
740,0.00,0.01,0.99,idle
760,0.01,0.00,1.00,idle
780,0.00,0.00,1.00,idle
800,0.45,0.10,1.25,tap1
820,0.55,0.15,1.35,tap1
840,0.65,0.12,1.45,tap1
860,0.35,0.05,1.15,tap1
880,0.20,0.02,1.05,tap1
900,0.10,0.00,1.00,tap1
920,0.55,0.10,1.40,tap1
940,0.70,0.16,1.50,tap1
960,0.40,0.07,1.20,tap1
980,0.22,0.03,1.06,tap1
1000,0.12,0.01,1.00,tap1
1020,0.58,0.14,1.42,tap1
1040,0.72,0.18,1.55,tap1
1060,0.42,0.08,1.22,tap1
1080,0.24,0.04,1.08,tap1
1100,0.11,0.00,1.01,tap1
1120,0.52,0.11,1.38,tap1
1140,0.68,0.15,1.48,tap1
1160,0.39,0.06,1.18,tap1
1180,0.21,0.02,1.05,tap1
1200,0.10,0.00,1.00,tap1
1220,0.57,0.13,1.41,tap1
1240,0.73,0.17,1.53,tap1
1260,0.43,0.07,1.21,tap1
1280,0.23,0.03,1.07,tap1
1300,0.12,0.01,1.00,tap1
1320,0.53,0.12,1.39,tap1
1340,0.69,0.16,1.49,tap1
1360,0.38,0.06,1.17,tap1
1380,0.20,0.02,1.04,tap1
1400,0.62,0.20,1.50,tap2
1420,0.78,0.24,1.62,tap2
1440,0.88,0.30,1.74,tap2
1460,0.55,0.16,1.35,tap2
1480,0.30,0.08,1.12,tap2
1500,0.15,0.02,1.01,tap2
1520,0.80,0.26,1.66,tap2
1540,0.92,0.32,1.78,tap2
1560,0.58,0.18,1.40,tap2
1580,0.32,0.09,1.15,tap2
1600,0.16,0.03,1.02,tap2
1620,0.82,0.25,1.68,tap2
1640,0.95,0.34,1.82,tap2
1660,0.60,0.19,1.43,tap2
1680,0.34,0.10,1.17,tap2
1700,0.17,0.03,1.03,tap2
1720,0.79,0.27,1.67,tap2
1740,0.90,0.31,1.76,tap2
1760,0.57,0.17,1.39,tap2
1780,0.31,0.08,1.14,tap2
1800,0.15,0.02,1.01,tap2
1820,0.83,0.28,1.69,tap2
1840,0.94,0.33,1.80,tap2
1860,0.59,0.18,1.42,tap2
1880,0.33,0.09,1.16,tap2
1900,0.16,0.03,1.02,tap2
1920,0.81,0.26,1.65,tap2
1940,0.93,0.32,1.77,tap2
1960,0.56,0.17,1.38,tap2
1980,0.30,0.08,1.13,tap2
2000,0.95,0.00,1.20,shake_lr
2020,-0.90,0.02,1.22,shake_lr
2040,0.92,-0.01,1.18,shake_lr
2060,-0.88,0.01,1.21,shake_lr
2080,0.96,0.00,1.19,shake_lr
2100,-0.91,0.03,1.23,shake_lr
2120,0.93,-0.02,1.17,shake_lr
2140,-0.87,0.01,1.20,shake_lr
2160,0.97,0.00,1.18,shake_lr
2180,-0.92,0.02,1.22,shake_lr
2200,0.94,-0.01,1.19,shake_lr
2220,-0.89,0.01,1.21,shake_lr
2240,0.96,0.00,1.20,shake_lr
2260,-0.90,0.02,1.24,shake_lr
2280,0.91,-0.01,1.18,shake_lr
2300,-0.86,0.01,1.20,shake_lr
2320,0.95,0.00,1.19,shake_lr
2340,-0.91,0.03,1.23,shake_lr
2360,0.92,-0.02,1.17,shake_lr
2380,-0.88,0.01,1.21,shake_lr
2400,0.97,0.00,1.18,shake_lr
2420,-0.93,0.02,1.22,shake_lr
2440,0.94,-0.01,1.19,shake_lr
2460,-0.89,0.01,1.20,shake_lr
2480,0.96,0.00,1.18,shake_lr
2500,-0.92,0.03,1.23,shake_lr
2520,0.93,-0.02,1.17,shake_lr
2540,-0.87,0.01,1.20,shake_lr
2560,0.95,0.00,1.19,shake_lr
2580,-0.90,0.02,1.22,shake_lr
2600,0.40,0.12,1.30,tap3
2620,0.55,0.18,1.45,tap3
2640,0.70,0.25,1.60,tap3
2660,0.50,0.15,1.35,tap3
2680,0.28,0.08,1.12,tap3
2700,0.14,0.03,1.02,tap3
2720,0.58,0.20,1.50,tap3
2740,0.74,0.28,1.66,tap3
2760,0.52,0.16,1.38,tap3
2780,0.30,0.09,1.15,tap3
2800,0.15,0.03,1.03,tap3
2820,0.60,0.21,1.52,tap3
2840,0.76,0.29,1.68,tap3
2860,0.53,0.17,1.40,tap3
2880,0.31,0.10,1.16,tap3
2900,0.16,0.03,1.04,tap3
2920,0.57,0.19,1.49,tap3
2940,0.73,0.27,1.64,tap3
2960,0.51,0.16,1.37,tap3
2980,0.29,0.09,1.14,tap3
3000,0.14,0.03,1.02,tap3
3020,0.59,0.20,1.51,tap3
3040,0.75,0.28,1.67,tap3
3060,0.52,0.17,1.39,tap3
3080,0.30,0.10,1.15,tap3
3100,0.15,0.03,1.03,tap3
3120,0.61,0.22,1.53,tap3
3140,0.77,0.30,1.69,tap3
3160,0.54,0.18,1.41,tap3
3180,0.32,0.10,1.17,tap3
